Wyckoff pos.|3c(mm2)|3c(mm2)|3c(mm2)|3c(mm2)|2b(3m1)|2b(3m1)|2b(3m1)|1a(6mm)|1a(6mm)|1a(6mm)|1a(6mm)|1a(6mm)|1a(6mm)
Band-Rep.|3c(3)|3c(3)|3c(3)|3c(3)|2b(2)|2b(2)|2b(4)|1a(1)|1a(1)|1a(1)|1a(1)|1a(2)|1a(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false
Λ:(α,α)|2Λ₁⊕Λ₂|Λ₁⊕2Λ₂|2Λ₁⊕Λ₂|Λ₁⊕2Λ₂|Λ₁⊕Λ₂|Λ₁⊕Λ₂|2Λ₁⊕2Λ₂|Λ₁|Λ₂|Λ₁|Λ₂|Λ₁⊕Λ₂|Λ₁⊕Λ₂
M:(0.5,0.0)|M₁⊕M₃⊕M₄|M₂⊕M₃⊕M₄|M₁⊕M₂⊕M₃|M₁⊕M₂⊕M₄|M₁⊕M₄|M₂⊕M₃|M₁⊕M₂⊕M₃⊕M₄|M₁|M₂|M₃|M₄|M₁⊕M₂|M₃⊕M₄
T:(0.5-α,2.0α)|2T₁⊕T₂|T₁⊕2T₂|2T₁⊕T₂|T₁⊕2T₂|T₁⊕T₂|T₁⊕T₂|2T₁⊕2T₂|T₁|T₂|T₁|T₂|T₁⊕T₂|T₁⊕T₂
Σ:(α,0.0)|2Σ₁⊕Σ₂|Σ₁⊕2Σ₂|Σ₁⊕2Σ₂|2Σ₁⊕Σ₂|2Σ₁|2Σ₂|2Σ₁⊕2Σ₂|Σ₁|Σ₂|Σ₂|Σ₁|Σ₁⊕Σ₂|Σ₁⊕Σ₂
Γ:(0.0,0.0)|Γ₁⊕Γ₅|Γ₂⊕Γ₅|Γ₃⊕Γ₆|Γ₄⊕Γ₆|Γ₁⊕Γ₄|Γ₂⊕Γ₃|Γ₅⊕Γ₆|Γ₁|Γ₂|Γ₃|Γ₄|Γ₅|Γ₆
K:(0.3333333333333333,0.3333333333333333)|K₁⊕K₃|K₂⊕K₃|K₁⊕K₃|K₂⊕K₃|K₃|K₃|K₁⊕K₂⊕K₃|K₁|K₂|K₁|K₂|K₃|K₃
Ω:(α,β)|3Ω₁|3Ω₁|3Ω₁|3Ω₁|2Ω₁|2Ω₁|4Ω₁|Ω₁|Ω₁|Ω₁|Ω₁|2Ω₁|2Ω₁
