Wyckoff pos.|4a(4)|4a(4)|4a(4)|4a(4)|4b(mm2)|4b(mm2)|4b(mm2)|4b(mm2)|4a(4)|4a(4)|4a(4)|4a(4)|4b(mm2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₅(2)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₅(2)|Γ₅(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₆(2)⊕Γˢ₇(2)
M:(1,1,1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₅(2)|M₅(2)|M₂(1)⊕M₄(1)|M₁(1)⊕M₃(1)|M₅(2)|M₅(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₆(2)⊕Mˢ₇(2)
P:(1/2,1/2,1/2)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₃(1)⊕P₄(1)|P₃(1)⊕P₄(1)|2P₄(1)|2P₃(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|Pˢ₅(2)|Pˢ₅(2)|Pˢ₅(2)|Pˢ₅(2)|2Pˢ₅(2)
X:(1/2,1/2,0)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|2X₄(1)|2X₃(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|2Xˢ₅(2)
N:(1/2,0,1/2)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|2Nˢ₃(1)⊕2Nˢ₄(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₅(2)|Λ₅(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)⊕Λˢ₇(2)
W:(1/2,1/2,w)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|2W₄(1)|2W₃(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|2Wˢ₅(2)
A:(u,u,w)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|2A₁(1)|2A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)
B:(u,0,w)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|Bˢ₃(1)⊕Bˢ₄(1)|Bˢ₃(1)⊕Bˢ₄(1)|Bˢ₃(1)⊕Bˢ₄(1)|Bˢ₃(1)⊕Bˢ₄(1)|2Bˢ₃(1)⊕2Bˢ₄(1)
Δ:(u,u,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
Y:(u,1-u,0)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|2Y₂(1)|2Y₁(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|2Yˢ₃(1)⊕2Yˢ₄(1)
C:(u,v,0)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|4Cˢ₂(1)
GP:(u,v,w)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|4GPˢ₂(1)
Q:(1/2,v,1/2)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Qˢ₂(1)|2Qˢ₂(1)|2Qˢ₂(1)|2Qˢ₂(1)|4Qˢ₂(1)
