Wyckoff pos.|8a(2)|8a(2)|8a(2)|8a(2)
Band-Rep.|A↑G(4)|B↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|true|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)|2Γ₅(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₆(2)⊕Γˢ₇(2)
M:(1,1,1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|2M₅(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₆(2)⊕Mˢ₇(2)
P:(1/2,1/2,1/2)|2P₁(2)|2P₁(2)|Pˢ₂(1)⊕Pˢ₃(1)⊕Pˢ₄(1)⊕Pˢ₅(1)|Pˢ₂(1)⊕Pˢ₃(1)⊕Pˢ₄(1)⊕Pˢ₅(1)
X:(1/2,1/2,0)|2X₁(2)|2X₁(2)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)
N:(1/2,0,1/2)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2Nˢ₃(1)⊕2Nˢ₄(1)|2Nˢ₃(1)⊕2Nˢ₄(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)
W:(1/2,1/2,w)|2W₁(2)|2W₁(2)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)
A:(u,u,w)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)
B:(u,0,w)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2Bˢ₃(1)⊕2Bˢ₄(1)|2Bˢ₃(1)⊕2Bˢ₄(1)
Δ:(u,u,0)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
Σ:(u,0,0)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
Y:(u,1-u,0)|2Y₁(1)⊕2Y₂(1)|2Y₁(1)⊕2Y₂(1)|2Yˢ₃(1)⊕2Yˢ₄(1)|2Yˢ₃(1)⊕2Yˢ₄(1)
C:(u,v,0)|4C₁(1)|4C₁(1)|4Cˢ₂(1)|4Cˢ₂(1)
GP:(u,v,w)|4GP₁(1)|4GP₁(1)|4GPˢ₂(1)|4GPˢ₂(1)
Q:(1/2,v,1/2)|4Q₁(1)|4Q₁(1)|4Qˢ₂(1)|4Qˢ₂(1)
