Wyckoff pos.|2a(4ˢ)|2a(4ˢ)|2a(4ˢ)|2a(4ˢ)|2b(4ˢ)|2b(4ˢ)|2b(4ˢ)|2b(4ˢ)|2c(mm2)|2c(mm2)|2c(mm2)|2c(mm2)|2a(4ˢ)|2a(4ˢ)|2a(4ˢ)|2a(4ˢ)|2b(4ˢ)|2b(4ˢ)|2b(4ˢ)|2b(4ˢ)|2c(mm2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true
A:(1/2,1/2,1/2)|A₅(2)|A₅(2)|A₁(1)⊕A₄(1)|A₂(1)⊕A₃(1)|A₅(2)|A₅(2)|A₂(1)⊕A₃(1)|A₁(1)⊕A₄(1)|A₁(1)⊕A₃(1)|A₂(1)⊕A₄(1)|A₅(2)|A₅(2)|Aˢ₇(2)|Aˢ₆(2)|Aˢ₆(2)|Aˢ₇(2)|Aˢ₆(2)|Aˢ₇(2)|Aˢ₇(2)|Aˢ₆(2)|Aˢ₆(2)⊕Aˢ₇(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₅(2)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₅(2)|Γ₅(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₆(2)⊕Γˢ₇(2)
M:(1/2,1/2,0)|M₅(2)|M₅(2)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₅(2)|M₅(2)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₃(1)|M₂(1)⊕M₄(1)|M₅(2)|M₅(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₆(2)|Mˢ₇(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₆(2)|Mˢ₇(2)|Mˢ₆(2)⊕Mˢ₇(2)
Z:(0,0,1/2)|Z₁(1)⊕Z₄(1)|Z₂(1)⊕Z₃(1)|Z₅(2)|Z₅(2)|Z₂(1)⊕Z₃(1)|Z₁(1)⊕Z₄(1)|Z₅(2)|Z₅(2)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|Z₅(2)|Z₅(2)|Zˢ₇(2)|Zˢ₆(2)|Zˢ₇(2)|Zˢ₆(2)|Zˢ₆(2)|Zˢ₇(2)|Zˢ₆(2)|Zˢ₇(2)|Zˢ₆(2)⊕Zˢ₇(2)
R:(0,1/2,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₃(1)⊕Rˢ₄(1)⊕Rˢ₅(1)
X:(0,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|2Λ₁(1)|2Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|2Λˢ₅(2)
