Wyckoff pos.|4a(4ˢ)|4a(4ˢ)|4a(4ˢ)|4a(4ˢ)|4b(4ˢ)|4b(4ˢ)|4b(4ˢ)|4b(4ˢ)|8d(2)|8d(2)|4a(4ˢ)|4a(4ˢ)|4a(4ˢ)|4a(4ˢ)|4b(4ˢ)|4b(4ˢ)|4b(4ˢ)|4b(4ˢ)|8d(2)|8d(2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A↑G(4)|B↑G(4)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₅(2)|Γ₁(1)⊕Γ₂(1)⊕Γ₅(2)|Γ₃(1)⊕Γ₄(1)⊕Γ₅(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₆(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₆(2)⊕Γˢ₇(2)
M:(1,1,1)|M₅(2)|M₅(2)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₅(2)|M₅(2)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₅(2)|M₃(1)⊕M₄(1)⊕M₅(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₆(2)|Mˢ₇(2)|Mˢ₇(2)|Mˢ₆(2)|Mˢ₆(2)|Mˢ₇(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₆(2)⊕Mˢ₇(2)
P:(1/2,1/2,1/2)|P₁(2)|P₂(2)|P₂(2)|P₁(2)|P₂(2)|P₁(2)|P₁(2)|P₂(2)|P₁(2)⊕P₂(2)|P₁(2)⊕P₂(2)|Pˢ₄(1)⊕Pˢ₆(1)|Pˢ₃(1)⊕Pˢ₅(1)|Pˢ₇(2)|Pˢ₇(2)|Pˢ₃(1)⊕Pˢ₅(1)|Pˢ₄(1)⊕Pˢ₆(1)|Pˢ₇(2)|Pˢ₇(2)|Pˢ₃(1)⊕Pˢ₆(1)⊕Pˢ₇(2)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₇(2)
PA:(-1/2,-1/2,-1/2)|PA₁(2)|PA₂(2)|PA₁(2)|PA₂(2)|PA₂(2)|PA₁(2)|PA₂(2)|PA₁(2)|PA₁(2)⊕PA₂(2)|PA₁(2)⊕PA₂(2)|PAˢ₇(2)|PAˢ₇(2)|PAˢ₄(1)⊕PAˢ₆(1)|PAˢ₃(1)⊕PAˢ₅(1)|PAˢ₇(2)|PAˢ₇(2)|PAˢ₃(1)⊕PAˢ₅(1)|PAˢ₄(1)⊕PAˢ₆(1)|PAˢ₄(1)⊕PAˢ₅(1)⊕PAˢ₇(2)|PAˢ₃(1)⊕PAˢ₆(1)⊕PAˢ₇(2)
X:(1/2,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|2X₁(2)|2X₁(2)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)
N:(1/2,0,1/2)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|3Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕3Nˢ₄(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)
