Wyckoff pos.|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|2e(mmm)|2e(mmm)|2f(mmm)|2f(mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
A:(1/2,1/2,1/2)|A₁⁺(1)|A₁⁻(1)|A₃⁺(1)|A₃⁻(1)|A₂⁺(1)|A₂⁻(1)|A₄⁺(1)|A₄⁻(1)|A₅⁺(2)|A₅⁻(2)|A₃⁻(1)|A₃⁺(1)|A₁⁻(1)|A₁⁺(1)|A₄⁻(1)|A₄⁺(1)|A₂⁻(1)|A₂⁺(1)|A₅⁻(2)|A₅⁺(2)|A₄⁺(1)|A₄⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃⁺(1)|A₃⁻(1)|A₁⁺(1)|A₁⁻(1)|A₅⁺(2)|A₅⁻(2)|A₂⁻(1)|A₂⁺(1)|A₄⁻(1)|A₄⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻(1)|A₃⁺(1)|A₅⁻(2)|A₅⁺(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₃⁺(1)⊕A₄⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₃⁺(1)⊕A₄⁺(1)|Aˢ₇(2)|Aˢ₉(2)|Aˢ₆(2)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₇(2)|Aˢ₈(2)|Aˢ₆(2)|Aˢ₆(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₆(2)|Aˢ₉(2)|Aˢ₇(2)|Aˢ₆(2)⊕Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₆(2)⊕Aˢ₇(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₁⁺(1)|M₁⁻(1)|M₅⁺(2)|M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₁⁺(1)|M₁⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)
Z:(0,0,1/2)|Z₁⁺(1)|Z₁⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁻(1)|Z₁⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₁⁺(1)|Z₁⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁻(1)|Z₁⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₃⁻(1)⊕Z₄⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₃⁻(1)⊕Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|Zˢ₇(2)|Zˢ₉(2)|Zˢ₆(2)|Zˢ₈(2)|Zˢ₉(2)|Zˢ₇(2)|Zˢ₈(2)|Zˢ₆(2)|Zˢ₇(2)|Zˢ₉(2)|Zˢ₆(2)|Zˢ₈(2)|Zˢ₉(2)|Zˢ₇(2)|Zˢ₈(2)|Zˢ₆(2)|Zˢ₈(2)⊕Zˢ₉(2)|Zˢ₆(2)⊕Zˢ₇(2)|Zˢ₆(2)⊕Zˢ₇(2)|Zˢ₈(2)⊕Zˢ₉(2)
R:(0,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₂⁻(1)⊕R₃⁺(1)|R₂⁺(1)⊕R₃⁻(1)|R₁⁻(1)⊕R₄⁺(1)|R₁⁺(1)⊕R₄⁻(1)|R₂⁺(1)⊕R₄⁻(1)|R₂⁻(1)⊕R₄⁺(1)|R₁⁺(1)⊕R₃⁻(1)|R₁⁻(1)⊕R₃⁺(1)|R₁⁺(1)⊕R₄⁻(1)|R₁⁻(1)⊕R₄⁺(1)|R₂⁺(1)⊕R₃⁻(1)|R₂⁻(1)⊕R₃⁺(1)|R₁⁻(1)⊕R₃⁺(1)|R₁⁺(1)⊕R₃⁻(1)|R₂⁻(1)⊕R₄⁺(1)|R₂⁺(1)⊕R₄⁻(1)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)
Λ:(0,0,w)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)
