Wyckoff pos.|4a(422)|4a(422)|4a(422)|4a(422)|4b(4ˢ2m)|4b(4ˢ2m)|4b(4ˢ2m)|4b(4ˢ2m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4d(mmm)|4d(mmm)|4d(mmm)|4d(mmm)|4d(mmm)|4d(mmm)|4d(mmm)|4d(mmm)|8e(2/m)|8e(2/m)|8e(2/m)|8e(2/m)|4b(4ˢ2m)|4b(4ˢ2m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4c(4/m)|4d(mmm)|4d(mmm)|8e(2/m)|8e(2/m)|8e(2/m)|8e(2/m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eg↑G(2)|¹Eᵤ↑G(2)|²Eg↑G(2)|²Eᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(4)|Aᵤ↑G(4)|Bg↑G(4)|Bᵤ↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|¹Eˢ₁g↑G(2)|¹Eˢ₁ᵤ↑G(2)|¹Eˢ₂g↑G(2)|¹Eˢ₂ᵤ↑G(2)|²Eˢ₁g↑G(2)|²Eˢ₁ᵤ↑G(2)|²Eˢ₂g↑G(2)|²Eˢ₂ᵤ↑G(2)|Eˢg↑G(4)|Eˢᵤ↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|false|false|false|false|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)⊕Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₄⁻(1)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₅⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₅⁻(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)
M:(1,1,1)|M₁⁺(1)⊕M₁⁻(1)|M₃⁺(1)⊕M₃⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₄⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₃⁺(1)|M₁⁻(1)⊕M₃⁻(1)|M₂⁺(1)⊕M₄⁺(1)|M₂⁻(1)⊕M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₂⁺(1)⊕M₃⁺(1)|M₂⁻(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₁⁻(1)⊕M₄⁻(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₄⁺(1)⊕M₅⁺(2)|M₂⁻(1)⊕M₃⁻(1)⊕M₅⁻(2)|M₂⁺(1)⊕M₃⁺(1)⊕M₅⁺(2)|Mˢ₆(2)⊕Mˢ₉(2)|Mˢ₇(2)⊕Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)
P:(1/2,1/2,1/2)|P₅(2)|P₅(2)|P₅(2)|P₅(2)|P₂(1)⊕P₄(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₃(1)|P₂(1)⊕P₄(1)|P₅(2)|P₅(2)|P₅(2)|P₅(2)|P₂(1)⊕P₃(1)|P₁(1)⊕P₄(1)|P₁(1)⊕P₄(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₄(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₃(1)|P₂(1)⊕P₄(1)|P₅(2)|P₅(2)|P₅(2)|P₅(2)|P₂(1)⊕P₄(1)⊕P₅(2)|P₁(1)⊕P₃(1)⊕P₅(2)|P₁(1)⊕P₃(1)⊕P₅(2)|P₂(1)⊕P₄(1)⊕P₅(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)|Pˢ₇(2)|Pˢ₇(2)|Pˢ₆(2)|Pˢ₇(2)|Pˢ₆(2)|Pˢ₆(2)|Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)
X:(1/2,1/2,0)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₃⁺(1)⊕X₄⁻(1)|X₃⁻(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|2X₄⁻(1)|2X₄⁺(1)|2X₃⁻(1)|2X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₃⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₃⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₄⁻(1)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)
N:(1/2,0,1/2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|N₁(2)|2N₁(2)|2N₁(2)|2N₁(2)|2N₁(2)|2Nˢ₂(2)|2Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|Nˢ₂(2)|2Nˢ₂(2)|2Nˢ₂(2)|2Nˢ₂(2)|2Nˢ₂(2)|2Nˢ₂(2)|2Nˢ₂(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₃(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₇(2)|Λˢ₇(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)
Δ:(u,u,0)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)|2Δ₄(1)|2Δ₂(1)|2Δ₃(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₄(1)|2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)|2Δˢ₅(2)|2Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
