Wyckoff pos.|1a(3m)|1a(3m)|1a(3m)|1b(3m)|1b(3m)|1b(3m)|1c(3m)|1c(3m)|1c(3m)|1a(3m)|1a(3m)|1a(3m)|1b(3m)|1b(3m)|1b(3m)|1c(3m)|1c(3m)|1c(3m)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|E↑G(2)|A₁↑G(1)|A₂↑G(1)|E↑G(2)|A₁↑G(1)|A₂↑G(1)|E↑G(2)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ₁↑G(2)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ₁↑G(2)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ₁↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃(2)|A₁(1)|A₂(1)|A₃(2)|A₁(1)|A₂(1)|A₃(2)|Aˢ₄(1)|Aˢ₅(1)|Aˢ₆(2)|Aˢ₄(1)|Aˢ₅(1)|Aˢ₆(2)|Aˢ₄(1)|Aˢ₅(1)|Aˢ₆(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γˢ₄(1)|Γˢ₅(1)|Γˢ₆(2)|Γˢ₄(1)|Γˢ₅(1)|Γˢ₆(2)|Γˢ₄(1)|Γˢ₅(1)|Γˢ₆(2)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂(1)⊕H₃(1)|H₂(1)|H₂(1)|H₁(1)⊕H₃(1)|H₃(1)|H₃(1)|H₁(1)⊕H₂(1)|Hˢ₄(1)|Hˢ₄(1)|Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₅(1)|Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₆(1)|Hˢ₆(1)|Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂(1)⊕K₃(1)|K₂(1)|K₂(1)|K₁(1)⊕K₃(1)|K₃(1)|K₃(1)|K₁(1)⊕K₂(1)|Kˢ₄(1)|Kˢ₄(1)|Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₅(1)|Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₆(1)|Kˢ₆(1)|Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|Mˢ₃(1)|Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)|Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)|Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₃(2)|Δˢ₄(1)|Δˢ₅(1)|Δˢ₆(2)|Δˢ₄(1)|Δˢ₅(1)|Δˢ₆(2)|Δˢ₄(1)|Δˢ₅(1)|Δˢ₆(2)
