Wyckoff pos.|2a(3)|2a(3)|2a(3)|2b(3)|2b(3)|2b(3)|2a(3)|2a(3)|2a(3)|2b(3)|2b(3)|2b(3)
Band-Rep.|A₁↑G(2)|¹E↑G(2)|²E↑G(2)|A₁↑G(2)|¹E↑G(2)|²E↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)⊕A₂(1)|A₃(2)|A₃(2)|A₁(1)⊕A₂(1)|A₃(2)|A₃(2)|Aˢ₆(2)|Aˢ₆(2)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₆(2)|Aˢ₆(2)|Aˢ₄(1)⊕Aˢ₅(1)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γˢ₆(2)|Γˢ₆(2)|Γˢ₄(1)⊕Γˢ₅(1)|Γˢ₆(2)|Γˢ₆(2)|Γˢ₄(1)⊕Γˢ₅(1)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₆(2)
HA:(-1/3,-1/3,-1/2)|HA₁(1)⊕HA₂(1)|HA₃(2)|HA₃(2)|HA₃(2)|HA₁(1)⊕HA₂(1)|HA₃(2)|HAˢ₆(2)|HAˢ₆(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₆(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₆(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₆(2)
KA:(-1/3,-1/3,0)|KA₁(1)⊕KA₂(1)|KA₃(2)|KA₃(2)|KA₃(2)|KA₁(1)⊕KA₂(1)|KA₃(2)|KAˢ₆(2)|KAˢ₆(2)|KAˢ₄(1)⊕KAˢ₅(1)|KAˢ₆(2)|KAˢ₄(1)⊕KAˢ₅(1)|KAˢ₆(2)
L:(1/2,0,1/2)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)
M:(1/2,0,0)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)
P:(1/3,1/3,w)|P₁(1)⊕P₂(1)|P₃(2)|P₃(2)|P₃(2)|P₃(2)|P₁(1)⊕P₂(1)|Pˢ₆(2)|Pˢ₆(2)|Pˢ₄(1)⊕Pˢ₅(1)|Pˢ₄(1)⊕Pˢ₅(1)|Pˢ₆(2)|Pˢ₆(2)
PA:(-1/3,-1/3,-w)|PA₁(1)⊕PA₂(1)|PA₃(2)|PA₃(2)|PA₃(2)|PA₁(1)⊕PA₂(1)|PA₃(2)|PAˢ₆(2)|PAˢ₆(2)|PAˢ₄(1)⊕PAˢ₅(1)|PAˢ₆(2)|PAˢ₄(1)⊕PAˢ₅(1)|PAˢ₆(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)
Λ:(u,u,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)
Q:(u,u,1/2)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)
U:(1/2,0,w)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)
B:(u,v,0)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)
D:(u,0,w)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)
