Wyckoff pos.|1a(6)|1a(6)|1a(6)|1a(6)|1a(6)|1a(6)|2b(3)|2b(3)|2b(3)|3c(2)|3c(2)|1a(6)|1a(6)|1a(6)|1a(6)|1a(6)|1a(6)|2b(3)|2b(3)|2b(3)|3c(2)|3c(2)
Band-Rep.|A↑G(1)|B↑G(1)|¹E₁↑G(1)|¹E₂↑G(1)|²E₁↑G(1)|²E₂↑G(1)|A₁↑G(2)|¹E↑G(2)|²E↑G(2)|A↑G(3)|B↑G(3)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ↑G(2)|¹Eˢ↑G(3)|²Eˢ↑G(3)
Decomposable|false|false|false|false|false|false|true|true|true|true|true|false|false|false|false|false|false|true|true|true|true|true
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃(1)|A₄(1)|A₅(1)|A₆(1)|A₁(1)⊕A₂(1)|A₃(1)⊕A₄(1)|A₅(1)⊕A₆(1)|A₁(1)⊕A₃(1)⊕A₅(1)|A₂(1)⊕A₄(1)⊕A₆(1)|Aˢ₇(1)|Aˢ₉(1)|Aˢ₁₁(1)|Aˢ₈(1)|Aˢ₁₂(1)|Aˢ₁₀(1)|Aˢ₁₁(1)⊕Aˢ₁₂(1)|Aˢ₉(1)⊕Aˢ₁₀(1)|Aˢ₇(1)⊕Aˢ₈(1)|Aˢ₇(1)⊕Aˢ₉(1)⊕Aˢ₁₁(1)|Aˢ₈(1)⊕Aˢ₁₀(1)⊕Aˢ₁₂(1)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(1)⊕Γ₆(1)|Γ₁(1)⊕Γ₃(1)⊕Γ₅(1)|Γ₂(1)⊕Γ₄(1)⊕Γ₆(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₁₁(1)⊕Γˢ₁₂(1)|Γˢ₉(1)⊕Γˢ₁₀(1)|Γˢ₇(1)⊕Γˢ₈(1)|Γˢ₇(1)⊕Γˢ₉(1)⊕Γˢ₁₁(1)|Γˢ₈(1)⊕Γˢ₁₀(1)⊕Γˢ₁₂(1)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂(1)|H₂(1)|H₃(1)|H₃(1)|H₂(1)⊕H₃(1)|H₁(1)⊕H₃(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)⊕H₃(1)|H₁(1)⊕H₂(1)⊕H₃(1)|Hˢ₄(1)|Hˢ₅(1)|Hˢ₆(1)|Hˢ₄(1)|Hˢ₆(1)|Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₆(1)|Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(1)|K₃(1)|K₂(1)⊕K₃(1)|K₁(1)⊕K₃(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)⊕K₃(1)|K₁(1)⊕K₂(1)⊕K₃(1)|Kˢ₄(1)|Kˢ₅(1)|Kˢ₆(1)|Kˢ₄(1)|Kˢ₆(1)|Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₆(1)|Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕2L₂(1)|2L₁(1)⊕L₂(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕2Lˢ₄(1)|2Lˢ₃(1)⊕Lˢ₄(1)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₁(1)|M₂(1)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕2M₂(1)|2M₁(1)⊕M₂(1)|Mˢ₃(1)|Mˢ₃(1)|Mˢ₃(1)|Mˢ₄(1)|Mˢ₄(1)|Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕2Mˢ₄(1)|2Mˢ₃(1)⊕Mˢ₄(1)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₃(1)|Δ₄(1)|Δ₅(1)|Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δˢ₇(1)|Δˢ₉(1)|Δˢ₁₁(1)|Δˢ₈(1)|Δˢ₁₂(1)|Δˢ₁₀(1)|Δˢ₁₁(1)⊕Δˢ₁₂(1)|Δˢ₉(1)⊕Δˢ₁₀(1)|Δˢ₇(1)⊕Δˢ₈(1)|Δˢ₇(1)⊕Δˢ₉(1)⊕Δˢ₁₁(1)|Δˢ₈(1)⊕Δˢ₁₀(1)⊕Δˢ₁₂(1)
P:(1/3,1/3,w)|P₁(1)|P₁(1)|P₂(1)|P₂(1)|P₃(1)|P₃(1)|P₂(1)⊕P₃(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|Pˢ₄(1)|Pˢ₅(1)|Pˢ₆(1)|Pˢ₄(1)|Pˢ₆(1)|Pˢ₅(1)|Pˢ₄(1)⊕Pˢ₅(1)|Pˢ₄(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)
U:(1/2,0,w)|U₁(1)|U₂(1)|U₁(1)|U₂(1)|U₁(1)|U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕2U₂(1)|2U₁(1)⊕U₂(1)|Uˢ₃(1)|Uˢ₃(1)|Uˢ₃(1)|Uˢ₄(1)|Uˢ₄(1)|Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕2Uˢ₄(1)|2Uˢ₃(1)⊕Uˢ₄(1)
B:(u,v,0)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|3B₁(1)|3B₁(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)
C:(u,u,w)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|3C₁(1)|3C₁(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)
D:(u,0,w)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|3D₁(1)|3D₁(1)|Dˢ₂(1)|Dˢ₂(1)|Dˢ₂(1)|Dˢ₂(1)|Dˢ₂(1)|Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|3Dˢ₂(1)|3Dˢ₂(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|3E₁(1)|3E₁(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)
GP:(u,v,w)|GP₁(1)|GP₁(1)|GP₁(1)|GP₁(1)|GP₁(1)|GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|3GP₁(1)|3GP₁(1)|GPˢ₂(1)|GPˢ₂(1)|GPˢ₂(1)|GPˢ₂(1)|GPˢ₂(1)|GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|3GPˢ₂(1)|3GPˢ₂(1)
Λ:(u,u,0)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|2Λ₁(1)|2Λ₁(1)|2Λ₁(1)|3Λ₁(1)|3Λ₁(1)|Λˢ₂(1)|Λˢ₂(1)|Λˢ₂(1)|Λˢ₂(1)|Λˢ₂(1)|Λˢ₂(1)|2Λˢ₂(1)|2Λˢ₂(1)|2Λˢ₂(1)|3Λˢ₂(1)|3Λˢ₂(1)
Q:(u,u,1/2)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|3Q₁(1)|3Q₁(1)|Qˢ₂(1)|Qˢ₂(1)|Qˢ₂(1)|Qˢ₂(1)|Qˢ₂(1)|Qˢ₂(1)|2Qˢ₂(1)|2Qˢ₂(1)|2Qˢ₂(1)|3Qˢ₂(1)|3Qˢ₂(1)
R:(u,0,1/2)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|2R₁(1)|2R₁(1)|2R₁(1)|3R₁(1)|3R₁(1)|Rˢ₂(1)|Rˢ₂(1)|Rˢ₂(1)|Rˢ₂(1)|Rˢ₂(1)|Rˢ₂(1)|2Rˢ₂(1)|2Rˢ₂(1)|2Rˢ₂(1)|3Rˢ₂(1)|3Rˢ₂(1)
Σ:(u,0,0)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σ₁(1)|3Σ₁(1)|3Σ₁(1)|Σˢ₂(1)|Σˢ₂(1)|Σˢ₂(1)|Σˢ₂(1)|Σˢ₂(1)|Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|3Σˢ₂(1)|3Σˢ₂(1)
