Wyckoff pos.|2a(32)|2a(32)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2c(32)|2c(32)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2e(32)|2e(32)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2a(32)|2a(32)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2c(32)|2c(32)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2e(32)|2e(32)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)|2f(6ˢ)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|A'↑G(2)|A''↑G(2)|¹E'↑G(2)|¹E''↑G(2)|²E'↑G(2)|²E''↑G(2)|A₁↑G(2)|A₂↑G(2)|A'↑G(2)|A''↑G(2)|¹E'↑G(2)|¹E''↑G(2)|²E'↑G(2)|²E''↑G(2)|A₁↑G(2)|A₂↑G(2)|A'↑G(2)|A''↑G(2)|¹E'↑G(2)|¹E''↑G(2)|²E'↑G(2)|²E''↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₂(2)|Aˢ₄(1)⊕Aˢ₇(1)|Aˢ₅(1)⊕Aˢ₆(1)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₇(1)|Aˢ₅(1)⊕Aˢ₆(1)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₇(1)|Aˢ₅(1)⊕Aˢ₆(1)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₃(1)⊕H₆(1)|H₄(1)⊕H₅(1)|H₄(1)⊕H₅(1)|H₃(1)⊕H₆(1)|H₃(1)⊕H₄(1)|H₃(1)⊕H₄(1)|H₃(1)⊕H₄(1)|H₃(1)⊕H₄(1)|H₂(1)⊕H₅(1)|H₁(1)⊕H₆(1)|H₁(1)⊕H₆(1)|H₂(1)⊕H₅(1)|H₅(1)⊕H₆(1)|H₅(1)⊕H₆(1)|H₅(1)⊕H₆(1)|H₅(1)⊕H₆(1)|H₁(1)⊕H₄(1)|H₂(1)⊕H₃(1)|H₂(1)⊕H₃(1)|H₁(1)⊕H₄(1)|Hˢ₇(1)⊕Hˢ₈(1)|Hˢ₇(1)⊕Hˢ₈(1)|2Hˢ₇(1)|Hˢ₉(1)⊕Hˢ₁₁(1)|Hˢ₉(1)⊕Hˢ₁₁(1)|2Hˢ₈(1)|Hˢ₁₀(1)⊕Hˢ₁₂(1)|Hˢ₁₀(1)⊕Hˢ₁₂(1)|Hˢ₉(1)⊕Hˢ₁₀(1)|Hˢ₉(1)⊕Hˢ₁₀(1)|2Hˢ₉(1)|Hˢ₇(1)⊕Hˢ₁₁(1)|Hˢ₇(1)⊕Hˢ₁₁(1)|2Hˢ₁₀(1)|Hˢ₈(1)⊕Hˢ₁₂(1)|Hˢ₈(1)⊕Hˢ₁₂(1)|Hˢ₁₁(1)⊕Hˢ₁₂(1)|Hˢ₁₁(1)⊕Hˢ₁₂(1)|2Hˢ₁₁(1)|Hˢ₇(1)⊕Hˢ₉(1)|Hˢ₇(1)⊕Hˢ₉(1)|2Hˢ₁₂(1)|Hˢ₈(1)⊕Hˢ₁₀(1)|Hˢ₈(1)⊕Hˢ₁₀(1)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|2K₁(1)|2K₂(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₃(1)⊕K₄(1)|K₃(1)⊕K₄(1)|2K₃(1)|2K₄(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₅(1)⊕K₆(1)|K₅(1)⊕K₆(1)|2K₅(1)|2K₆(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₉(1)⊕Kˢ₁₂(1)|Kˢ₁₀(1)⊕Kˢ₁₁(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₉(1)⊕Kˢ₁₂(1)|Kˢ₁₀(1)⊕Kˢ₁₁(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₈(1)⊕Kˢ₁₁(1)|Kˢ₇(1)⊕Kˢ₁₂(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₈(1)⊕Kˢ₁₁(1)|Kˢ₇(1)⊕Kˢ₁₂(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)|Kˢ₇(1)⊕Kˢ₁₀(1)|Kˢ₈(1)⊕Kˢ₉(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)|Kˢ₇(1)⊕Kˢ₁₀(1)|Kˢ₈(1)⊕Kˢ₉(1)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|Lˢ₂(1)⊕Lˢ₃(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₃(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₃(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)
M:(1/2,0,0)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)
