Wyckoff pos.|2a(23)|2a(23)|2a(23)|2a(23)|6b(222)|6b(222)|6b(222)|6b(222)|2a(23)|2a(23)|2a(23)
Band-Rep.|A↑G(1)|¹E↑G(1)|²E↑G(1)|T↑G(3)|A₁↑G(3)|B₁↑G(3)|B₂↑G(3)|B₃↑G(3)|Eˢ↑G(2)|¹Fˢ↑G(2)|²Fˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₃(1)|Γ₂(1)|Γ₄(3)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)|Γ₄(3)|Γ₄(3)|Γ₄(3)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₇(2)
H:(1,1,1)|H₁(1)|H₃(1)|H₂(1)|H₄(3)|H₁(1)⊕H₂(1)⊕H₃(1)|H₄(3)|H₄(3)|H₄(3)|Hˢ₅(2)|Hˢ₆(2)|Hˢ₇(2)
P:(1/2,1/2,1/2)|P₁(1)|P₃(1)|P₂(1)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|Pˢ₅(2)|Pˢ₆(2)|Pˢ₇(2)
PA:(-1/2,-1/2,-1/2)|PA₁(1)|PA₂(1)|PA₃(1)|PA₄(3)|PA₄(3)|PA₄(3)|PA₄(3)|PA₁(1)⊕PA₂(1)⊕PA₃(1)|PAˢ₅(2)|PAˢ₇(2)|PAˢ₆(2)
N:(1/2,1/2,0)|N₁(1)|N₁(1)|N₁(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|3N₁(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₃(1)⊕Nˢ₄(1)
Λ:(u,u,u)|Λ₁(1)|Λ₃(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)
D:(1/2,1/2,w)|D₁(1)|D₁(1)|D₁(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|3D₁(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)
Δ:(0,v,0)|Δ₁(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|3Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕2Δ₂(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)
A:(u,v,0)|A₁(1)|A₁(1)|A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|2Aˢ₂(1)|2Aˢ₂(1)|2Aˢ₂(1)
C:(u,u,w)|C₁(1)|C₁(1)|C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)
G:(1+u,1-u,1)|G₁(1)|G₁(1)|G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|2Gˢ₂(1)|2Gˢ₂(1)|2Gˢ₂(1)
GP:(u,v,w)|GP₁(1)|GP₁(1)|GP₁(1)|3GP₁(1)|3GP₁(1)|3GP₁(1)|3GP₁(1)|3GP₁(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)
Σ:(u,u,0)|Σ₁(1)|Σ₁(1)|Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)
