Wyckoff pos.|4a(3)|4a(3)|4a(3)|4a(3)|4a(3)|4a(3)
Band-Rep.|A₁↑G(4)|¹E↑G(4)|²E↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(1)⊕Γ₄(3)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₆(2)⊕Γˢ₇(2)
R:(1/2,1/2,1/2)|R₁(2)⊕R₃(2)|R₁(2)⊕R₂(2)|R₂(2)⊕R₃(2)|Rˢ₆(1)⊕Rˢ₇(3)|Rˢ₅(1)⊕Rˢ₇(3)|Rˢ₄(1)⊕Rˢ₇(3)
M:(1/2,1/2,0)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)
X:(0,1/2,0)|2X₁(2)|2X₁(2)|2X₁(2)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
T:(1/2,1/2,w)|2T₁(1)⊕2T₂(1)|2T₁(1)⊕2T₂(1)|2T₁(1)⊕2T₂(1)|2Tˢ₃(1)⊕2Tˢ₄(1)|2Tˢ₃(1)⊕2Tˢ₄(1)|2Tˢ₃(1)⊕2Tˢ₄(1)
Z:(u,1/2,0)|2Z₁(1)⊕2Z₂(1)|2Z₁(1)⊕2Z₂(1)|2Z₁(1)⊕2Z₂(1)|2Zˢ₃(1)⊕2Zˢ₄(1)|2Zˢ₃(1)⊕2Zˢ₄(1)|2Zˢ₃(1)⊕2Zˢ₄(1)
ZA:(1/2,u,0)|2ZA₁(1)⊕2ZA₂(1)|2ZA₁(1)⊕2ZA₂(1)|2ZA₁(1)⊕2ZA₂(1)|2ZAˢ₃(1)⊕2ZAˢ₄(1)|2ZAˢ₃(1)⊕2ZAˢ₄(1)|2ZAˢ₃(1)⊕2ZAˢ₄(1)
A:(u,v,0)|4A₁(1)|4A₁(1)|4A₁(1)|4Aˢ₂(1)|4Aˢ₂(1)|4Aˢ₂(1)
B:(u,1/2,w)|4B₁(1)|4B₁(1)|4B₁(1)|4Bˢ₂(1)|4Bˢ₂(1)|4Bˢ₂(1)
C:(u,u,w)|4C₁(1)|4C₁(1)|4C₁(1)|4Cˢ₂(1)|4Cˢ₂(1)|4Cˢ₂(1)
GP:(u,v,w)|4GP₁(1)|4GP₁(1)|4GP₁(1)|4GPˢ₂(1)|4GPˢ₂(1)|4GPˢ₂(1)
S:(u,1/2,u)|4S₁(1)|4S₁(1)|4S₁(1)|4Sˢ₂(1)|4Sˢ₂(1)|4Sˢ₂(1)
Σ:(u,u,0)|4Σ₁(1)|4Σ₁(1)|4Σ₁(1)|4Σˢ₂(1)|4Σˢ₂(1)|4Σˢ₂(1)
