Wyckoff pos.|2a(23)|2a(23)|2a(23)|2a(23)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|6d(222)|6d(222)|6d(222)|6d(222)|2a(23)|2a(23)|2a(23)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)|4c(3ˢ)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A₁g↑G(4)|A₁ᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|A₁g↑G(4)|A₁ᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|A₁↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γˢ₅(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₁₀(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₉(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₁₀(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₉(2)⊕Γˢ₁₀(2)
R:(1/2,1/2,1/2)|R₁⁺(1)⊕R₁⁻(1)|R₃⁺(1)⊕R₃⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₄⁺(3)⊕R₄⁻(3)|R₁⁺(1)⊕R₄⁺(3)|R₁⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₃⁺(1)⊕R₄⁺(3)|R₃⁻(1)⊕R₄⁻(3)|R₁⁻(1)⊕R₄⁻(3)|R₁⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₃⁻(1)⊕R₄⁻(3)|R₃⁺(1)⊕R₄⁺(3)|R₄⁺(3)⊕R₄⁻(3)|R₄⁺(3)⊕R₄⁻(3)|R₄⁺(3)⊕R₄⁻(3)|R₁⁺(1)⊕R₁⁻(1)⊕R₂⁺(1)⊕R₂⁻(1)⊕R₃⁺(1)⊕R₃⁻(1)|Rˢ₅(2)⊕Rˢ₈(2)|Rˢ₆(2)⊕Rˢ₉(2)|Rˢ₇(2)⊕Rˢ₁₀(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₈(2)⊕Rˢ₉(2)|Rˢ₅(2)⊕Rˢ₇(2)|Rˢ₈(2)⊕Rˢ₁₀(2)|Rˢ₆(2)⊕Rˢ₇(2)|Rˢ₉(2)⊕Rˢ₁₀(2)|Rˢ₈(2)⊕Rˢ₉(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₈(2)⊕Rˢ₁₀(2)|Rˢ₅(2)⊕Rˢ₇(2)|Rˢ₉(2)⊕Rˢ₁₀(2)|Rˢ₆(2)⊕Rˢ₇(2)
M:(1/2,1/2,0)|M₁(2)|M₁(2)|M₁(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕2M₂(2)|3M₁(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)|Mˢ₃(2)⊕Mˢ₄(2)
X:(0,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|3X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕2X₂(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)⊕3Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
T:(1/2,1/2,w)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|3T₁(1)⊕3T₂(1)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)
Z:(u,1/2,0)|Z₁(2)|Z₁(2)|Z₁(2)|3Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|3Z₁(2)|3Z₁(2)|3Z₁(2)|3Z₁(2)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)⊕Zˢ₄(1)⊕Zˢ₅(1)
