Wyckoff pos.|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|2a(m3ˢ)|6b(mmm)|6b(mmm)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)|8c(3ˢ)
Band-Rep.|¹Aᵤ↑G(1)|Ag↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|A₁g↑G(4)|A₁ᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Fˢg↑G(2)|¹Fˢᵤ↑G(2)|²Fˢg↑G(2)|²Fˢᵤ↑G(2)|Eˢg↑G(6)|Eˢᵤ↑G(6)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γˢ₅(2)|Γˢ₈(2)|Γˢ₆(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₁₀(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₉(2)⊕Γˢ₁₀(2)
H:(1,1,1)|H₁⁻(1)|H₁⁺(1)|H₃⁺(1)|H₃⁻(1)|H₂⁺(1)|H₂⁻(1)|H₄⁺(3)|H₄⁻(3)|H₁⁺(1)⊕H₂⁺(1)⊕H₃⁺(1)|H₁⁻(1)⊕H₂⁻(1)⊕H₃⁻(1)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₁⁻(1)⊕H₄⁻(3)|H₁⁺(1)⊕H₄⁺(3)|H₂⁻(1)⊕H₄⁻(3)|H₂⁺(1)⊕H₄⁺(3)|H₃⁻(1)⊕H₄⁻(3)|H₃⁺(1)⊕H₄⁺(3)|Hˢ₅(2)|Hˢ₈(2)|Hˢ₆(2)|Hˢ₉(2)|Hˢ₇(2)|Hˢ₁₀(2)|Hˢ₅(2)⊕Hˢ₆(2)⊕Hˢ₇(2)|Hˢ₈(2)⊕Hˢ₉(2)⊕Hˢ₁₀(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₅(2)⊕Hˢ₆(2)|Hˢ₈(2)⊕Hˢ₁₀(2)|Hˢ₅(2)⊕Hˢ₇(2)|Hˢ₉(2)⊕Hˢ₁₀(2)|Hˢ₆(2)⊕Hˢ₇(2)
P:(1/2,1/2,1/2)|P₁(1)|P₁(1)|P₃(1)|P₃(1)|P₂(1)|P₂(1)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₄(3)|P₁(1)⊕P₄(3)|P₂(1)⊕P₄(3)|P₂(1)⊕P₄(3)|P₃(1)⊕P₄(3)|P₃(1)⊕P₄(3)|Pˢ₅(2)|Pˢ₅(2)|Pˢ₆(2)|Pˢ₆(2)|Pˢ₇(2)|Pˢ₇(2)|Pˢ₅(2)⊕Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₅(2)⊕Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₅(2)⊕Pˢ₆(2)|Pˢ₅(2)⊕Pˢ₆(2)|Pˢ₅(2)⊕Pˢ₇(2)|Pˢ₅(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)
N:(1/2,1/2,0)|N₁⁻(1)|N₁⁺(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)⊕2N₂⁺(1)|N₁⁻(1)⊕2N₂⁻(1)|N₁⁺(1)⊕2N₂⁻(1)|N₁⁻(1)⊕2N₂⁺(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕2N₁⁻(1)|2N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)|Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕2Nˢ₅(1)⊕2Nˢ₆(1)|2Nˢ₃(1)⊕2Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)|Nˢ₃(1)⊕Nˢ₄(1)⊕Nˢ₅(1)⊕Nˢ₆(1)
Δ:(0,v,0)|Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)|3Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)
A:(u,v,0)|A₂(1)|A₁(1)|A₁(1)|A₂(1)|A₁(1)|A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|3A₁(1)|3A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)|3Aˢ₃(1)⊕3Aˢ₄(1)|3Aˢ₃(1)⊕3Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)|2Aˢ₃(1)⊕2Aˢ₄(1)
