Wyckoff pos.|8a(23)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|8b(23)|24c(4ˢ)|24c(4ˢ)|24c(4ˢ)|24c(4ˢ)|24d(4ˢ)|24d(4ˢ)|24d(4ˢ)|24d(4ˢ)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|24c(4ˢ)|24c(4ˢ)|24c(4ˢ)|24c(4ˢ)|24d(4ˢ)|24d(4ˢ)|24d(4ˢ)|24d(4ˢ)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹Eˢ₁↑G(6)|¹Eˢ₂↑G(6)|²Eˢ₁↑G(6)|²Eˢ₂↑G(6)|¹Eˢ₁↑G(6)|¹Eˢ₂↑G(6)|²Eˢ₁↑G(6)|²Eˢ₂↑G(6)
Decomposable|false|false|false|false|false|false|false|false|true|true|false|false|true|true|false|false|true|false|false|true|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(4)|Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(4)|Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₈(4)|Γˢ₇(2)⊕Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₈(4)|Γˢ₇(2)⊕Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₈(4)|Γˢ₇(2)⊕Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₈(4)|Γˢ₇(2)⊕Γˢ₈(4)
X:(0,1,0)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₂(1)⊕2X₃(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕X₃(1)⊕2X₄(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|2X₁(1)⊕X₂(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕2X₂(1)⊕X₃(1)⊕X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|2Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕2Xˢ₇(2)|2Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕2Xˢ₇(2)|Xˢ₆(2)⊕2Xˢ₇(2)|2Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕2Xˢ₇(2)|2Xˢ₆(2)⊕Xˢ₇(2)
L:(1/2,1/2,1/2)|L₁(1)⊕L₂(1)|L₃(2)|L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)|L₃(2)|L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(2)|2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₆(2)
W:(1/2,1,0)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|3W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕3W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕3W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕3W₄(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕Wˢ₈(1)|2Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕2Wˢ₆(1)⊕Wˢ₇(1)⊕2Wˢ₈(1)|Wˢ₅(1)⊕2Wˢ₆(1)⊕Wˢ₇(1)⊕2Wˢ₈(1)|2Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(1)⊕Wˢ₈(1)|2Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕2Wˢ₈(1)|Wˢ₅(1)⊕2Wˢ₆(1)⊕2Wˢ₇(1)⊕Wˢ₈(1)|Wˢ₅(1)⊕2Wˢ₆(1)⊕2Wˢ₇(1)⊕Wˢ₈(1)|2Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(1)⊕2Wˢ₈(1)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|3C₁(1)⊕3C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)
