Wyckoff pos.|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1a(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|1b(m3ˢm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁g↑G(3)|A₁ᵤ↑G(3)|A₂g↑G(3)|A₂ᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|Eg↑G(6)|Eᵤ↑G(6)|A₁g↑G(3)|A₁ᵤ↑G(3)|A₂g↑G(3)|A₂ᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|Eg↑G(6)|Eᵤ↑G(6)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Fˢg↑G(4)|Fˢᵤ↑G(4)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Fˢg↑G(4)|Fˢᵤ↑G(4)|Eˢ₁g↑G(6)|Eˢ₁ᵤ↑G(6)|Eˢ₂g↑G(6)|Eˢ₂ᵤ↑G(6)|Eˢ₁g↑G(6)|Eˢ₁ᵤ↑G(6)|Eˢ₂g↑G(6)|Eˢ₂ᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₉(2)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₉(2)⊕Γˢ₁₁(4)
R:(1/2,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₃⁺(2)|R₃⁻(2)|R₄⁺(3)|R₄⁻(3)|R₅⁺(3)|R₅⁻(3)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₃⁻(2)|R₃⁺(2)|R₅⁻(3)|R₅⁺(3)|R₄⁻(3)|R₄⁺(3)|R₅⁺(3)|R₅⁻(3)|R₂⁺(1)⊕R₃⁺(2)|R₂⁻(1)⊕R₃⁻(2)|R₄⁺(3)|R₄⁻(3)|R₁⁺(1)⊕R₃⁺(2)|R₁⁻(1)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁺(3)|R₄⁻(3)⊕R₅⁻(3)|R₄⁻(3)|R₄⁺(3)|R₁⁻(1)⊕R₃⁻(2)|R₁⁺(1)⊕R₃⁺(2)|R₅⁻(3)|R₅⁺(3)|R₂⁻(1)⊕R₃⁻(2)|R₂⁺(1)⊕R₃⁺(2)|R₄⁻(3)⊕R₅⁻(3)|R₄⁺(3)⊕R₅⁺(3)|Rˢ₆(2)|Rˢ₈(2)|Rˢ₇(2)|Rˢ₉(2)|Rˢ₁₀(4)|Rˢ₁₁(4)|Rˢ₉(2)|Rˢ₇(2)|Rˢ₈(2)|Rˢ₆(2)|Rˢ₁₁(4)|Rˢ₁₀(4)|Rˢ₇(2)⊕Rˢ₁₀(4)|Rˢ₉(2)⊕Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₁₀(4)|Rˢ₈(2)⊕Rˢ₁₁(4)|Rˢ₈(2)⊕Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₁₀(4)|Rˢ₉(2)⊕Rˢ₁₁(4)|Rˢ₇(2)⊕Rˢ₁₀(4)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₅⁺(2)|M₃⁻(1)⊕M₅⁻(2)|M₄⁺(1)⊕M₅⁺(2)|M₄⁻(1)⊕M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₅⁺(2)|M₂⁻(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₅⁻(2)|M₄⁺(1)⊕M₅⁻(2)|M₄⁻(1)⊕M₅⁺(2)|M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₃⁺(1)⊕M₅⁻(2)|M₃⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₁⁺(1)⊕M₂⁺(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₁⁺(1)⊕M₅⁻(2)|M₁⁻(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)|M₂⁺(1)⊕M₅⁻(2)|M₂⁻(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₄⁻(1)|M₃⁻(1)⊕M₄⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₃⁺(1)⊕M₄⁺(1)⊕M₅⁺(2)⊕M₅⁻(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)|Mˢ₈(2)|Mˢ₇(2)|Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)|Mˢ₇(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₉(2)|Mˢ₇(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₅⁺(2)|X₃⁻(1)⊕X₅⁻(2)|X₄⁺(1)⊕X₅⁺(2)|X₄⁻(1)⊕X₅⁻(2)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₁⁻(1)⊕X₅⁻(2)|X₁⁺(1)⊕X₅⁺(2)|X₂⁻(1)⊕X₅⁻(2)|X₂⁺(1)⊕X₅⁺(2)|X₁⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₅⁻(2)|X₃⁻(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₂⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₄⁺(1)⊕X₅⁻(2)|X₄⁻(1)⊕X₅⁺(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₅⁺(2)|X₁⁺(1)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₅⁻(2)|X₃⁺(1)⊕X₄⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₃⁻(1)⊕X₄⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|Xˢ₆(2)|Xˢ₈(2)|Xˢ₇(2)|Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₈(2)|Xˢ₆(2)|Xˢ₉(2)|Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)|Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)|Xˢ₆(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₉(2)|Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)
Δ:(0,v,0)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|2Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕2Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|2Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕2Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δˢ₇(2)|Δˢ₇(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₇(2)|Δˢ₇(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)
T:(1/2,1/2,w)|T₁(1)|T₄(1)|T₂(1)|T₃(1)|T₁(1)⊕T₂(1)|T₃(1)⊕T₄(1)|T₄(1)⊕T₅(2)|T₁(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₂(1)⊕T₅(2)|T₃(1)|T₂(1)|T₄(1)|T₁(1)|T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)|T₂(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₁(1)⊕T₅(2)|T₄(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₂(1)⊕T₅(2)|T₁(1)⊕2T₂(1)|2T₃(1)⊕T₄(1)|T₄(1)⊕T₅(2)|T₁(1)⊕T₅(2)|2T₁(1)⊕T₂(1)|T₃(1)⊕2T₄(1)|T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕2T₅(2)|T₁(1)⊕T₅(2)|T₄(1)⊕T₅(2)|T₃(1)⊕2T₄(1)|2T₁(1)⊕T₂(1)|T₂(1)⊕T₅(2)|T₃(1)⊕T₅(2)|2T₃(1)⊕T₄(1)|T₁(1)⊕2T₂(1)|T₁(1)⊕T₂(1)⊕2T₅(2)|T₃(1)⊕T₄(1)⊕2T₅(2)|Tˢ₇(2)|Tˢ₇(2)|Tˢ₆(2)|Tˢ₆(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)|Tˢ₆(2)|Tˢ₇(2)|Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|2Tˢ₆(2)⊕Tˢ₇(2)|2Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕2Tˢ₇(2)|Tˢ₆(2)⊕2Tˢ₇(2)|Tˢ₆(2)⊕2Tˢ₇(2)|Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕Tˢ₇(2)|2Tˢ₆(2)⊕Tˢ₇(2)
Λ:(u,u,u)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)
