Wyckoff pos.|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|8c(4ˢ3m)|8c(4ˢ3m)|8c(4ˢ3m)|8c(4ˢ3m)|8c(4ˢ3m)|24d(mmm)|24d(mmm)|24d(mmm)|24d(mmm)|24d(mmm)|24d(mmm)|24d(mmm)|24d(mmm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4a(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|4b(m3ˢm)|8c(4ˢ3m)|8c(4ˢ3m)|24d(mmm)|24d(mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|B₁g↑G(6)|B₁ᵤ↑G(6)|B₂g↑G(6)|B₂ᵤ↑G(6)|B₃g↑G(6)|B₃ᵤ↑G(6)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Fˢg↑G(4)|Fˢᵤ↑G(4)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|Eˢ₂g↑G(2)|Eˢ₂ᵤ↑G(2)|Fˢg↑G(4)|Fˢᵤ↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢg↑G(12)|Eˢᵤ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₃⁺(2)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₃⁻(2)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₃⁻(2)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₇(2)⊕2Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕2Γˢ₁₁(4)
X:(0,1,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₅⁺(2)|X₃⁻(1)⊕X₅⁻(2)|X₄⁺(1)⊕X₅⁺(2)|X₄⁻(1)⊕X₅⁻(2)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₅⁺(2)|X₃⁻(1)⊕X₅⁻(2)|X₄⁺(1)⊕X₅⁺(2)|X₄⁻(1)⊕X₅⁻(2)|X₃⁻(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)⊕X₅⁻(2)|X₁⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)⊕X₄⁻(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₃⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)⊕X₅⁻(2)|X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₅⁺(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|Xˢ₆(2)|Xˢ₈(2)|Xˢ₇(2)|Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)|Xˢ₈(2)|Xˢ₇(2)|Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₇(2)⊕Xˢ₈(2)|Xˢ₆(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕2Xˢ₈(2)⊕2Xˢ₉(2)|2Xˢ₆(2)⊕2Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)
L:(1/2,1/2,1/2)|L₁⁺(1)|L₁⁻(1)|L₂⁺(1)|L₂⁻(1)|L₃⁺(2)|L₃⁻(2)|L₂⁺(1)⊕L₃⁺(2)|L₂⁻(1)⊕L₃⁻(2)|L₁⁺(1)⊕L₃⁺(2)|L₁⁻(1)⊕L₃⁻(2)|L₂⁻(1)|L₂⁺(1)|L₁⁻(1)|L₁⁺(1)|L₃⁻(2)|L₃⁺(2)|L₁⁻(1)⊕L₃⁻(2)|L₁⁺(1)⊕L₃⁺(2)|L₂⁻(1)⊕L₃⁻(2)|L₂⁺(1)⊕L₃⁺(2)|L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|Lˢ₈(2)|Lˢ₉(2)|Lˢ₈(2)|Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₈(2)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₉(2)|Lˢ₉(2)|Lˢ₈(2)|Lˢ₉(2)|Lˢ₈(2)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₈(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕2Lˢ₈(2)⊕2Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕2Lˢ₈(2)⊕2Lˢ₉(2)
W:(1/2,1,0)|W₁(1)|W₄(1)|W₂(1)|W₃(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₅(2)|W₂(1)⊕W₅(2)|W₄(1)⊕W₅(2)|W₁(1)⊕W₅(2)|W₂(1)|W₃(1)|W₁(1)|W₄(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₄(1)⊕W₅(2)|W₁(1)⊕W₅(2)|W₃(1)⊕W₅(2)|W₂(1)⊕W₅(2)|W₅(2)|W₅(2)|2W₅(2)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)⊕W₅(2)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)⊕W₅(2)|W₁(1)⊕W₂(1)⊕2W₅(2)|W₃(1)⊕W₄(1)⊕2W₅(2)|W₁(1)⊕W₂(1)⊕2W₅(2)|W₃(1)⊕W₄(1)⊕2W₅(2)|W₁(1)⊕W₃(1)⊕2W₄(1)⊕W₅(2)|2W₁(1)⊕W₂(1)⊕W₄(1)⊕W₅(2)|W₂(1)⊕2W₃(1)⊕W₄(1)⊕W₅(2)|W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₅(2)|Wˢ₇(2)|Wˢ₆(2)|Wˢ₆(2)|Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)|Wˢ₇(2)|Wˢ₇(2)|Wˢ₆(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|3Wˢ₆(2)⊕3Wˢ₇(2)|3Wˢ₆(2)⊕3Wˢ₇(2)
Δ:(0,v,0)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|2Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₃(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δˢ₇(2)|Δˢ₇(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₇(2)|Δˢ₇(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)
Λ:(u,u,u)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|2Λ₁(1)|2Λ₂(1)|2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)
Σ:(u,u,0)|Σ₁(1)|Σ₄(1)|Σ₂(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₄(1)|Σ₁(1)|Σ₄(1)|Σ₂(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕Σ₄(1)|3Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕3Σ₄(1)|Σ₁(1)⊕3Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕3Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|6Σˢ₅(2)|6Σˢ₅(2)
