Wyckoff pos.|16a(23)|16a(23)|16a(23)|16a(23)|32b(32)|32b(32)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|48d(4ˢ)|48d(4ˢ)|48d(4ˢ)|48d(4ˢ)|16a(23)|16a(23)|16a(23)|32b(32)|32b(32)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|32c(3ˢ)|48d(4ˢ)|48d(4ˢ)|48d(4ˢ)|48d(4ˢ)
Band-Rep.|A↑G(4)|¹E↑G(4)|²E↑G(4)|T↑G(12)|A₁↑G(8)|A₂↑G(8)|A₁g↑G(8)|A₁ᵤ↑G(8)|¹Eg↑G(8)|¹Eᵤ↑G(8)|²Eg↑G(8)|²Eᵤ↑G(8)|A↑G(12)|B↑G(12)|¹E↑G(12)|²E↑G(12)|Eˢ↑G(8)|¹Fˢ↑G(8)|²Fˢ↑G(8)|¹Eˢ↑G(8)|²Eˢ↑G(8)|¹Eˢg↑G(8)|¹Eˢᵤ↑G(8)|²Eˢg↑G(8)|²Eˢᵤ↑G(8)|Eˢg↑G(8)|Eˢᵤ↑G(8)|¹Eˢ₁↑G(12)|¹Eˢ₂↑G(12)|²Eˢ₁↑G(12)|²Eˢ₂↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)|2Γˢ₁₀(4)|2Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)
X:(0,1,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)|X₁(2)⊕X₂(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)
L:(1/2,1/2,1/2)|2L₃(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|2L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕2L₂(2)⊕L₃(2)|L₁(2)⊕2L₂(2)⊕L₃(2)|2L₁(2)⊕L₂(2)⊕L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕2Lˢ₆(2)|Lˢ₄(2)⊕2Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕2Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)
W:(1/2,1,0)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|3W₁(2)⊕3W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|3W₁(2)⊕3W₂(2)|3W₁(2)⊕3W₂(2)|4W₁(2)⊕2W₂(2)|2W₁(2)⊕4W₂(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|2Wˢ₃(1)⊕2Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕3Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕2Wˢ₅(1)⊕2Wˢ₆(1)⊕3Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕2Wˢ₅(1)⊕2Wˢ₆(1)⊕3Wˢ₇(2)|2Wˢ₃(1)⊕2Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕3Wˢ₇(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)
Λ:(u,u,u)|2Λ₁(1)⊕2Λ₂(1)|2Λ₃(2)|2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕3Σ₄(1)|Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|6Σˢ₅(2)|6Σˢ₅(2)|6Σˢ₅(2)|6Σˢ₅(2)
