Wyckoff pos.|4a(222)|4a(222)|4a(222)|4a(222)|4b(222)|4b(222)|4b(222)|4b(222)|4c(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|8e(1ˢ)|8e(1ˢ)|4c(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|8e(1ˢ)|8e(1ˢ)
Band-Rep.|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(4)|Aᵤ↑G(4)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|Aˢg↑G(4)|Aˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)
X:(1,1,1)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)
R:(1/2,0,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|2R₁(2)|2R₁(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|Rˢ₂(2)|2Rˢ₂(2)|2Rˢ₂(2)
S:(0,1/2,1/2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|2S₁(2)|2S₁(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|Sˢ₂(2)|2Sˢ₂(2)|2Sˢ₂(2)
T:(1/2,1/2,0)|T₁⁺(1)⊕T₁⁻(1)|T₁⁺(1)⊕T₁⁻(1)|T₂⁺(1)⊕T₂⁻(1)|T₂⁺(1)⊕T₂⁻(1)|T₂⁺(1)⊕T₂⁻(1)|T₂⁺(1)⊕T₂⁻(1)|T₁⁺(1)⊕T₁⁻(1)|T₁⁺(1)⊕T₁⁻(1)|2T₁⁺(1)|2T₁⁻(1)|2T₂⁺(1)|2T₂⁻(1)|2T₂⁻(1)|2T₂⁺(1)|2T₁⁻(1)|2T₁⁺(1)|T₁⁺(1)⊕T₁⁻(1)⊕T₂⁺(1)⊕T₂⁻(1)|T₁⁺(1)⊕T₁⁻(1)⊕T₂⁺(1)⊕T₂⁻(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)⊕Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₃(1)⊕Tˢ₄(1)⊕Tˢ₅(1)⊕Tˢ₆(1)
W:(1/2,1/2,1/2)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
