Wyckoff pos.|4a(2)|4a(2)|4b(2)|4b(2)|4c(2)|4c(2)|4a(2)|4a(2)|4b(2)|4b(2)|4c(2)|4c(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)
W:(1/2,1/2,1/2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|Wˢ₂(1)⊕Wˢ₃(1)|Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₂(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₅(1)
WA:(-1/2,-1/2,-1/2)|WA₁(2)|WA₁(2)|WA₁(2)|WA₁(2)|WA₁(2)|WA₁(2)|WAˢ₄(1)⊕WAˢ₅(1)|WAˢ₂(1)⊕WAˢ₃(1)|WAˢ₂(1)⊕WAˢ₅(1)|WAˢ₃(1)⊕WAˢ₄(1)|WAˢ₃(1)⊕WAˢ₅(1)|WAˢ₂(1)⊕WAˢ₄(1)
X:(1,1,1)|X₁(1)⊕X₃(1)|X₂(1)⊕X₄(1)|X₂(1)⊕X₃(1)|X₁(1)⊕X₄(1)|X₁(1)⊕X₂(1)|X₃(1)⊕X₄(1)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)
R:(1/2,0,1/2)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|2Rˢ₃(1)|2Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)
S:(0,1/2,1/2)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2Sˢ₃(1)|2Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)
T:(1/2,1/2,0)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|2Tˢ₃(1)|2Tˢ₄(1)
