Wyckoff pos.|4a(4ˢ)|4a(4ˢ)|4a(4ˢ)|4b(4ˢ)|4b(4ˢ)|4b(4ˢ)|8d(2)|8d(2)|4a(4ˢ)|4a(4ˢ)|4b(4ˢ)|4b(4ˢ)|8d(2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E²E↑G(4)|A↑G(2)|B↑G(2)|¹E²E↑G(4)|A↑G(4)|B↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₅(2)|Γ₁(1)⊕Γ₂(1)⊕Γ₅(2)|Γ₃(1)⊕Γ₄(1)⊕Γ₅(2)|2Γˢ₇(2)|2Γˢ₆(2)|2Γˢ₇(2)|2Γˢ₆(2)|2Γˢ₆(2)⊕2Γˢ₇(2)
M:(1,1,1)|M₅(2)|M₅(2)|M₁M₂(2)⊕M₃M₄(2)|M₅(2)|M₅(2)|M₁M₂(2)⊕M₃M₄(2)|M₁M₂(2)⊕M₅(2)|M₃M₄(2)⊕M₅(2)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|2Mˢ₆Mˢ₇(4)
P:(1/2,1/2,1/2)|P₁(2)|P₂(2)|P₁(2)⊕P₂(2)|P₂(2)|P₁(2)|P₁(2)⊕P₂(2)|P₁(2)⊕P₂(2)|P₁(2)⊕P₂(2)|Pˢ₄(1)⊕Pˢ₆(1)⊕Pˢ₇(2)|Pˢ₃(1)⊕Pˢ₅(1)⊕Pˢ₇(2)|Pˢ₃(1)⊕Pˢ₅(1)⊕Pˢ₇(2)|Pˢ₄(1)⊕Pˢ₆(1)⊕Pˢ₇(2)|Pˢ₃(1)⊕Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)⊕2Pˢ₇(2)
PA:(-1/2,-1/2,-1/2)|PA₁(2)|PA₂(2)|PA₁(2)⊕PA₂(2)|PA₂(2)|PA₁(2)|PA₁(2)⊕PA₂(2)|PA₁(2)⊕PA₂(2)|PA₁(2)⊕PA₂(2)|PAˢ₄(1)⊕PAˢ₆(1)⊕PAˢ₇(2)|PAˢ₃(1)⊕PAˢ₅(1)⊕PAˢ₇(2)|PAˢ₃(1)⊕PAˢ₅(1)⊕PAˢ₇(2)|PAˢ₄(1)⊕PAˢ₆(1)⊕PAˢ₇(2)|PAˢ₃(1)⊕PAˢ₄(1)⊕PAˢ₅(1)⊕PAˢ₆(1)⊕2PAˢ₇(2)
X:(1/2,1/2,0)|X₁(2)|X₁(2)|2X₁(2)|X₁(2)|X₁(2)|2X₁(2)|2X₁(2)|2X₁(2)|Xˢ₂Xˢ₃(2)⊕Xˢ₄Xˢ₅(2)|Xˢ₂Xˢ₃(2)⊕Xˢ₄Xˢ₅(2)|Xˢ₂Xˢ₃(2)⊕Xˢ₄Xˢ₅(2)|Xˢ₂Xˢ₃(2)⊕Xˢ₄Xˢ₅(2)|2Xˢ₂Xˢ₃(2)⊕2Xˢ₄Xˢ₅(2)
N:(1/2,0,1/2)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|2N₁(1)⊕2N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2Nˢ₃Nˢ₄(2)|2Nˢ₃Nˢ₄(2)|2Nˢ₃Nˢ₄(2)|2Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)⊕Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)⊕Λ₃Λ₄(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|4Λˢ₅(2)
