Wyckoff pos.|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eg²Eg↑G(4)|¹Eᵤ²Eᵤ↑G(4)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eg²Eg↑G(4)|¹Eᵤ²Eᵤ↑G(4)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(4)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(4)|¹Eˢ₂g²Eˢ₂g↑G(4)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(4)|¹Eˢ₁g²Eˢ₁g↑G(4)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(4)|¹Eˢ₂g²Eˢ₂g↑G(4)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₁⁺A₄⁺(2)⊕A₂⁺A₃⁺(2)|A₁⁻A₄⁻(2)⊕A₂⁻A₃⁻(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₁⁻A₄⁻(2)⊕A₂⁻A₃⁻(2)|A₁⁺A₄⁺(2)⊕A₂⁺A₃⁺(2)|A₁⁺A₄⁺(2)|A₁⁻A₄⁻(2)|A₂⁺A₃⁺(2)|A₂⁻A₃⁻(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₂⁻A₃⁻(2)|A₂⁺A₃⁺(2)|A₁⁻A₄⁻(2)|A₁⁺A₄⁺(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|Aˢ₆Aˢ₇(4)|Aˢ₈Aˢ₉(4)|Aˢ₆Aˢ₇(4)|Aˢ₈Aˢ₉(4)|Aˢ₈Aˢ₉(4)|Aˢ₆Aˢ₇(4)|Aˢ₈Aˢ₉(4)|Aˢ₆Aˢ₇(4)|Aˢ₆Aˢ₇(4)|Aˢ₈Aˢ₉(4)|Aˢ₈Aˢ₉(4)|Aˢ₆Aˢ₇(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|2Γ₅⁺(2)|2Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|2Γ₅⁺(2)|2Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|2Γˢ₇(2)|2Γˢ₉(2)|2Γˢ₆(2)|2Γˢ₈(2)|2Γˢ₇(2)|2Γˢ₉(2)|2Γˢ₆(2)|2Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)
M:(1/2,1/2,0)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₁⁺M₄⁺(2)⊕M₂⁺M₃⁺(2)|M₁⁻M₄⁻(2)⊕M₂⁻M₃⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₁⁺M₄⁺(2)⊕M₂⁺M₃⁺(2)|M₁⁻M₄⁻(2)⊕M₂⁻M₃⁻(2)|M₂⁻M₃⁻(2)|M₂⁺M₃⁺(2)|M₁⁻M₄⁻(2)|M₁⁺M₄⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₂⁻M₃⁻(2)|M₂⁺M₃⁺(2)|M₁⁻M₄⁻(2)|M₁⁺M₄⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|Mˢ₆Mˢ₇(4)|Mˢ₈Mˢ₉(4)|Mˢ₆Mˢ₇(4)|Mˢ₈Mˢ₉(4)|Mˢ₆Mˢ₇(4)|Mˢ₈Mˢ₉(4)|Mˢ₆Mˢ₇(4)|Mˢ₈Mˢ₉(4)|Mˢ₈Mˢ₉(4)|Mˢ₆Mˢ₇(4)|Mˢ₈Mˢ₉(4)|Mˢ₆Mˢ₇(4)
Z:(0,0,1/2)|Z₁⁺(1)⊕Z₃⁺(1)|Z₁⁻(1)⊕Z₃⁻(1)|Z₂⁺(1)⊕Z₄⁺(1)|Z₂⁻(1)⊕Z₄⁻(1)|2Z₅⁺(2)|2Z₅⁻(2)|Z₁⁻(1)⊕Z₃⁻(1)|Z₁⁺(1)⊕Z₃⁺(1)|Z₂⁻(1)⊕Z₄⁻(1)|Z₂⁺(1)⊕Z₄⁺(1)|2Z₅⁻(2)|2Z₅⁺(2)|Z₂⁻(1)⊕Z₃⁻(1)|Z₂⁺(1)⊕Z₃⁺(1)|Z₁⁻(1)⊕Z₄⁻(1)|Z₁⁺(1)⊕Z₄⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₁⁺(1)⊕Z₄⁺(1)|Z₁⁻(1)⊕Z₄⁻(1)|Z₂⁺(1)⊕Z₃⁺(1)|Z₂⁻(1)⊕Z₃⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|2Zˢ₇(2)|2Zˢ₉(2)|2Zˢ₆(2)|2Zˢ₈(2)|2Zˢ₉(2)|2Zˢ₇(2)|2Zˢ₈(2)|2Zˢ₆(2)|Zˢ₈(2)⊕Zˢ₉(2)|Zˢ₆(2)⊕Zˢ₇(2)|Zˢ₆(2)⊕Zˢ₇(2)|Zˢ₈(2)⊕Zˢ₉(2)
R:(0,1/2,1/2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)|2R₁(2)|2R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|2R₂(2)|2R₁(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)
X:(0,1/2,0)|X₂(2)|X₁(2)|X₂(2)|X₁(2)|2X₁(2)|2X₂(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)|2X₁(2)|2X₂(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)
Λ:(0,0,w)|Λ₁(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₃(1)|2Λ₅(2)|2Λ₅(2)|Λ₁(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₃(1)|2Λ₅(2)|2Λ₅(2)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₃(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|2Λˢ₇(2)|2Λˢ₇(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₇(2)|2Λˢ₇(2)|2Λˢ₆(2)|2Λˢ₆(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)
