Wyckoff pos.|6a(3)|6a(3)|6a(3)|6a(3)
Band-Rep.|A₁↑G(2)|¹E²E↑G(4)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)
Decomposable|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|2Γˢ₆(2)|2Γˢ₄Γˢ₅(2)
T:(0,0,3/2)|T₁T₂(2)|T₃T₃(4)|Tˢ₆Tˢ₆(4)|Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)
F:(0,1/2,1)|F₁(1)⊕F₂(1)|2F₁(1)⊕2F₂(1)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)
L:(-1/2,1/2,1/2)|L₁L₂(2)|2L₁L₂(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)
C:(u,-u,w)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)
GP:(u,v,w)|2GP₁(1)|4GP₁(1)|4GPˢ₂(1)|4GPˢ₂(1)
Σ:(u,-2*u,0)|2Σ₁(1)|4Σ₁(1)|4Σˢ₂(1)|4Σˢ₂(1)
Y:(u,u,3/2)|Y₁Y₁(2)|2Y₁Y₁(2)|2Yˢ₂Yˢ₂(2)|2Yˢ₂Yˢ₂(2)
