Wyckoff pos.|1a(6)|1a(6)|1a(6)|1a(6)|2b(3)|2b(3)|3c(2)|3c(2)|1a(6)|1a(6)|1a(6)|2b(3)|2b(3)|3c(2)
Band-Rep.|A↑G(1)|B↑G(1)|¹E₁²E₁↑G(2)|¹E₂²E₂↑G(2)|A₁↑G(2)|¹E²E↑G(4)|A↑G(3)|B↑G(3)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ₃²Eˢ₃↑G(2)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)|¹Eˢ²Eˢ↑G(6)
Decomposable|false|false|false|false|false|true|true|true|false|false|false|true|true|true
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃A₅(2)|A₄A₆(2)|A₁(1)⊕A₂(1)|A₃A₅(2)⊕A₄A₆(2)|A₁(1)⊕A₃A₅(2)|A₂(1)⊕A₄A₆(2)|Aˢ₇Aˢ₈(2)|Aˢ₁₂Aˢ₉(2)|Aˢ₁₀Aˢ₁₁(2)|Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₂Aˢ₉(2)|2Aˢ₇Aˢ₈(2)|Aˢ₇Aˢ₈(2)⊕Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₂Aˢ₉(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃Γ₅(2)|Γ₄Γ₆(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₅(2)⊕Γ₄Γ₆(2)|Γ₁(1)⊕Γ₃Γ₅(2)|Γ₂(1)⊕Γ₄Γ₆(2)|Γˢ₇Γˢ₈(2)|Γˢ₁₂Γˢ₉(2)|Γˢ₁₀Γˢ₁₁(2)|Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)|2Γˢ₇Γˢ₈(2)|Γˢ₇Γˢ₈(2)⊕Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂H₃(2)|H₂H₃(2)|H₂H₃(2)|2H₁(1)⊕H₂H₃(2)|H₁(1)⊕H₂H₃(2)|H₁(1)⊕H₂H₃(2)|2Hˢ₄(1)|Hˢ₅Hˢ₆(2)|Hˢ₅Hˢ₆(2)|2Hˢ₄(1)⊕Hˢ₅Hˢ₆(2)|2Hˢ₅Hˢ₆(2)|2Hˢ₄(1)⊕2Hˢ₅Hˢ₆(2)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂K₃(2)|K₂K₃(2)|K₂K₃(2)|2K₁(1)⊕K₂K₃(2)|K₁(1)⊕K₂K₃(2)|K₁(1)⊕K₂K₃(2)|2Kˢ₄(1)|Kˢ₅Kˢ₆(2)|Kˢ₅Kˢ₆(2)|2Kˢ₄(1)⊕Kˢ₅Kˢ₆(2)|2Kˢ₅Kˢ₆(2)|2Kˢ₄(1)⊕2Kˢ₅Kˢ₆(2)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|2L₁(1)|2L₂(1)|L₁(1)⊕L₂(1)|2L₁(1)⊕2L₂(1)|L₁(1)⊕2L₂(1)|2L₁(1)⊕L₂(1)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)|2Lˢ₃Lˢ₄(2)|2Lˢ₃Lˢ₄(2)|3Lˢ₃Lˢ₄(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|2M₁(1)|2M₂(1)|M₁(1)⊕M₂(1)|2M₁(1)⊕2M₂(1)|M₁(1)⊕2M₂(1)|2M₁(1)⊕M₂(1)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|3Mˢ₃Mˢ₄(2)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₃(1)⊕Δ₅(1)|Δ₄(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δˢ₇(1)⊕Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₂(1)|Δˢ₁₀(1)⊕Δˢ₁₁(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₇(1)⊕Δˢ₈(1)⊕Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)
P:(1/3,1/3,w)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|2P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|2Pˢ₄(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|2Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|2Pˢ₅(1)⊕2Pˢ₆(1)|2Pˢ₄(1)⊕2Pˢ₅(1)⊕2Pˢ₆(1)
U:(1/2,0,w)|U₁(1)|U₂(1)|2U₁(1)|2U₂(1)|U₁(1)⊕U₂(1)|2U₁(1)⊕2U₂(1)|U₁(1)⊕2U₂(1)|2U₁(1)⊕U₂(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|2Uˢ₃(1)⊕2Uˢ₄(1)|2Uˢ₃(1)⊕2Uˢ₄(1)|3Uˢ₃(1)⊕3Uˢ₄(1)
B:(u,v,0)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|4B₁(1)|3B₁(1)|3B₁(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|4Bˢ₂(1)|4Bˢ₂(1)|6Bˢ₂(1)
C:(u,u,w)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|4C₁(1)|3C₁(1)|3C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|4Cˢ₂(1)|4Cˢ₂(1)|6Cˢ₂(1)
D:(u,0,w)|D₁(1)|D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|4D₁(1)|3D₁(1)|3D₁(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|4Dˢ₂(1)|4Dˢ₂(1)|6Dˢ₂(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|4E₁(1)|3E₁(1)|3E₁(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|4Eˢ₂(1)|4Eˢ₂(1)|6Eˢ₂(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|3Ω₁(1)|3Ω₁(1)|2Ωˢ₂(1)|2Ωˢ₂(1)|2Ωˢ₂(1)|4Ωˢ₂(1)|4Ωˢ₂(1)|6Ωˢ₂(1)
Λ:(u,u,0)|Λ₁(1)|Λ₁(1)|2Λ₁(1)|2Λ₁(1)|2Λ₁(1)|4Λ₁(1)|3Λ₁(1)|3Λ₁(1)|2Λˢ₂(1)|2Λˢ₂(1)|2Λˢ₂(1)|4Λˢ₂(1)|4Λˢ₂(1)|6Λˢ₂(1)
