Wyckoff pos.|2a(3)|2a(3)|2b(3)|2b(3)|2a(3)|2a(3)|2b(3)|2b(3)
Band-Rep.|A₁↑G(2)|¹E²E↑G(4)|A₁↑G(2)|¹E²E↑G(4)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁A₂(2)|A₃A₆(2)⊕A₄A₅(2)|A₁A₂(2)|A₃A₆(2)⊕A₄A₅(2)|Aˢ₁₀Aˢ₁₂(2)⊕Aˢ₁₁Aˢ₉(2)|Aˢ₇Aˢ₇(2)⊕Aˢ₈Aˢ₈(2)|Aˢ₁₀Aˢ₁₂(2)⊕Aˢ₁₁Aˢ₉(2)|Aˢ₇Aˢ₇(2)⊕Aˢ₈Aˢ₈(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₅(2)⊕Γ₄Γ₆(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₅(2)⊕Γ₄Γ₆(2)|Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)|2Γˢ₇Γˢ₈(2)|Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)|2Γˢ₇Γˢ₈(2)
H:(1/3,1/3,1/2)|H₁H₁(2)|2H₂H₃(2)|H₂H₃(2)|H₁H₁(2)⊕H₂H₃(2)|2Hˢ₅Hˢ₆(2)|2Hˢ₄Hˢ₄(2)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₆(2)|2Hˢ₅Hˢ₆(2)
K:(1/3,1/3,0)|2K₁(1)|2K₂K₃(2)|K₂K₃(2)|2K₁(1)⊕K₂K₃(2)|2Kˢ₅Kˢ₆(2)|4Kˢ₄(1)|2Kˢ₄(1)⊕Kˢ₅Kˢ₆(2)|2Kˢ₅Kˢ₆(2)
L:(1/2,0,1/2)|L₁L₂(2)|2L₁L₂(2)|L₁L₂(2)|2L₁L₂(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)
M:(1/2,0,0)|M₁(1)⊕M₂(1)|2M₁(1)⊕2M₂(1)|M₁(1)⊕M₂(1)|2M₁(1)⊕2M₂(1)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)
