Wyckoff pos.|1a(622)|1a(622)|1a(622)|1a(622)|1a(622)|1a(622)|1b(622)|1b(622)|1b(622)|1b(622)|1b(622)|1b(622)|2c(32)|2c(32)|2c(32)|2d(32)|2d(32)|2d(32)|3f(222)|3f(222)|3f(222)|3f(222)|3g(222)|3g(222)|3g(222)|3g(222)|1a(622)|1a(622)|1a(622)|1b(622)|1b(622)|1b(622)|2c(32)|2c(32)|2d(32)|2d(32)|3f(222)|3g(222)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|B₁↑G(1)|B₂↑G(1)|E₁↑G(2)|E₂↑G(2)|A₁↑G(1)|A₂↑G(1)|B₁↑G(1)|B₂↑G(1)|E₁↑G(2)|E₂↑G(2)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(3)|B₁↑G(3)|B₂↑G(3)|B₃↑G(3)|A₁↑G(3)|B₁↑G(3)|B₂↑G(3)|B₃↑G(3)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|Eˢ↑G(6)|Eˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|false|false|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|true|true|true|true|true|true
A:(0,0,1/2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₆(2)|A₅(2)|A₂(1)|A₁(1)|A₃(1)|A₄(1)|A₆(2)|A₅(2)|A₁(1)⊕A₄(1)|A₂(1)⊕A₃(1)|A₅(2)⊕A₆(2)|A₂(1)⊕A₃(1)|A₁(1)⊕A₄(1)|A₅(2)⊕A₆(2)|A₁(1)⊕A₅(2)|A₂(1)⊕A₅(2)|A₄(1)⊕A₆(2)|A₃(1)⊕A₆(2)|A₂(1)⊕A₅(2)|A₁(1)⊕A₅(2)|A₃(1)⊕A₆(2)|A₄(1)⊕A₆(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|2Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|2Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₇(2)⊕Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₇(2)⊕Aˢ₈(2)⊕Aˢ₉(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₆(2)|Γ₅(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₆(2)|Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₅(2)|Γ₂(1)⊕Γ₅(2)|Γ₄(1)⊕Γ₆(2)|Γ₃(1)⊕Γ₆(2)|Γ₁(1)⊕Γ₅(2)|Γ₂(1)⊕Γ₅(2)|Γ₄(1)⊕Γ₆(2)|Γ₃(1)⊕Γ₆(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₃(2)|H₃(2)|H₂(1)|H₁(1)|H₁(1)|H₂(1)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₂(1)⊕H₃(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)|2Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|2Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕2Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕2Hˢ₆(2)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₃(2)|K₃(2)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₁(1)⊕K₃(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)|2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕2Kˢ₆(2)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₂(1)|L₁(1)|L₃(1)|L₄(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₄(1)|L₂(1)⊕L₃(1)|L₁(1)⊕L₂(1)⊕L₃(1)⊕L₄(1)|L₂(1)⊕L₃(1)|L₁(1)⊕L₄(1)|L₁(1)⊕L₂(1)⊕L₃(1)⊕L₄(1)|L₁(1)⊕L₃(1)⊕L₄(1)|L₂(1)⊕L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)⊕L₄(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₂(1)⊕L₃(1)⊕L₄(1)|L₁(1)⊕L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₁(1)⊕L₂(1)⊕L₄(1)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|3Lˢ₅(2)|3Lˢ₅(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₃(1)⊕M₄(1)|M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₃(1)|M₁(1)⊕M₃(1)⊕M₄(1)|M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₃(1)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|3Mˢ₅(2)|3Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₄(1)⊕Δ₆(1)|Δ₃(1)⊕Δ₅(1)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₄(1)⊕Δ₆(1)|Δ₃(1)⊕Δ₅(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δ₂(1)⊕Δ₄(1)⊕Δ₆(1)|Δˢ₁₀(1)⊕Δˢ₁₁(1)|Δˢ₉(1)⊕Δˢ₁₂(1)|Δˢ₇(1)⊕Δˢ₈(1)|Δˢ₁₀(1)⊕Δˢ₁₁(1)|Δˢ₉(1)⊕Δˢ₁₂(1)|Δˢ₇(1)⊕Δˢ₈(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|Δˢ₇(1)⊕Δˢ₈(1)⊕Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|Δˢ₇(1)⊕Δˢ₈(1)⊕Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)
