Wyckoff pos.|6a(2)|6a(2)|6b(2)|6b(2)|6a(2)|6b(2)
Band-Rep.|A↑G(6)|B↑G(6)|A↑G(6)|B↑G(6)|¹Eˢ²Eˢ↑G(12)|¹Eˢ²Eˢ↑G(12)
Decomposable|false|false|false|false|false|false
A:(0,0,1/2)|A₁(2)⊕A₂(2)⊕A₃(2)|A₁(2)⊕A₂(2)⊕A₃(2)|A₁(2)⊕A₂(2)⊕A₃(2)|A₁(2)⊕A₂(2)⊕A₃(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)⊕2Aˢ₈(2)⊕2Aˢ₉(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)⊕2Aˢ₈(2)⊕2Aˢ₉(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)⊕Γ₅(2)⊕Γ₆(2)|Γ₂(1)⊕Γ₄(1)⊕Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)⊕Γ₅(2)⊕Γ₆(2)|Γ₂(1)⊕Γ₃(1)⊕Γ₅(2)⊕Γ₆(2)|2Γˢ₇(2)⊕2Γˢ₈(2)⊕2Γˢ₉(2)|2Γˢ₇(2)⊕2Γˢ₈(2)⊕2Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁H₂(2)⊕2H₃(2)|H₁H₂(2)⊕2H₃(2)|H₁H₂(2)⊕2H₃(2)|H₁H₂(2)⊕2H₃(2)|2Hˢ₄Hˢ₅(2)⊕4Hˢ₆(2)|2Hˢ₄Hˢ₅(2)⊕4Hˢ₆(2)
K:(1/3,1/3,0)|2K₁(1)⊕2K₃(2)|2K₂(1)⊕2K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|2Kˢ₄(1)⊕2Kˢ₅(1)⊕4Kˢ₆(2)|2Kˢ₄(1)⊕2Kˢ₅(1)⊕4Kˢ₆(2)
L:(1/2,0,1/2)|3L₁(2)|3L₁(2)|3L₁(2)|3L₁(2)|3Lˢ₂Lˢ₄(2)⊕3Lˢ₃Lˢ₅(2)|3Lˢ₂Lˢ₄(2)⊕3Lˢ₃Lˢ₅(2)
M:(1/2,0,0)|2M₁(1)⊕M₂(1)⊕2M₃(1)⊕M₄(1)|M₁(1)⊕2M₂(1)⊕M₃(1)⊕2M₄(1)|2M₁(1)⊕M₂(1)⊕M₃(1)⊕2M₄(1)|M₁(1)⊕2M₂(1)⊕2M₃(1)⊕M₄(1)|6Mˢ₅(2)|6Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|2Δˢ₇(1)⊕2Δˢ₈(1)⊕2Δˢ₉(1)⊕2Δˢ₁₀(1)⊕2Δˢ₁₁(1)⊕2Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)⊕2Δˢ₉(1)⊕2Δˢ₁₀(1)⊕2Δˢ₁₁(1)⊕2Δˢ₁₂(1)
P:(1/3,1/3,w)|2P₁(1)⊕2P₂(1)⊕2P₃(1)|2P₁(1)⊕2P₂(1)⊕2P₃(1)|2P₁(1)⊕2P₂(1)⊕2P₃(1)|2P₁(1)⊕2P₂(1)⊕2P₃(1)|4Pˢ₄(1)⊕4Pˢ₅(1)⊕4Pˢ₆(1)|4Pˢ₄(1)⊕4Pˢ₅(1)⊕4Pˢ₆(1)
Λ:(u,u,0)|4Λ₁(1)⊕2Λ₂(1)|2Λ₁(1)⊕4Λ₂(1)|3Λ₁(1)⊕3Λ₂(1)|3Λ₁(1)⊕3Λ₂(1)|6Λˢ₃(1)⊕6Λˢ₄(1)|6Λˢ₃(1)⊕6Λˢ₄(1)
Q:(u,u,1/2)|3Q₁Q₂(2)|3Q₁Q₂(2)|3Q₁Q₂(2)|3Q₁Q₂(2)|6Qˢ₃Qˢ₄(2)|6Qˢ₃Qˢ₄(2)
R:(u,0,1/2)|3R₁R₂(2)|3R₁R₂(2)|3R₁R₂(2)|3R₁R₂(2)|6Rˢ₃Rˢ₄(2)|6Rˢ₃Rˢ₄(2)
Σ:(u,0,0)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|4Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕4Σ₂(1)|6Σˢ₃(1)⊕6Σˢ₄(1)|6Σˢ₃(1)⊕6Σˢ₄(1)
U:(1/2,0,w)|3U₁(1)⊕3U₂(1)|3U₁(1)⊕3U₂(1)|3U₁(1)⊕3U₂(1)|3U₁(1)⊕3U₂(1)|6Uˢ₃(1)⊕6Uˢ₄(1)|6Uˢ₃(1)⊕6Uˢ₄(1)
B:(u,v,0)|6B₁(1)|6B₁(1)|6B₁(1)|6B₁(1)|12Bˢ₂(1)|12Bˢ₂(1)
C:(u,u,w)|6C₁(1)|6C₁(1)|6C₁(1)|6C₁(1)|12Cˢ₂(1)|12Cˢ₂(1)
D:(u,0,w)|6D₁(1)|6D₁(1)|6D₁(1)|6D₁(1)|12Dˢ₂(1)|12Dˢ₂(1)
E:(u,v,1/2)|3E₁E₁(2)|3E₁E₁(2)|3E₁E₁(2)|3E₁E₁(2)|6Eˢ₂Eˢ₂(2)|6Eˢ₂Eˢ₂(2)
GP:(u,v,w)|6GP₁(1)|6GP₁(1)|6GP₁(1)|6GP₁(1)|12GPˢ₂(1)|12GPˢ₂(1)
