Wyckoff pos.|2a(32)|2a(32)|2a(32)|2b(32)|2b(32)|2b(32)|2c(32)|2c(32)|2c(32)|2d(32)|2d(32)|2d(32)|2a(32)|2a(32)|2b(32)|2b(32)|2c(32)|2c(32)|2d(32)|2d(32)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(2)|A₁(2)|A₂(2)⊕A₃(2)|A₁(2)|A₁(2)|A₂(2)⊕A₃(2)|A₁(2)|A₁(2)|A₂(2)⊕A₃(2)|A₁(2)|A₁(2)|A₂(2)⊕A₃(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₇(2)|Aˢ₈(2)⊕Aˢ₉(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁H₂(2)|H₁H₂(2)|2H₃(2)|H₁H₂(2)|H₁H₂(2)|2H₃(2)|H₃(2)|H₃(2)|H₁H₂(2)⊕H₃(2)|H₃(2)|H₃(2)|H₁H₂(2)⊕H₃(2)|2Hˢ₄Hˢ₅(2)|2Hˢ₆(2)|2Hˢ₄Hˢ₅(2)|2Hˢ₆(2)|2Hˢ₆(2)|Hˢ₄Hˢ₅(2)⊕Hˢ₆(2)|2Hˢ₆(2)|Hˢ₄Hˢ₅(2)⊕Hˢ₆(2)
K:(1/3,1/3,0)|2K₁(1)|2K₂(1)|2K₃(2)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|2K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|2Kˢ₄(1)⊕2Kˢ₅(1)|2Kˢ₆(2)|2Kˢ₄(1)⊕2Kˢ₅(1)|2Kˢ₆(2)|2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)|Lˢ₂Lˢ₄(2)⊕Lˢ₃Lˢ₅(2)
M:(1/2,0,0)|M₁(1)⊕M₃(1)|M₂(1)⊕M₄(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)|2Δˢ₇(1)⊕2Δˢ₈(1)|Δˢ₉(1)⊕Δˢ₁₀(1)⊕Δˢ₁₁(1)⊕Δˢ₁₂(1)
P:(1/3,1/3,w)|2P₁(1)|2P₁(1)|2P₂(1)⊕2P₃(1)|2P₁(1)|2P₁(1)|2P₂(1)⊕2P₃(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|2P₁(1)⊕P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|2P₁(1)⊕P₂(1)⊕P₃(1)|4Pˢ₄(1)|2Pˢ₅(1)⊕2Pˢ₆(1)|4Pˢ₄(1)|2Pˢ₅(1)⊕2Pˢ₆(1)|2Pˢ₅(1)⊕2Pˢ₆(1)|2Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|2Pˢ₅(1)⊕2Pˢ₆(1)|2Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)
Λ:(u,u,0)|2Λ₁(1)|2Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)
Q:(u,u,1/2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)
R:(u,0,1/2)|R₁R₂(2)|R₁R₂(2)|2R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|2R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|2R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|2R₁R₂(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
