Wyckoff pos.|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1c(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1d(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1e(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)|1f(6ˢ2m)
Band-Rep.|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₇(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₇(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₇(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂(1)|H₂(1)|H₃(1)⊕H₅(1)|H₄(1)⊕H₆(1)|H₂(1)|H₂(1)|H₁(1)|H₁(1)|H₄(1)⊕H₆(1)|H₃(1)⊕H₅(1)|H₃(1)|H₃(1)|H₄(1)|H₄(1)|H₁(1)⊕H₅(1)|H₂(1)⊕H₆(1)|H₄(1)|H₄(1)|H₃(1)|H₃(1)|H₂(1)⊕H₆(1)|H₁(1)⊕H₅(1)|H₅(1)|H₅(1)|H₆(1)|H₆(1)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|H₆(1)|H₆(1)|H₅(1)|H₅(1)|H₂(1)⊕H₄(1)|H₁(1)⊕H₃(1)|Hˢ₁₀(1)⊕Hˢ₁₁(1)|Hˢ₉(1)⊕Hˢ₁₂(1)|Hˢ₇(1)⊕Hˢ₈(1)|Hˢ₉(1)⊕Hˢ₁₂(1)|Hˢ₁₀(1)⊕Hˢ₁₁(1)|Hˢ₇(1)⊕Hˢ₈(1)|Hˢ₇(1)⊕Hˢ₁₂(1)|Hˢ₈(1)⊕Hˢ₁₁(1)|Hˢ₉(1)⊕Hˢ₁₀(1)|Hˢ₈(1)⊕Hˢ₁₁(1)|Hˢ₇(1)⊕Hˢ₁₂(1)|Hˢ₉(1)⊕Hˢ₁₀(1)|Hˢ₈(1)⊕Hˢ₉(1)|Hˢ₇(1)⊕Hˢ₁₀(1)|Hˢ₁₁(1)⊕Hˢ₁₂(1)|Hˢ₇(1)⊕Hˢ₁₀(1)|Hˢ₈(1)⊕Hˢ₉(1)|Hˢ₁₁(1)⊕Hˢ₁₂(1)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₃(1)|K₃(1)|K₄(1)|K₄(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₃(1)|K₃(1)|K₄(1)|K₄(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₅(1)|K₅(1)|K₆(1)|K₆(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|K₅(1)|K₅(1)|K₆(1)|K₆(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|Kˢ₁₀(1)⊕Kˢ₁₁(1)|Kˢ₉(1)⊕Kˢ₁₂(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₁₀(1)⊕Kˢ₁₁(1)|Kˢ₉(1)⊕Kˢ₁₂(1)|Kˢ₇(1)⊕Kˢ₈(1)|Kˢ₇(1)⊕Kˢ₁₂(1)|Kˢ₈(1)⊕Kˢ₁₁(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₇(1)⊕Kˢ₁₂(1)|Kˢ₈(1)⊕Kˢ₁₁(1)|Kˢ₉(1)⊕Kˢ₁₀(1)|Kˢ₈(1)⊕Kˢ₉(1)|Kˢ₇(1)⊕Kˢ₁₀(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)|Kˢ₈(1)⊕Kˢ₉(1)|Kˢ₇(1)⊕Kˢ₁₀(1)|Kˢ₁₁(1)⊕Kˢ₁₂(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)
