Wyckoff pos.|8a(3)|8a(3)|12b(2)|12b(2)|8a(3)|8a(3)|12b(2)
Band-Rep.|A₁↑G(4)|¹E²E↑G(8)|A↑G(6)|B↑G(6)|¹Eˢ²Eˢ↑G(8)|EˢEˢ↑G(8)|¹Eˢ²Eˢ↑G(12)
Decomposable|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(3)|Γ₂Γ₃(2)⊕2Γ₄(3)|Γ₁(1)⊕Γ₂Γ₃(2)⊕Γ₄(3)|2Γ₄(3)|2Γˢ₅(2)⊕Γˢ₆Γˢ₇(4)|2Γˢ₆Γˢ₇(4)|2Γˢ₅(2)⊕2Γˢ₆Γˢ₇(4)
H:(1,1,1)|H₁(1)⊕H₄(3)|H₂H₃(2)⊕2H₄(3)|2H₄(3)|H₁(1)⊕H₂H₃(2)⊕H₄(3)|2Hˢ₅(2)⊕Hˢ₆Hˢ₇(4)|2Hˢ₆Hˢ₇(4)|2Hˢ₅(2)⊕2Hˢ₆Hˢ₇(4)
P:(1/2,1/2,1/2)|P₁(2)⊕P₃(2)|P₁(2)⊕2P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|Pˢ₅(1)⊕Pˢ₆(1)⊕2Pˢ₇(3)|2Pˢ₄(1)⊕2Pˢ₇(3)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)⊕3Pˢ₇(3)
PA:(-1/2,-1/2,-1/2)|PA₁(2)⊕PA₃(2)|PA₁(2)⊕2PA₂(2)⊕PA₃(2)|PA₁(2)⊕PA₂(2)⊕PA₃(2)|PA₁(2)⊕PA₂(2)⊕PA₃(2)|PAˢ₅(1)⊕PAˢ₆(1)⊕2PAˢ₇(3)|2PAˢ₄(1)⊕2PAˢ₇(3)|PAˢ₄(1)⊕PAˢ₅(1)⊕PAˢ₆(1)⊕3PAˢ₇(3)
N:(1/2,1/2,0)|2N₁(1)⊕2N₂(1)|4N₁(1)⊕4N₂(1)|3N₁(1)⊕3N₂(1)|3N₁(1)⊕3N₂(1)|4Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)|6Nˢ₃Nˢ₄(2)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λˢ₄(1)⊕3Λˢ₅(1)⊕3Λˢ₆(1)|4Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|4Λˢ₄(1)⊕4Λˢ₅(1)⊕4Λˢ₆(1)
D:(1/2,1/2,w)|2D₁(1)⊕2D₂(1)|4D₁(1)⊕4D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|4Dˢ₃(1)⊕4Dˢ₄(1)|4Dˢ₃(1)⊕4Dˢ₄(1)|6Dˢ₃(1)⊕6Dˢ₄(1)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|4Δ₁(1)⊕4Δ₂(1)|4Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕4Δ₂(1)|4Δˢ₃(1)⊕4Δˢ₄(1)|4Δˢ₃(1)⊕4Δˢ₄(1)|6Δˢ₃(1)⊕6Δˢ₄(1)
A:(u,v,0)|4A₁(1)|8A₁(1)|6A₁(1)|6A₁(1)|8Aˢ₂(1)|8Aˢ₂(1)|12Aˢ₂(1)
C:(u,u,w)|4C₁(1)|8C₁(1)|6C₁(1)|6C₁(1)|8Cˢ₂(1)|8Cˢ₂(1)|12Cˢ₂(1)
G:(1+u,1-u,1)|4G₁(1)|8G₁(1)|6G₁(1)|6G₁(1)|8Gˢ₂(1)|8Gˢ₂(1)|12Gˢ₂(1)
Ω:(u,v,w)|4Ω₁(1)|8Ω₁(1)|6Ω₁(1)|6Ω₁(1)|8Ωˢ₂(1)|8Ωˢ₂(1)|12Ωˢ₂(1)
Σ:(u,u,0)|4Σ₁(1)|8Σ₁(1)|6Σ₁(1)|6Σ₁(1)|8Σˢ₂(1)|8Σˢ₂(1)|12Σˢ₂(1)
