Wyckoff pos.|4a(3ˢ)|4a(3ˢ)|4a(3ˢ)|4a(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4a(3ˢ)|4a(3ˢ)|4a(3ˢ)|4a(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)|4b(3ˢ)
Band-Rep.|A₁g↑G(4)|A₁ᵤ↑G(4)|¹Eg²Eg↑G(8)|¹Eᵤ²Eᵤ↑G(8)|A₁g↑G(4)|A₁ᵤ↑G(4)|¹Eg²Eg↑G(8)|¹Eᵤ²Eᵤ↑G(8)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)|EˢgEˢg↑G(8)|EˢᵤEˢᵤ↑G(8)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)|EˢgEˢg↑G(8)|EˢᵤEˢᵤ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺Γ₃⁺(2)⊕2Γ₄⁺(3)|Γ₂⁻Γ₃⁻(2)⊕2Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺Γ₃⁺(2)⊕2Γ₄⁺(3)|Γ₂⁻Γ₃⁻(2)⊕2Γ₄⁻(3)|2Γˢ₅(2)⊕Γˢ₆Γˢ₇(4)|2Γˢ₈(2)⊕Γˢ₁₀Γˢ₉(4)|2Γˢ₆Γˢ₇(4)|2Γˢ₁₀Γˢ₉(4)|2Γˢ₅(2)⊕Γˢ₆Γˢ₇(4)|2Γˢ₈(2)⊕Γˢ₁₀Γˢ₉(4)|2Γˢ₆Γˢ₇(4)|2Γˢ₁₀Γˢ₉(4)
R:(1/2,1/2,1/2)|R₁⁺R₃⁺(4)|R₁⁻R₃⁻(4)|R₁⁺R₃⁺(4)⊕R₂⁺R₂⁺(4)|R₁⁻R₃⁻(4)⊕R₂⁻R₂⁻(4)|R₁⁻R₃⁻(4)|R₁⁺R₃⁺(4)|R₁⁻R₃⁻(4)⊕R₂⁻R₂⁻(4)|R₁⁺R₃⁺(4)⊕R₂⁺R₂⁺(4)|Rˢ₅Rˢ₆(2)⊕Rˢ₁₀Rˢ₁₀(6)|Rˢ₈Rˢ₉(2)⊕Rˢ₁₁Rˢ₁₁(6)|Rˢ₄Rˢ₄(2)⊕Rˢ₁₀Rˢ₁₀(6)|Rˢ₇Rˢ₇(2)⊕Rˢ₁₁Rˢ₁₁(6)|Rˢ₈Rˢ₉(2)⊕Rˢ₁₁Rˢ₁₁(6)|Rˢ₅Rˢ₆(2)⊕Rˢ₁₀Rˢ₁₀(6)|Rˢ₇Rˢ₇(2)⊕Rˢ₁₁Rˢ₁₁(6)|Rˢ₄Rˢ₄(2)⊕Rˢ₁₀Rˢ₁₀(6)
M:(1/2,1/2,0)|M₁M₂(4)|M₁M₂(4)|2M₁M₂(4)|2M₁M₂(4)|M₁M₂(4)|M₁M₂(4)|2M₁M₂(4)|2M₁M₂(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)|Mˢ₃Mˢ₃(4)⊕Mˢ₄Mˢ₄(4)
X:(0,1/2,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|2X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|2X₁(2)⊕2X₂(2)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
T:(1/2,1/2,w)|T₁T₁(4)|T₁T₁(4)|2T₁T₁(4)|2T₁T₁(4)|T₁T₁(4)|T₁T₁(4)|2T₁T₁(4)|2T₁T₁(4)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)|Tˢ₂Tˢ₂(2)⊕Tˢ₃Tˢ₃(2)⊕Tˢ₄Tˢ₄(2)⊕Tˢ₅Tˢ₅(2)
Z:(u,1/2,0)|Z₁Z₄(2)⊕Z₂Z₃(2)|Z₁Z₄(2)⊕Z₂Z₃(2)|2Z₁Z₄(2)⊕2Z₂Z₃(2)|2Z₁Z₄(2)⊕2Z₂Z₃(2)|Z₁Z₄(2)⊕Z₂Z₃(2)|Z₁Z₄(2)⊕Z₂Z₃(2)|2Z₁Z₄(2)⊕2Z₂Z₃(2)|2Z₁Z₄(2)⊕2Z₂Z₃(2)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)|2Zˢ₅Zˢ₅(4)
