Wyckoff pos.|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|24c(4ˢ)|24c(4ˢ)|24d(4ˢ)|24d(4ˢ)|8a(23)|8a(23)|8b(23)|8b(23)|24c(4ˢ)|24c(4ˢ)|24d(4ˢ)|24d(4ˢ)
Band-Rep.|A↑G(2)|¹E²E↑G(4)|T↑G(6)|A↑G(2)|¹E²E↑G(4)|T↑G(6)|A↑G(6)|B↑G(6)|A↑G(6)|B↑G(6)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|¹Eˢ₁²Eˢ₁↑G(12)|¹Eˢ₂²Eˢ₂↑G(12)|¹Eˢ₁²Eˢ₁↑G(12)|¹Eˢ₂²Eˢ₂↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γˢ₆(2)⊕Γˢ₇(2)|2Γˢ₈(4)|Γˢ₆(2)⊕Γˢ₇(2)|2Γˢ₈(4)|2Γˢ₆(2)⊕2Γˢ₈(4)|2Γˢ₇(2)⊕2Γˢ₈(4)|2Γˢ₆(2)⊕2Γˢ₈(4)|2Γˢ₇(2)⊕2Γˢ₈(4)
X:(0,1,0)|X₁(1)⊕X₂(1)|2X₁(1)⊕2X₂(1)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)|2X₃(1)⊕2X₄(1)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₂(1)⊕2X₃(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕X₃(1)⊕2X₄(1)⊕X₅(2)|2X₁(1)⊕X₂(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕2X₂(1)⊕X₃(1)⊕X₅(2)|Xˢ₆(2)⊕Xˢ₇(2)|2Xˢ₆(2)⊕2Xˢ₇(2)|Xˢ₆(2)⊕Xˢ₇(2)|2Xˢ₆(2)⊕2Xˢ₇(2)|4Xˢ₆(2)⊕2Xˢ₇(2)|2Xˢ₆(2)⊕4Xˢ₇(2)|2Xˢ₆(2)⊕4Xˢ₇(2)|4Xˢ₆(2)⊕2Xˢ₇(2)
L:(1/2,1/2,1/2)|L₁L₂(2)|L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|L₁L₂(2)|L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|L₁L₂(2)⊕L₃L₃(4)|Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕Lˢ₆Lˢ₆(4)|Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕2Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕2Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕2Lˢ₆Lˢ₆(4)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₅(2)⊕2Lˢ₆Lˢ₆(4)
W:(1/2,1,0)|W₁W₂(2)|2W₁W₂(2)|W₁W₂(2)⊕2W₃W₄(2)|W₃W₄(2)|2W₃W₄(2)|2W₁W₂(2)⊕W₃W₄(2)|W₁W₂(2)⊕2W₃W₄(2)|W₁W₂(2)⊕2W₃W₄(2)|2W₁W₂(2)⊕W₃W₄(2)|2W₁W₂(2)⊕W₃W₄(2)|Wˢ₅Wˢ₆(2)⊕Wˢ₇Wˢ₈(2)|2Wˢ₅Wˢ₆(2)⊕2Wˢ₇Wˢ₈(2)|Wˢ₅Wˢ₆(2)⊕Wˢ₇Wˢ₈(2)|2Wˢ₅Wˢ₆(2)⊕2Wˢ₇Wˢ₈(2)|3Wˢ₅Wˢ₆(2)⊕3Wˢ₇Wˢ₈(2)|3Wˢ₅Wˢ₆(2)⊕3Wˢ₇Wˢ₈(2)|3Wˢ₅Wˢ₆(2)⊕3Wˢ₇Wˢ₈(2)|3Wˢ₅Wˢ₆(2)⊕3Wˢ₇Wˢ₈(2)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δˢ₅(2)|4Δˢ₅(2)|2Δˢ₅(2)|4Δˢ₅(2)|6Δˢ₅(2)|6Δˢ₅(2)|6Δˢ₅(2)|6Δˢ₅(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|3C₁(1)⊕3C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|4Cˢ₃(1)⊕4Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|4Cˢ₃(1)⊕4Cˢ₄(1)|6Cˢ₃(1)⊕6Cˢ₄(1)|6Cˢ₃(1)⊕6Cˢ₄(1)|6Cˢ₃(1)⊕6Cˢ₄(1)|6Cˢ₃(1)⊕6Cˢ₄(1)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|4Σˢ₃(1)⊕4Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|4Σˢ₃(1)⊕4Σˢ₄(1)|6Σˢ₃(1)⊕6Σˢ₄(1)|6Σˢ₃(1)⊕6Σˢ₄(1)|6Σˢ₃(1)⊕6Σˢ₄(1)|6Σˢ₃(1)⊕6Σˢ₄(1)
V:(u,1,0)|2V₁(1)|4V₁(1)|2V₁(1)⊕4V₂(1)|2V₂(1)|4V₂(1)|4V₁(1)⊕2V₂(1)|2V₁(1)⊕4V₂(1)|2V₁(1)⊕4V₂(1)|4V₁(1)⊕2V₂(1)|4V₁(1)⊕2V₂(1)|2Vˢ₃(1)⊕2Vˢ₄(1)|4Vˢ₃(1)⊕4Vˢ₄(1)|2Vˢ₃(1)⊕2Vˢ₄(1)|4Vˢ₃(1)⊕4Vˢ₄(1)|6Vˢ₃(1)⊕6Vˢ₄(1)|6Vˢ₃(1)⊕6Vˢ₄(1)|6Vˢ₃(1)⊕6Vˢ₄(1)|6Vˢ₃(1)⊕6Vˢ₄(1)
A:(u,v,0)|2A₁(1)|4A₁(1)|6A₁(1)|2A₁(1)|4A₁(1)|6A₁(1)|6A₁(1)|6A₁(1)|6A₁(1)|6A₁(1)|4Aˢ₂(1)|8Aˢ₂(1)|4Aˢ₂(1)|8Aˢ₂(1)|12Aˢ₂(1)|12Aˢ₂(1)|12Aˢ₂(1)|12Aˢ₂(1)
