Wyckoff pos.|2a(4ˢ3m)|2a(4ˢ3m)|2a(4ˢ3m)|2a(4ˢ3m)|2a(4ˢ3m)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|6d(4ˢ2m)|6d(4ˢ2m)|6d(4ˢ2m)|6d(4ˢ2m)|12f(222)|12f(222)|12f(222)|12f(222)|2a(4ˢ3m)|2a(4ˢ3m)|2a(4ˢ3m)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4b(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|4c(3ˢm)|6d(4ˢ2m)|6d(4ˢ2m)|12f(222)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|A₁↑G(6)|A₂↑G(6)|B₁↑G(6)|B₂↑G(6)|A₁↑G(12)|B₁↑G(12)|B₂↑G(12)|B₃↑G(12)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Fˢ↑G(8)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)|Eˢ₁g↑G(8)|Eˢ₁ᵤ↑G(8)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)|Eˢ₁g↑G(8)|Eˢ₁ᵤ↑G(8)|Eˢ₁↑G(12)|Eˢ₂↑G(12)|Eˢ↑G(24)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|2Γˢ₁₀(4)|2Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)|2Γˢ₁₀(4)|2Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)⊕2Γˢ₁₀(4)⊕2Γˢ₁₁(4)
R:(1/2,1/2,1/2)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁻(3)|R₄⁻(3)⊕R₅⁺(3)|R₁⁺(1)⊕R₅⁺(3)|R₁⁻(1)⊕R₅⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₃⁺(2)⊕R₄⁺(3)⊕R₅⁺(3)|R₃⁻(2)⊕R₄⁻(3)⊕R₅⁻(3)|R₂⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₁⁻(1)⊕R₅⁻(3)|R₁⁺(1)⊕R₅⁺(3)|R₃⁻(2)⊕R₄⁻(3)⊕R₅⁻(3)|R₃⁺(2)⊕R₄⁺(3)⊕R₅⁺(3)|R₄⁻(3)⊕R₅⁺(3)|R₁⁻(1)⊕R₂⁺(1)⊕R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁻(3)|R₁⁺(1)⊕R₂⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₄⁻(3)⊕R₅⁺(3)⊕R₅⁻(3)|R₄⁺(3)⊕R₄⁻(3)⊕R₅⁺(3)⊕R₅⁻(3)|R₁⁺(1)⊕R₁⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)⊕R₅⁺(3)⊕R₅⁻(3)|R₂⁺(1)⊕R₂⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)⊕R₄⁺(3)⊕R₄⁻(3)|Rˢ₆(2)⊕Rˢ₉(2)|Rˢ₇(2)⊕Rˢ₈(2)|Rˢ₁₀(4)⊕Rˢ₁₁(4)|2Rˢ₁₀(4)|2Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₇(2)⊕Rˢ₁₀(4)|Rˢ₈(2)⊕Rˢ₉(2)⊕Rˢ₁₁(4)|2Rˢ₁₁(4)|2Rˢ₁₀(4)|Rˢ₈(2)⊕Rˢ₉(2)⊕Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₇(2)⊕Rˢ₁₀(4)|Rˢ₇(2)⊕Rˢ₈(2)⊕Rˢ₁₀(4)⊕Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₉(2)⊕Rˢ₁₀(4)⊕Rˢ₁₁(4)|Rˢ₆(2)⊕Rˢ₇(2)⊕Rˢ₈(2)⊕Rˢ₉(2)⊕2Rˢ₁₀(4)⊕2Rˢ₁₁(4)
M:(1/2,1/2,0)|M₁(2)|M₂(2)|M₁(2)⊕M₂(2)|M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕2M₂(2)|M₂(2)⊕M₃(2)⊕M₄(2)|2M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)⊕3M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕3M₄(2)|2M₁(2)⊕2M₂(2)⊕M₃(2)⊕M₄(2)|2M₁(2)⊕2M₂(2)⊕M₃(2)⊕M₄(2)|Mˢ₅(4)|Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|3Mˢ₅(4)|3Mˢ₅(4)|6Mˢ₅(4)
X:(0,1/2,0)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₂(2)⊕X₄(2)|X₂(2)⊕X₃(2)|X₁(2)⊕X₃(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)|X₂(2)⊕X₃(2)|X₂(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕3X₄(2)|X₁(2)⊕X₂(2)⊕3X₃(2)⊕X₄(2)|Xˢ₅(4)|Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|6Xˢ₅(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|6Δˢ₆(2)⊕6Δˢ₇(2)
T:(1/2,1/2,w)|T₁(1)⊕T₃(1)|T₂(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕2T₅(2)|T₁(1)⊕2T₂(1)⊕T₃(1)⊕2T₄(1)|T₂(1)⊕T₄(1)⊕2T₅(2)|2T₁(1)⊕T₂(1)⊕2T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕4T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕4T₅(2)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)⊕2T₅(2)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)⊕2T₅(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|6Tˢ₆(2)⊕6Tˢ₇(2)
Λ:(u,u,u)|2Λ₁(1)|2Λ₂(1)|2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕2Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕2Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕2Λˢ₆(2)|Λˢ₄Λˢ₅(2)⊕3Λˢ₆(2)|Λˢ₄Λˢ₅(2)⊕3Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕2Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕2Λˢ₆(2)|Λˢ₄Λˢ₅(2)⊕3Λˢ₆(2)|Λˢ₄Λˢ₅(2)⊕3Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕8Λˢ₆(2)
