Wyckoff pos.|4a(2)|4a(2)|4b(2)|4b(2)|4c(m)|4c(m)|4a(2)|4b(2)|4c(m)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A'↑G(2)|A''↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|2Γˢ₅(2)|2Γˢ₅(2)|2Γˢ₅(2)
T:(1/2,0,-1)|T₁(1)⊕T₂(1)|T₃(1)⊕T₄(1)|T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)|T₂(1)⊕T₄(1)|T₁(1)⊕T₃(1)|2Tˢ₅(2)|2Tˢ₅(2)|2Tˢ₅(2)
Y:(0,0,-1)|Y₁(1)⊕Y₂(1)|Y₃(1)⊕Y₄(1)|Y₁(1)⊕Y₂(1)|Y₃(1)⊕Y₄(1)|Y₂(1)⊕Y₄(1)|Y₁(1)⊕Y₃(1)|2Yˢ₅(2)|2Yˢ₅(2)|2Yˢ₅(2)
Z:(1/2,0,0)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|2Zˢ₅(2)|2Zˢ₅(2)|2Zˢ₅(2)
R:(1/2,1/2,-1/2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)
S:(0,1/2,-1/2)|S₁S₂(2)|S₁S₂(2)|S₁S₂(2)|S₁S₂(2)|S₁S₂(2)|S₁S₂(2)|Sˢ₃Sˢ₃(2)⊕Sˢ₄Sˢ₄(2)|Sˢ₃Sˢ₃(2)⊕Sˢ₄Sˢ₄(2)|Sˢ₃Sˢ₃(2)⊕Sˢ₄Sˢ₄(2)
A:(1/2,0,w)|A₁(1)⊕A₂(1)|A₃(1)⊕A₄(1)|A₃(1)⊕A₄(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₃(1)|A₂(1)⊕A₄(1)|2Aˢ₅(2)|2Aˢ₅(2)|2Aˢ₅(2)
Σ:(0,0,w)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₄(1)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)
B:(1/2,v,0)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2Bˢ₃(1)⊕2Bˢ₄(1)|2Bˢ₃(1)⊕2Bˢ₄(1)|2Bˢ₃(1)⊕2Bˢ₄(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
H:(u,0,-1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|2H₂(1)|2H₁(1)|2Hˢ₃(1)⊕2Hˢ₄(1)|2Hˢ₃(1)⊕2Hˢ₄(1)|2Hˢ₃(1)⊕2Hˢ₄(1)
Λ:(u,0,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)|2Λ₂(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)
