Wyckoff pos.|8a(2)|8a(2)|8a(2)
Band-Rep.|A↑G(2)|B↑G(2)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|2Γˢ₅(2)
T:(1,0,0)|T₁(2)|T₁(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)
Y:(0,1,0)|Y₁(2)|Y₁(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)
Z:(0,0,1)|Z₁Z₂(2)|Z₃Z₄(2)|Zˢ₅Zˢ₅(4)
L:(1/2,1/2,1/2)|2L₁(1)|2L₁(1)|2Lˢ₂Lˢ₂(2)
H:(0,1,w)|H₁(2)|H₁(2)|Hˢ₂(1)⊕Hˢ₃(1)⊕Hˢ₄(1)⊕Hˢ₅(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|2Λˢ₅(2)
A:(u,0,1)|A₁A₂(2)|A₁A₂(2)|2Aˢ₃Aˢ₄(2)
B:(0,v,1)|B₁B₂(2)|B₁B₂(2)|2Bˢ₃Bˢ₄(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
E:(0,v,w)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2Eˢ₃(1)⊕2Eˢ₄(1)
J:(u,0,w)|J₁(1)⊕J₂(1)|J₁(1)⊕J₂(1)|2Jˢ₃(1)⊕2Jˢ₄(1)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
GP:(u,v,w)|2GP₁(1)|2GP₁(1)|4GPˢ₂(1)
M:(u,v,0)|2M₁(1)|2M₁(1)|4Mˢ₂(1)
