Wyckoff pos.|2a(mm2)|2a(mm2)|2a(mm2)|2a(mm2)|2b(mm2)|2b(mm2)|2b(mm2)|2b(mm2)|2a(mm2)|2b(mm2)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|B₁↑G(1)|B₂↑G(1)|A₁↑G(1)|A₂↑G(1)|B₁↑G(1)|B₂↑G(1)|Eˢ↑G(2)|Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γˢ₅(2)|Γˢ₅(2)
X:(1,1,1)|X₁(1)|X₂(1)|X₄(1)|X₃(1)|X₁(1)|X₂(1)|X₄(1)|X₃(1)|Xˢ₅(2)|Xˢ₅(2)
R:(1/2,0,1/2)|R₁(1)|R₂(1)|R₁(1)|R₂(1)|R₁(1)|R₂(1)|R₁(1)|R₂(1)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)
S:(0,1/2,1/2)|S₁(1)|S₂(1)|S₂(1)|S₁(1)|S₁(1)|S₂(1)|S₂(1)|S₁(1)|Sˢ₃Sˢ₄(2)|Sˢ₃Sˢ₄(2)
T:(1/2,1/2,0)|T₁(1)|T₁(1)|T₂(1)|T₂(1)|T₂(1)|T₂(1)|T₁(1)|T₁(1)|Tˢ₃Tˢ₄(2)|Tˢ₃Tˢ₄(2)
W:(1/2,1/2,1/2)|W₁(1)|W₁(1)|W₂(1)|W₂(1)|W₂(1)|W₂(1)|W₁(1)|W₁(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)
Λ:(0,0,w)|Λ₁(1)|Λ₂(1)|Λ₄(1)|Λ₃(1)|Λ₁(1)|Λ₂(1)|Λ₄(1)|Λ₃(1)|Λˢ₅(2)|Λˢ₅(2)
A:(0,v,w)|A₁(1)|A₂(1)|A₂(1)|A₁(1)|A₁(1)|A₂(1)|A₂(1)|A₁(1)|Aˢ₃(1)⊕Aˢ₄(1)|Aˢ₃(1)⊕Aˢ₄(1)
B:(u,0,w)|B₁(1)|B₂(1)|B₁(1)|B₂(1)|B₁(1)|B₂(1)|B₁(1)|B₂(1)|Bˢ₃(1)⊕Bˢ₄(1)|Bˢ₃(1)⊕Bˢ₄(1)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)
P:(1/2,1/2,w)|P₁(1)|P₁(1)|P₂(1)|P₂(1)|P₂(1)|P₂(1)|P₁(1)|P₁(1)|Pˢ₃(1)⊕Pˢ₄(1)|Pˢ₃(1)⊕Pˢ₄(1)
Σ:(u,0,0)|Σ₁(1)|Σ₂(1)|Σ₁(1)|Σ₂(1)|Σ₁(1)|Σ₂(1)|Σ₁(1)|Σ₂(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)
C:(u,v,0)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)
D:(u,1/2,1/2)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|2Dˢ₂(1)|2Dˢ₂(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ωˢ₂(1)|2Ωˢ₂(1)
Q:(1/2,v,1/2)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|2Qˢ₂(1)|2Qˢ₂(1)
