Wyckoff pos.|4a(1ˢ)|4a(1ˢ)|4b(1ˢ)|4b(1ˢ)|4c(2)|4c(2)|4a(1ˢ)|4a(1ˢ)|4b(1ˢ)|4b(1ˢ)|4c(2)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|4Γˢ₅(2)|4Γˢ₆(2)|4Γˢ₅(2)|4Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)
S:(1/2,1/2,0)|2S₁⁺(2)|2S₁⁻(2)|2S₁⁻(2)|2S₁⁺(2)|S₁⁺(2)⊕S₁⁻(2)|S₁⁺(2)⊕S₁⁻(2)|2Sˢ₂Sˢ₃(2)⊕2Sˢ₄Sˢ₅(2)|2Sˢ₆Sˢ₇(2)⊕2Sˢ₈Sˢ₉(2)|2Sˢ₆Sˢ₇(2)⊕2Sˢ₈Sˢ₉(2)|2Sˢ₂Sˢ₃(2)⊕2Sˢ₄Sˢ₅(2)|Sˢ₂Sˢ₃(2)⊕Sˢ₄Sˢ₅(2)⊕Sˢ₆Sˢ₇(2)⊕Sˢ₈Sˢ₉(2)
T:(0,1/2,1/2)|T₁T₂(4)|T₁T₂(4)|T₁T₂(4)|T₁T₂(4)|T₁T₂(4)|T₁T₂(4)|Tˢ₃Tˢ₃(4)⊕Tˢ₄Tˢ₄(4)|Tˢ₃Tˢ₃(4)⊕Tˢ₄Tˢ₄(4)|Tˢ₃Tˢ₃(4)⊕Tˢ₄Tˢ₄(4)|Tˢ₃Tˢ₃(4)⊕Tˢ₄Tˢ₄(4)|Tˢ₃Tˢ₃(4)⊕Tˢ₄Tˢ₄(4)
U:(1/2,0,1/2)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|2Y₁(2)|2Y₂(2)|2Yˢ₃Yˢ₄(4)|2Yˢ₃Yˢ₄(4)|2Yˢ₃Yˢ₄(4)|2Yˢ₃Yˢ₄(4)|2Yˢ₃Yˢ₄(4)
