Wyckoff pos.|4a(2/m)|4a(2/m)|4a(2/m)|4a(2/m)|4b(2/m)|4b(2/m)|4b(2/m)|4b(2/m)|8c(1ˢ)|8c(1ˢ)|8e(2)|8e(2)|4a(2/m)|4a(2/m)|4b(2/m)|4b(2/m)|8c(1ˢ)|8c(1ˢ)|8e(2)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|4Γˢ₅(2)|4Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)
T:(1,0,1/2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)
Y:(1,0,0)|Y₁⁺(1)⊕Y₃⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₃⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)⊕Y₃⁻(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)⊕Y₃⁺(1)⊕Y₄⁺(1)|Y₁⁺(1)⊕Y₁⁻(1)⊕Y₄⁺(1)⊕Y₄⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)⊕Y₃⁺(1)⊕Y₃⁻(1)|2Yˢ₅(2)|2Yˢ₆(2)|2Yˢ₅(2)|2Yˢ₆(2)|4Yˢ₆(2)|4Yˢ₅(2)|2Yˢ₅(2)⊕2Yˢ₆(2)
Z:(0,0,1/2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|2Zˢ₃Zˢ₄(4)|2Zˢ₃Zˢ₄(4)|2Zˢ₃Zˢ₄(4)
R:(1/2,1/2,1/2)|R₁⁺R₂⁺(2)|R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)|R₁⁻R₂⁻(2)|R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)|R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)|R₁⁺R₂⁺(2)⊕R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)⊕R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)⊕R₁⁻R₂⁻(2)|R₁⁺R₂⁺(2)⊕R₁⁻R₂⁻(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)|Rˢ₅Rˢ₅(2)⊕Rˢ₆Rˢ₆(2)|Rˢ₅Rˢ₅(2)⊕Rˢ₆Rˢ₆(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)⊕Rˢ₅Rˢ₅(2)⊕Rˢ₆Rˢ₆(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)⊕Rˢ₅Rˢ₅(2)⊕Rˢ₆Rˢ₆(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)⊕Rˢ₅Rˢ₅(2)⊕Rˢ₆Rˢ₆(2)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|Sˢ₂Sˢ₂(4)|Sˢ₂Sˢ₂(4)|Sˢ₂Sˢ₂(4)|Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)
A:(u,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|Aˢ₂Aˢ₅(2)⊕Aˢ₃Aˢ₄(2)|Aˢ₂Aˢ₅(2)⊕Aˢ₃Aˢ₄(2)|Aˢ₂Aˢ₅(2)⊕Aˢ₃Aˢ₄(2)|Aˢ₂Aˢ₅(2)⊕Aˢ₃Aˢ₄(2)|2Aˢ₂Aˢ₅(2)⊕2Aˢ₃Aˢ₄(2)|2Aˢ₂Aˢ₅(2)⊕2Aˢ₃Aˢ₄(2)|2Aˢ₂Aˢ₅(2)⊕2Aˢ₃Aˢ₄(2)
B:(0,v,1/2)|B₁B₃(2)|B₂B₄(2)|B₂B₄(2)|B₁B₃(2)|B₁B₃(2)|B₂B₄(2)|B₂B₄(2)|B₁B₃(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)
