Wyckoff pos.|2a(1)|2a(1)
Band-Rep.|A↑G(2)|AˢAˢ↑G(4)
Decomposable|false|false
A:(1/2,0,1/2)|A₁A₂(2)|Aˢ₃Aˢ₃(2)⊕Aˢ₄Aˢ₄(2)
B:(0,0,1/2)|B₁B₂(2)|Bˢ₃Bˢ₃(2)⊕Bˢ₄Bˢ₄(2)
C:(1/2,1/2,0)|C₁(1)⊕C₂(1)|2Cˢ₃Cˢ₄(2)
D:(0,1/2,1/2)|D₁D₂(2)|Dˢ₃Dˢ₃(2)⊕Dˢ₄Dˢ₄(2)
E:(1/2,1/2,1/2)|E₁E₂(2)|Eˢ₃Eˢ₃(2)⊕Eˢ₄Eˢ₄(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γˢ₃Γˢ₄(2)
Y:(1/2,0,0)|Y₁(1)⊕Y₂(1)|2Yˢ₃Yˢ₄(2)
Z:(0,1/2,0)|Z₁(1)⊕Z₂(1)|2Zˢ₃Zˢ₄(2)
F:(u,0,w)|F₁(1)⊕F₂(1)|2Fˢ₃(1)⊕2Fˢ₄(1)
G:(u,1/2,w)|G₁(1)⊕G₂(1)|2Gˢ₃(1)⊕2Gˢ₄(1)
GP:(u,v,w)|2GP₁(1)|4GPˢ₂(1)
Λ:(0,v,0)|2Λ₁(1)|4Λˢ₂(1)
U:(1/2,v,1/2)|U₁U₁(2)|2Uˢ₂Uˢ₂(2)
V:(0,v,1/2)|V₁V₁(2)|2Vˢ₂Vˢ₂(2)
W:(1/2,v,0)|2W₁(1)|4Wˢ₂(1)
