Wyckoff pos.|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|8k(1ˢ)|8k(1ˢ)|2a(mmm)|2a(mmm)|2b(mmm)|2b(mmm)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)|8k(1ˢ)|8k(1ˢ)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(4)|Aᵤ↑G(4)|Eˢg↑G(2)|Eˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|4Γˢ₅(2)|4Γˢ₆(2)
X:(1,1,1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|4Xˢ₆(2)|4Xˢ₅(2)
R:(1/2,0,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)⊕R₁⁻(1)⊕R₂⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₁⁻(1)⊕R₂⁺(1)⊕R₂⁻(1)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|2Rˢ₃Rˢ₄(2)⊕2Rˢ₅Rˢ₆(2)|2Rˢ₃Rˢ₄(2)⊕2Rˢ₅Rˢ₆(2)
S:(0,1/2,1/2)|S₁⁺(1)|S₁⁻(1)|S₂⁺(1)|S₂⁻(1)|S₂⁺(1)|S₂⁻(1)|S₁⁺(1)|S₁⁻(1)|S₁⁺(1)|S₁⁻(1)|S₂⁺(1)|S₂⁻(1)|S₂⁺(1)|S₂⁻(1)|S₁⁺(1)|S₁⁻(1)|S₂⁻(1)|S₂⁺(1)|S₁⁻(1)|S₁⁺(1)|S₁⁻(1)|S₁⁺(1)|S₂⁻(1)|S₂⁺(1)|S₂⁻(1)|S₂⁺(1)|S₁⁻(1)|S₁⁺(1)|S₁⁻(1)|S₁⁺(1)|S₂⁻(1)|S₂⁺(1)|S₁⁺(1)⊕S₁⁻(1)⊕S₂⁺(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₁⁻(1)⊕S₂⁺(1)⊕S₂⁻(1)|Sˢ₃Sˢ₄(2)|Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)|Sˢ₅Sˢ₆(2)|Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)|Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)|2Sˢ₃Sˢ₄(2)⊕2Sˢ₅Sˢ₆(2)|2Sˢ₃Sˢ₄(2)⊕2Sˢ₅Sˢ₆(2)
T:(1/2,1/2,0)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁻(1)|T₂⁺(1)|T₂⁻(1)|T₂⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁺(1)⊕T₁⁻(1)⊕T₂⁺(1)⊕T₂⁻(1)|T₁⁺(1)⊕T₁⁻(1)⊕T₂⁺(1)⊕T₂⁻(1)|Tˢ₃Tˢ₄(2)|Tˢ₅Tˢ₆(2)|Tˢ₅Tˢ₆(2)|Tˢ₃Tˢ₄(2)|Tˢ₃Tˢ₄(2)|Tˢ₅Tˢ₆(2)|Tˢ₅Tˢ₆(2)|Tˢ₃Tˢ₄(2)|2Tˢ₃Tˢ₄(2)⊕2Tˢ₅Tˢ₆(2)|2Tˢ₃Tˢ₄(2)⊕2Tˢ₅Tˢ₆(2)
W:(1/2,1/2,1/2)|W₁(1)|W₁(1)|W₂(1)|W₂(1)|W₄(1)|W₄(1)|W₃(1)|W₃(1)|W₃(1)|W₃(1)|W₄(1)|W₄(1)|W₂(1)|W₂(1)|W₁(1)|W₁(1)|W₂(1)|W₂(1)|W₁(1)|W₁(1)|W₃(1)|W₃(1)|W₄(1)|W₄(1)|W₄(1)|W₄(1)|W₃(1)|W₃(1)|W₁(1)|W₁(1)|W₂(1)|W₂(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|4Wˢ₅(2)|4Wˢ₅(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
