Wyckoff pos.|8a(1ˢ)|8a(1ˢ)|8b(1ˢ)|8b(1ˢ)|8c(2)|8c(2)|8d(2)|8d(2)|8e(2)|8e(2)|8a(1ˢ)|8a(1ˢ)|8b(1ˢ)|8b(1ˢ)|8c(2)|8d(2)|8e(2)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|4Γˢ₅(2)|4Γˢ₆(2)|4Γˢ₅(2)|4Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)
X:(1,1,1)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)|4Xˢ₅(2)|4Xˢ₆(2)|4Xˢ₆(2)|4Xˢ₅(2)|2Xˢ₅(2)⊕2Xˢ₆(2)|2Xˢ₅(2)⊕2Xˢ₆(2)|2Xˢ₅(2)⊕2Xˢ₆(2)
R:(1/2,0,1/2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)|2Rˢ₂Rˢ₂(4)
S:(0,1/2,1/2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2S₁(2)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)|2Sˢ₂Sˢ₂(4)
T:(1/2,1/2,0)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)|2Tˢ₂Tˢ₂(4)
W:(1/2,1/2,1/2)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|W₁W₁(4)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)|Wˢ₂Wˢ₂(2)⊕Wˢ₃Wˢ₃(2)⊕Wˢ₄Wˢ₄(2)⊕Wˢ₅Wˢ₅(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
