Wyckoff pos.|4a(2/m)|4a(2/m)|4a(2/m)|4a(2/m)|4b(2/m)|4b(2/m)|4b(2/m)|4b(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|4e(mm2)|4e(mm2)|4e(mm2)|4e(mm2)|4a(2/m)|4a(2/m)|4b(2/m)|4b(2/m)|4c(2/m)|4c(2/m)|4d(2/m)|4d(2/m)|4e(mm2)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₃⁺(1)⊕Γ₄⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)
X:(1,1,1)|X₁⁺(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁻(1)|X₂⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁻(1)|X₂⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₄⁻(1)|X₂⁻(1)⊕X₃⁻(1)|X₂⁺(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)|X₂⁺(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₄⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₃⁻(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₄⁻(1)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₅(2)|Xˢ₅(2)⊕Xˢ₆(2)
R:(1/2,0,1/2)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|2Rˢ₃Rˢ₄(2)|2Rˢ₅Rˢ₆(2)|2Rˢ₅Rˢ₆(2)|2Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)
S:(0,1/2,1/2)|S₁⁺(1)⊕S₂⁻(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁺(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁻(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁺(1)⊕S₂⁻(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁻(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁺(1)|S₁⁺(1)⊕S₂⁻(1)|Sˢ₃Sˢ₄(2)⊕Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)⊕Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)⊕Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)⊕Sˢ₅Sˢ₆(2)|2Sˢ₅Sˢ₆(2)|2Sˢ₃Sˢ₄(2)|2Sˢ₃Sˢ₄(2)|2Sˢ₅Sˢ₆(2)|Sˢ₃Sˢ₄(2)⊕Sˢ₅Sˢ₆(2)
T:(1/2,1/2,0)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)|Tˢ₂Tˢ₂(4)
W:(1/2,1/2,1/2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)|Wˢ₂Wˢ₄(2)⊕Wˢ₃Wˢ₅(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
