Wyckoff pos.|1a(4ˢ)|1a(4ˢ)|1a(4ˢ)|1b(4ˢ)|1b(4ˢ)|1b(4ˢ)|1c(4ˢ)|1c(4ˢ)|1c(4ˢ)|1d(4ˢ)|1d(4ˢ)|1d(4ˢ)|2g(2)|2g(2)|1a(4ˢ)|1a(4ˢ)|1b(4ˢ)|1b(4ˢ)|1c(4ˢ)|1c(4ˢ)|1d(4ˢ)|1d(4ˢ)|2g(2)
Band-Rep.|A↑G(1)|B↑G(1)|¹E²E↑G(2)|A↑G(1)|B↑G(1)|¹E²E↑G(2)|A↑G(1)|B↑G(1)|¹E²E↑G(2)|A↑G(1)|B↑G(1)|¹E²E↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true
A:(1/2,1/2,1/2)|A₁(1)|A₂(1)|A₃A₄(2)|A₂(1)|A₁(1)|A₃A₄(2)|A₂(1)|A₁(1)|A₃A₄(2)|A₁(1)|A₂(1)|A₃A₄(2)|A₃A₄(2)|A₁(1)⊕A₂(1)|Aˢ₆Aˢ₈(2)|Aˢ₅Aˢ₇(2)|Aˢ₅Aˢ₇(2)|Aˢ₆Aˢ₈(2)|Aˢ₅Aˢ₇(2)|Aˢ₆Aˢ₈(2)|Aˢ₆Aˢ₈(2)|Aˢ₅Aˢ₇(2)|Aˢ₅Aˢ₇(2)⊕Aˢ₆Aˢ₈(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)|Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)|Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)|Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₄(2)|Γˢ₆Γˢ₈(2)|Γˢ₅Γˢ₇(2)|Γˢ₆Γˢ₈(2)|Γˢ₅Γˢ₇(2)|Γˢ₆Γˢ₈(2)|Γˢ₅Γˢ₇(2)|Γˢ₆Γˢ₈(2)|Γˢ₅Γˢ₇(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)
M:(1/2,1/2,0)|M₁(1)|M₂(1)|M₃M₄(2)|M₁(1)|M₂(1)|M₃M₄(2)|M₂(1)|M₁(1)|M₃M₄(2)|M₂(1)|M₁(1)|M₃M₄(2)|M₃M₄(2)|M₁(1)⊕M₂(1)|Mˢ₆Mˢ₈(2)|Mˢ₅Mˢ₇(2)|Mˢ₆Mˢ₈(2)|Mˢ₅Mˢ₇(2)|Mˢ₅Mˢ₇(2)|Mˢ₆Mˢ₈(2)|Mˢ₅Mˢ₇(2)|Mˢ₆Mˢ₈(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)
Z:(0,0,1/2)|Z₁(1)|Z₂(1)|Z₃Z₄(2)|Z₂(1)|Z₁(1)|Z₃Z₄(2)|Z₁(1)|Z₂(1)|Z₃Z₄(2)|Z₂(1)|Z₁(1)|Z₃Z₄(2)|Z₁(1)⊕Z₂(1)|Z₃Z₄(2)|Zˢ₆Zˢ₈(2)|Zˢ₅Zˢ₇(2)|Zˢ₅Zˢ₇(2)|Zˢ₆Zˢ₈(2)|Zˢ₆Zˢ₈(2)|Zˢ₅Zˢ₇(2)|Zˢ₅Zˢ₇(2)|Zˢ₆Zˢ₈(2)|Zˢ₅Zˢ₇(2)⊕Zˢ₆Zˢ₈(2)
R:(0,1/2,1/2)|R₁(1)|R₁(1)|2R₂(1)|R₁(1)|R₁(1)|2R₂(1)|R₂(1)|R₂(1)|2R₁(1)|R₂(1)|R₂(1)|2R₁(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)
X:(0,1/2,0)|X₁(1)|X₁(1)|2X₂(1)|X₁(1)|X₁(1)|2X₂(1)|X₂(1)|X₂(1)|2X₁(1)|X₂(1)|X₂(1)|2X₁(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|2Xˢ₃Xˢ₄(2)
Λ:(0,0,w)|Λ₁(1)|Λ₁(1)|Λ₂Λ₂(2)|Λ₁(1)|Λ₁(1)|Λ₂Λ₂(2)|Λ₁(1)|Λ₁(1)|Λ₂Λ₂(2)|Λ₁(1)|Λ₁(1)|Λ₂Λ₂(2)|2Λ₁(1)|Λ₂Λ₂(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)
