Wyckoff pos.|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|2e(2/m)|2e(2/m)|2e(2/m)|2e(2/m)|2f(2/m)|2f(2/m)|2f(2/m)|2f(2/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|2e(2/m)|2e(2/m)|2f(2/m)|2f(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
A:(1/2,1/2,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃⁺A₄⁺(2)|A₃⁻A₄⁻(2)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₃⁻A₄⁻(2)|A₃⁺A₄⁺(2)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₃⁺A₄⁺(2)|A₃⁻A₄⁻(2)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻A₄⁻(2)|A₃⁺A₄⁺(2)|A₃⁻A₄⁻(2)|A₃⁺A₄⁺(2)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₃⁺A₄⁺(2)|A₃⁻A₄⁻(2)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|Aˢ₆Aˢ₈(2)|Aˢ₁₀Aˢ₁₂(2)|Aˢ₅Aˢ₇(2)|Aˢ₁₁Aˢ₉(2)|Aˢ₁₀Aˢ₁₂(2)|Aˢ₆Aˢ₈(2)|Aˢ₁₁Aˢ₉(2)|Aˢ₅Aˢ₇(2)|Aˢ₅Aˢ₇(2)|Aˢ₁₁Aˢ₉(2)|Aˢ₆Aˢ₈(2)|Aˢ₁₀Aˢ₁₂(2)|Aˢ₁₁Aˢ₉(2)|Aˢ₅Aˢ₇(2)|Aˢ₁₀Aˢ₁₂(2)|Aˢ₆Aˢ₈(2)|Aˢ₁₀Aˢ₁₂(2)⊕Aˢ₁₁Aˢ₉(2)|Aˢ₅Aˢ₇(2)⊕Aˢ₆Aˢ₈(2)|Aˢ₅Aˢ₇(2)⊕Aˢ₆Aˢ₈(2)|Aˢ₁₀Aˢ₁₂(2)⊕Aˢ₁₁Aˢ₉(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)|Γˢ₅Γˢ₇(2)|Γˢ₁₁Γˢ₉(2)|Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)|Γˢ₅Γˢ₇(2)|Γˢ₁₁Γˢ₉(2)|Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)|Γˢ₅Γˢ₇(2)|Γˢ₁₁Γˢ₉(2)|Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)|Γˢ₅Γˢ₇(2)|Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₃⁻M₄⁻(2)|M₃⁺M₄⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻M₄⁻(2)|M₃⁺M₄⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)|Mˢ₅Mˢ₇(2)|Mˢ₁₁Mˢ₉(2)|Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)|Mˢ₅Mˢ₇(2)|Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)|Mˢ₁₁Mˢ₉(2)|Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)|Mˢ₅Mˢ₇(2)|Mˢ₁₁Mˢ₉(2)|Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)
Z:(0,0,1/2)|Z₁⁺(1)|Z₁⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₃⁺Z₄⁺(2)|Z₃⁻Z₄⁻(2)|Z₁⁻(1)|Z₁⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₃⁻Z₄⁻(2)|Z₃⁺Z₄⁺(2)|Z₁⁺(1)|Z₁⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₃⁺Z₄⁺(2)|Z₃⁻Z₄⁻(2)|Z₁⁻(1)|Z₁⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₃⁻Z₄⁻(2)|Z₃⁺Z₄⁺(2)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₃⁺Z₄⁺(2)|Z₃⁻Z₄⁻(2)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₃⁻Z₄⁻(2)|Z₃⁺Z₄⁺(2)|Zˢ₆Zˢ₈(2)|Zˢ₁₀Zˢ₁₂(2)|Zˢ₅Zˢ₇(2)|Zˢ₁₁Zˢ₉(2)|Zˢ₁₀Zˢ₁₂(2)|Zˢ₆Zˢ₈(2)|Zˢ₁₁Zˢ₉(2)|Zˢ₅Zˢ₇(2)|Zˢ₆Zˢ₈(2)|Zˢ₁₀Zˢ₁₂(2)|Zˢ₅Zˢ₇(2)|Zˢ₁₁Zˢ₉(2)|Zˢ₁₀Zˢ₁₂(2)|Zˢ₆Zˢ₈(2)|Zˢ₁₁Zˢ₉(2)|Zˢ₅Zˢ₇(2)|Zˢ₅Zˢ₇(2)⊕Zˢ₆Zˢ₈(2)|Zˢ₁₀Zˢ₁₂(2)⊕Zˢ₁₁Zˢ₉(2)|Zˢ₁₀Zˢ₁₂(2)⊕Zˢ₁₁Zˢ₉(2)|Zˢ₅Zˢ₇(2)⊕Zˢ₆Zˢ₈(2)
R:(0,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|2R₂⁺(1)|2R₂⁻(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|2R₂⁻(1)|2R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|2R₁⁻(1)|2R₁⁺(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|2R₁⁺(1)|2R₁⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)|Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|2X₂⁺(1)|2X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|2X₂⁺(1)|2X₂⁻(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|2X₁⁻(1)|2X₁⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|2X₁⁻(1)|2X₁⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)
Λ:(0,0,w)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λˢ₆Λˢ₈(2)|Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)|Λˢ₅Λˢ₇(2)|Λˢ₆Λˢ₈(2)|Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)|Λˢ₅Λˢ₇(2)|Λˢ₆Λˢ₈(2)|Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)|Λˢ₅Λˢ₇(2)|Λˢ₆Λˢ₈(2)|Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)|Λˢ₅Λˢ₇(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)
