Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2e(4ˢ)|2e(4ˢ)|2f(4ˢ)|2f(4ˢ)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2e(4ˢ)|2e(4ˢ)|2f(4ˢ)|2f(4ˢ)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₁(2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₂(2)|A₂(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)|Aˢ₃Aˢ₄(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺Γ₄⁺(2)|Γ₃⁻Γ₄⁻(2)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)|Γˢ₁₀Γˢ₁₂(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₆Γˢ₈(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₁₀Γˢ₁₂(2)|Γˢ₆Γˢ₈(2)⊕Γˢ₁₁Γˢ₉(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₁₀Γˢ₁₂(2)
M:(1/2,1/2,0)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺M₄⁺(2)|M₃⁻M₄⁻(2)|M₃⁻M₄⁻(2)|M₃⁺M₄⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻M₄⁻(2)|M₃⁺M₄⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁺(1)⊕M₂⁻(1)|M₁⁻(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁺(1)|M₁⁺(1)⊕M₂⁻(1)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)|Mˢ₁₀Mˢ₁₂(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)|Mˢ₆Mˢ₈(2)⊕Mˢ₁₁Mˢ₉(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₁₀Mˢ₁₂(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₁₀Mˢ₁₂(2)|Mˢ₆Mˢ₈(2)⊕Mˢ₁₁Mˢ₉(2)
Z:(0,0,1/2)|Z₁(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)|Zˢ₃Zˢ₄(4)
R:(0,1/2,1/2)|R₁⁺(1)⊕R₁⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁺(1)⊕R₂⁻(1)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|2Rˢ₅Rˢ₆(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)|2Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)|Rˢ₃Rˢ₄(2)⊕Rˢ₅Rˢ₆(2)
X:(0,1/2,0)|2X₁⁺(1)|2X₁⁻(1)|2X₂⁺(1)|2X₂⁻(1)|2X₂⁻(1)|2X₂⁺(1)|2X₁⁻(1)|2X₁⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₂⁺(1)⊕X₂⁻(1)|2Xˢ₃Xˢ₄(2)|2Xˢ₅Xˢ₆(2)|2Xˢ₅Xˢ₆(2)|2Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)|Xˢ₃Xˢ₄(2)⊕Xˢ₅Xˢ₆(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)|Λˢ₅Λˢ₇(2)⊕Λˢ₆Λˢ₈(2)
