Wyckoff pos.|1a(32)|1a(32)|1a(32)|1b(32)|1b(32)|1b(32)|2d(3)|2d(3)|1a(32)|1a(32)|1b(32)|1b(32)|2d(3)|2d(3)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|E↑G(2)|A₁↑G(1)|A₂↑G(1)|E↑G(2)|A₁↑G(2)|¹E²E↑G(4)|¹Eˢ²Eˢ↑G(2)|Eˢ₁↑G(2)|¹Eˢ²Eˢ↑G(2)|Eˢ₁↑G(2)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|true|false|false|false|false|true|true
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃(2)|A₂(1)|A₁(1)|A₃(2)|A₁(1)⊕A₂(1)|2A₃(2)|Aˢ₄Aˢ₅(2)|Aˢ₆(2)|Aˢ₄Aˢ₅(2)|Aˢ₆(2)|2Aˢ₆(2)|2Aˢ₄Aˢ₅(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γˢ₄Γˢ₅(2)|Γˢ₆(2)|Γˢ₄Γˢ₅(2)|Γˢ₆(2)|2Γˢ₆(2)|2Γˢ₄Γˢ₅(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₃(2)|H₂(1)|H₁(1)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|2Hˢ₆(2)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₂(1)|HA₃(2)|HA₂(1)|HA₁(1)|HA₃(2)|HA₃(2)|HA₁(1)⊕HA₂(1)⊕HA₃(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₆(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₆(2)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₆(2)|2HAˢ₆(2)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₃(2)|K₁(1)|K₂(1)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|2Kˢ₆(2)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₂(1)|KA₃(2)|KA₁(1)|KA₂(1)|KA₃(2)|KA₃(2)|KA₁(1)⊕KA₂(1)⊕KA₃(2)|KAˢ₄(1)⊕KAˢ₅(1)|KAˢ₆(2)|KAˢ₄(1)⊕KAˢ₅(1)|KAˢ₆(2)|KAˢ₄(1)⊕KAˢ₅(1)⊕KAˢ₆(2)|2KAˢ₆(2)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|L₂(1)|L₁(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|2L₁(1)⊕2L₂(1)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)|2Lˢ₃Lˢ₄(2)|2Lˢ₃Lˢ₄(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|M₁(1)|M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|2M₁(1)⊕2M₂(1)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)
