Wyckoff pos.|4a(1ˢ)|4a(1ˢ)|4b(1ˢ)|4b(1ˢ)|4c(2)|4c(2)|4d(2)|4d(2)|4e(2)|4e(2)|4a(1ˢ)|4a(1ˢ)|4b(1ˢ)|4b(1ˢ)|4c(2)|4d(2)|4e(2)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|AˢgAˢg↑G(8)|AˢᵤAˢᵤ↑G(8)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|4Γˢ₅(2)|4Γˢ₆(2)|4Γˢ₅(2)|4Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)|2Γˢ₅(2)⊕2Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)|Rˢ₃Rˢ₃(4)⊕Rˢ₄Rˢ₄(4)
S:(1/2,1/2,0)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)|2Sˢ₃Sˢ₄(4)
T:(0,1/2,1/2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|2T₁(2)|2T₂(2)|2T₂(2)|2T₁(2)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)|2Tˢ₃Tˢ₄(4)
U:(1/2,0,1/2)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|U₁U₂(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)|Uˢ₃Uˢ₃(4)⊕Uˢ₄Uˢ₄(4)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)
Y:(0,1/2,0)|Y₁⁺(1)⊕Y₂⁺(1)⊕Y₃⁺(1)⊕Y₄⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)⊕Y₃⁻(1)⊕Y₄⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)⊕Y₃⁻(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)⊕Y₃⁺(1)⊕Y₄⁺(1)|Y₁⁺(1)⊕Y₁⁻(1)⊕Y₄⁺(1)⊕Y₄⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)⊕Y₃⁺(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)⊕Y₂⁺(1)⊕Y₂⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)⊕Y₄⁺(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)⊕Y₄⁺(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)⊕Y₂⁺(1)⊕Y₂⁻(1)|4Yˢ₅(2)|4Yˢ₆(2)|4Yˢ₆(2)|4Yˢ₅(2)|2Yˢ₅(2)⊕2Yˢ₆(2)|2Yˢ₅(2)⊕2Yˢ₆(2)|2Yˢ₅(2)⊕2Yˢ₆(2)
