Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)
S:(1/2,1/2,0)|S₁⁺S₂⁺(2)|S₁⁻S₂⁻(2)|S₃⁺S₄⁺(2)|S₃⁻S₄⁻(2)|S₁⁺S₂⁺(2)|S₁⁻S₂⁻(2)|S₃⁺S₄⁺(2)|S₃⁻S₄⁻(2)|S₃⁻S₄⁻(2)|S₃⁺S₄⁺(2)|S₁⁻S₂⁻(2)|S₁⁺S₂⁺(2)|S₃⁻S₄⁻(2)|S₃⁺S₄⁺(2)|S₁⁻S₂⁻(2)|S₁⁺S₂⁺(2)|Sˢ₅Sˢ₅(4)|Sˢ₆Sˢ₆(4)|Sˢ₅Sˢ₅(4)|Sˢ₆Sˢ₆(4)|Sˢ₆Sˢ₆(4)|Sˢ₅Sˢ₅(4)|Sˢ₆Sˢ₆(4)|Sˢ₅Sˢ₅(4)
T:(0,1/2,1/2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₆Tˢ₉(2)⊕Tˢ₇Tˢ₈(2)|Tˢ₆Tˢ₉(2)⊕Tˢ₇Tˢ₈(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₆Tˢ₉(2)⊕Tˢ₇Tˢ₈(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₆Tˢ₉(2)⊕Tˢ₇Tˢ₈(2)
U:(1/2,0,1/2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)|Uˢ₆Uˢ₇(2)⊕Uˢ₈Uˢ₉(2)|Uˢ₆Uˢ₇(2)⊕Uˢ₈Uˢ₉(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)|Uˢ₆Uˢ₇(2)⊕Uˢ₈Uˢ₉(2)|Uˢ₆Uˢ₇(2)⊕Uˢ₈Uˢ₉(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)
X:(1/2,0,0)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)
Y:(0,1/2,0)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)|Yˢ₃Yˢ₄(4)
