Wyckoff pos.|1a(2/m)|1a(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1a(2/m)|1a(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1h(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)
B:(0,0,1/2)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₄ˢ(1)|B₆ˢ(1)|B₃ˢ(1)|B₅ˢ(1)|B₄ˢ(1)|B₆ˢ(1)|B₃ˢ(1)|B₅ˢ(1)|B₅ˢ(1)|B₃ˢ(1)|B₆ˢ(1)|B₄ˢ(1)|B₄ˢ(1)|B₆ˢ(1)|B₃ˢ(1)|B₅ˢ(1)|B₄ˢ(1)|B₆ˢ(1)|B₃ˢ(1)|B₅ˢ(1)|B₅ˢ(1)|B₃ˢ(1)|B₆ˢ(1)|B₄ˢ(1)|B₅ˢ(1)|B₃ˢ(1)|B₆ˢ(1)|B₄ˢ(1)|B₅ˢ(1)|B₃ˢ(1)|B₆ˢ(1)|B₄ˢ(1)
C:(1/2,1/2,0)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|C₄ˢ(1)|C₆ˢ(1)|C₃ˢ(1)|C₅ˢ(1)|C₆ˢ(1)|C₄ˢ(1)|C₅ˢ(1)|C₃ˢ(1)|C₄ˢ(1)|C₆ˢ(1)|C₃ˢ(1)|C₅ˢ(1)|C₅ˢ(1)|C₃ˢ(1)|C₆ˢ(1)|C₄ˢ(1)|C₃ˢ(1)|C₅ˢ(1)|C₄ˢ(1)|C₆ˢ(1)|C₆ˢ(1)|C₄ˢ(1)|C₅ˢ(1)|C₃ˢ(1)|C₅ˢ(1)|C₃ˢ(1)|C₆ˢ(1)|C₄ˢ(1)|C₃ˢ(1)|C₅ˢ(1)|C₄ˢ(1)|C₆ˢ(1)
D:(0,1/2,1/2)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|D₄ˢ(1)|D₆ˢ(1)|D₃ˢ(1)|D₅ˢ(1)|D₆ˢ(1)|D₄ˢ(1)|D₅ˢ(1)|D₃ˢ(1)|D₅ˢ(1)|D₃ˢ(1)|D₆ˢ(1)|D₄ˢ(1)|D₄ˢ(1)|D₆ˢ(1)|D₃ˢ(1)|D₅ˢ(1)|D₆ˢ(1)|D₄ˢ(1)|D₅ˢ(1)|D₃ˢ(1)|D₃ˢ(1)|D₅ˢ(1)|D₄ˢ(1)|D₆ˢ(1)|D₅ˢ(1)|D₃ˢ(1)|D₆ˢ(1)|D₄ˢ(1)|D₃ˢ(1)|D₅ˢ(1)|D₄ˢ(1)|D₆ˢ(1)
E:(1/2,1/2,1/2)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₄ˢ(1)|E₆ˢ(1)|E₃ˢ(1)|E₅ˢ(1)|E₆ˢ(1)|E₄ˢ(1)|E₅ˢ(1)|E₃ˢ(1)|E₅ˢ(1)|E₃ˢ(1)|E₆ˢ(1)|E₄ˢ(1)|E₅ˢ(1)|E₃ˢ(1)|E₆ˢ(1)|E₄ˢ(1)|E₃ˢ(1)|E₅ˢ(1)|E₄ˢ(1)|E₆ˢ(1)|E₃ˢ(1)|E₅ˢ(1)|E₄ˢ(1)|E₆ˢ(1)|E₄ˢ(1)|E₆ˢ(1)|E₃ˢ(1)|E₅ˢ(1)|E₆ˢ(1)|E₄ˢ(1)|E₅ˢ(1)|E₃ˢ(1)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)
Y:(1/2,0,0)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₅ˢ(1)|Y₃ˢ(1)|Y₆ˢ(1)|Y₄ˢ(1)|Y₅ˢ(1)|Y₃ˢ(1)|Y₆ˢ(1)|Y₄ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₅ˢ(1)|Y₃ˢ(1)|Y₆ˢ(1)|Y₄ˢ(1)|Y₅ˢ(1)|Y₃ˢ(1)|Y₆ˢ(1)|Y₄ˢ(1)
