Wyckoff pos.|8a(2)|8a(2)|8a(2)|8a(2)
Band-Rep.|A↑G(4)|B↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|true|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)|2Γ₅(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)
M:(1,1,1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|2M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)
P:(1/2,1/2,1/2)|2P₁(2)|2P₁(2)|P₂ˢ(1)⊕P₃ˢ(1)⊕P₄ˢ(1)⊕P₅ˢ(1)|P₂ˢ(1)⊕P₃ˢ(1)⊕P₄ˢ(1)⊕P₅ˢ(1)
X:(1/2,1/2,0)|2X₁(2)|2X₁(2)|X₂ˢ(1)⊕X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)|X₂ˢ(1)⊕X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)
N:(1/2,0,1/2)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₃ˢ(1)⊕2N₄ˢ(1)|2N₃ˢ(1)⊕2N₄ˢ(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)
W:(1/2,1/2,w)|2W₁(2)|2W₁(2)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)
A:(u,u,w)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)
B:(u,0,w)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₃ˢ(1)⊕2B₄ˢ(1)|2B₃ˢ(1)⊕2B₄ˢ(1)
Δ:(u,u,0)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)
Σ:(u,0,0)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)
Y:(u,1-u,0)|2Y₁(1)⊕2Y₂(1)|2Y₁(1)⊕2Y₂(1)|2Y₃ˢ(1)⊕2Y₄ˢ(1)|2Y₃ˢ(1)⊕2Y₄ˢ(1)
C:(u,v,0)|4C₁(1)|4C₁(1)|4C₂ˢ(1)|4C₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|4Ω₁(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)
Q:(1/2,v,1/2)|4Q₁(1)|4Q₁(1)|4Q₂ˢ(1)|4Q₂ˢ(1)
