Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|4e(-1)|4e(-1)|4f(-1)|4f(-1)|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|4e(-1)|4e(-1)|4f(-1)|4f(-1)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|¹Egˢ↑G(1)|¹Eᵤˢ↑G(1)|²Egˢ↑G(1)|²Eᵤˢ↑G(1)|Agˢ↑G(2)|Aᵤˢ↑G(2)|Agˢ↑G(2)|Aᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)|A₄ˢ(1)|A₆ˢ(1)|A₃ˢ(1)|A₅ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₅ˢ(1)|A₃ˢ(1)|A₆ˢ(1)|A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₄ˢ(1)|Γ₆ˢ(1)|Γ₃ˢ(1)|Γ₅ˢ(1)|Γ₃ˢ(1)⊕Γ₄ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)|Γ₃ˢ(1)⊕Γ₄ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)
M:(0,1,1/2)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₂⁻(1)|M₂⁺(1)|M₁⁻(1)|M₁⁺(1)|M₂⁻(1)|M₂⁺(1)|M₁⁻(1)|M₁⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₄ˢ(1)|M₆ˢ(1)|M₃ˢ(1)|M₅ˢ(1)|M₄ˢ(1)|M₆ˢ(1)|M₃ˢ(1)|M₅ˢ(1)|M₅ˢ(1)|M₃ˢ(1)|M₆ˢ(1)|M₄ˢ(1)|M₅ˢ(1)|M₃ˢ(1)|M₆ˢ(1)|M₄ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₃ˢ(1)⊕M₄ˢ(1)|M₃ˢ(1)⊕M₄ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)
Y:(0,1,0)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₄ˢ(1)|Y₆ˢ(1)|Y₃ˢ(1)|Y₅ˢ(1)|Y₅ˢ(1)⊕Y₆ˢ(1)|Y₃ˢ(1)⊕Y₄ˢ(1)|Y₅ˢ(1)⊕Y₆ˢ(1)|Y₃ˢ(1)⊕Y₄ˢ(1)
L:(1/2,1/2,1/2)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)⊕L₁⁻(1)|L₁⁺(1)⊕L₁⁻(1)|L₁⁺(1)⊕L₁⁻(1)|L₁⁺(1)⊕L₁⁻(1)|L₃ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₃ˢ(1)|L₂ˢ(1)|L₂ˢ(1)⊕L₃ˢ(1)|L₂ˢ(1)⊕L₃ˢ(1)|L₂ˢ(1)⊕L₃ˢ(1)|L₂ˢ(1)⊕L₃ˢ(1)
V:(1/2,1/2,0)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁺(1)⊕V₁⁻(1)|V₁⁺(1)⊕V₁⁻(1)|V₁⁺(1)⊕V₁⁻(1)|V₁⁺(1)⊕V₁⁻(1)|V₃ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₂ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₃ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₂ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₂ˢ(1)|V₃ˢ(1)|V₂ˢ(1)⊕V₃ˢ(1)|V₂ˢ(1)⊕V₃ˢ(1)|V₂ˢ(1)⊕V₃ˢ(1)|V₂ˢ(1)⊕V₃ˢ(1)
B:(u,0,w)|B₁(1)|B₂(1)|B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|B₁(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₄ˢ(1)|B₃ˢ(1)|B₃ˢ(1)|B₄ˢ(1)|B₄ˢ(1)|B₃ˢ(1)|B₃ˢ(1)|B₄ˢ(1)|B₄ˢ(1)|B₃ˢ(1)|B₃ˢ(1)|B₄ˢ(1)|B₄ˢ(1)|B₃ˢ(1)|B₃ˢ(1)|B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)
Λ:(0,v,0)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₄ˢ(1)|Λ₄ˢ(1)|Λ₃ˢ(1)|Λ₃ˢ(1)|Λ₄ˢ(1)|Λ₄ˢ(1)|Λ₃ˢ(1)|Λ₃ˢ(1)|Λ₄ˢ(1)|Λ₄ˢ(1)|Λ₃ˢ(1)|Λ₃ˢ(1)|Λ₄ˢ(1)|Λ₄ˢ(1)|Λ₃ˢ(1)|Λ₃ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)
U:(0,v,1/2)|U₁(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)|U₂(1)|U₂(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₄ˢ(1)|U₄ˢ(1)|U₃ˢ(1)|U₃ˢ(1)|U₄ˢ(1)|U₄ˢ(1)|U₃ˢ(1)|U₃ˢ(1)|U₃ˢ(1)|U₃ˢ(1)|U₄ˢ(1)|U₄ˢ(1)|U₃ˢ(1)|U₃ˢ(1)|U₄ˢ(1)|U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)
