Wyckoff pos.|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2e(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|2f(mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1a(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1b(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1c(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|1d(4/mmm)|2e(mmm)|2e(mmm)|2f(mmm)|2f(mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|Egˢ↑G(4)|Eᵤˢ↑G(4)|Egˢ↑G(4)|Eᵤˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
A:(1/2,1/2,1/2)|A₁⁺(1)|A₁⁻(1)|A₃⁺(1)|A₃⁻(1)|A₂⁺(1)|A₂⁻(1)|A₄⁺(1)|A₄⁻(1)|A₅⁺(2)|A₅⁻(2)|A₃⁻(1)|A₃⁺(1)|A₁⁻(1)|A₁⁺(1)|A₄⁻(1)|A₄⁺(1)|A₂⁻(1)|A₂⁺(1)|A₅⁻(2)|A₅⁺(2)|A₄⁺(1)|A₄⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃⁺(1)|A₃⁻(1)|A₁⁺(1)|A₁⁻(1)|A₅⁺(2)|A₅⁻(2)|A₂⁻(1)|A₂⁺(1)|A₄⁻(1)|A₄⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻(1)|A₃⁺(1)|A₅⁻(2)|A₅⁺(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₃⁺(1)⊕A₄⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₅⁻(2)|A₅⁺(2)|A₅⁻(2)|A₅⁺(2)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₃⁺(1)⊕A₄⁺(1)|A₇ˢ(2)|A₉ˢ(2)|A₆ˢ(2)|A₈ˢ(2)|A₉ˢ(2)|A₇ˢ(2)|A₈ˢ(2)|A₆ˢ(2)|A₆ˢ(2)|A₈ˢ(2)|A₇ˢ(2)|A₉ˢ(2)|A₈ˢ(2)|A₆ˢ(2)|A₉ˢ(2)|A₇ˢ(2)|A₆ˢ(2)⊕A₇ˢ(2)|A₈ˢ(2)⊕A₉ˢ(2)|A₈ˢ(2)⊕A₉ˢ(2)|A₆ˢ(2)⊕A₇ˢ(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₁⁺(1)|M₁⁻(1)|M₅⁺(2)|M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₁⁺(1)|M₁⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₇ˢ(2)|M₉ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₇ˢ(2)|M₉ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₇ˢ(2)|M₉ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₇ˢ(2)|M₉ˢ(2)|M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)
Z:(0,0,1/2)|Z₁⁺(1)|Z₁⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁻(1)|Z₁⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₁⁺(1)|Z₁⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁻(1)|Z₁⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₃⁻(1)⊕Z₄⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₃⁻(1)⊕Z₄⁻(1)|Z₅⁺(2)|Z₅⁻(2)|Z₅⁺(2)|Z₅⁻(2)|Z₇ˢ(2)|Z₉ˢ(2)|Z₆ˢ(2)|Z₈ˢ(2)|Z₉ˢ(2)|Z₇ˢ(2)|Z₈ˢ(2)|Z₆ˢ(2)|Z₇ˢ(2)|Z₉ˢ(2)|Z₆ˢ(2)|Z₈ˢ(2)|Z₉ˢ(2)|Z₇ˢ(2)|Z₈ˢ(2)|Z₆ˢ(2)|Z₈ˢ(2)⊕Z₉ˢ(2)|Z₆ˢ(2)⊕Z₇ˢ(2)|Z₆ˢ(2)⊕Z₇ˢ(2)|Z₈ˢ(2)⊕Z₉ˢ(2)
R:(0,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₂⁻(1)⊕R₃⁺(1)|R₂⁺(1)⊕R₃⁻(1)|R₁⁻(1)⊕R₄⁺(1)|R₁⁺(1)⊕R₄⁻(1)|R₂⁺(1)⊕R₄⁻(1)|R₂⁻(1)⊕R₄⁺(1)|R₁⁺(1)⊕R₃⁻(1)|R₁⁻(1)⊕R₃⁺(1)|R₁⁺(1)⊕R₄⁻(1)|R₁⁻(1)⊕R₄⁺(1)|R₂⁺(1)⊕R₃⁻(1)|R₂⁻(1)⊕R₃⁺(1)|R₁⁻(1)⊕R₃⁺(1)|R₁⁺(1)⊕R₃⁻(1)|R₂⁻(1)⊕R₄⁺(1)|R₂⁺(1)⊕R₄⁻(1)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)|X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₅ˢ(2)⊕X₆ˢ(2)|X₅ˢ(2)⊕X₆ˢ(2)|X₅ˢ(2)⊕X₆ˢ(2)|X₅ˢ(2)⊕X₆ˢ(2)
Λ:(0,0,w)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₇ˢ(2)|Λ₇ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₇ˢ(2)|Λ₇ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₇ˢ(2)|Λ₇ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₇ˢ(2)|Λ₇ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)
