Wyckoff pos.|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|9d(1ˢ)|9d(1ˢ)|9e(1ˢ)|9e(1ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3a(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|3b(3ˢ)|9d(1ˢ)|9d(1ˢ)|9e(1ˢ)|9e(1ˢ)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|A₁g↑G(1)|A₁ᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(3)|Aᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|¹Eˢg↑G(1)|¹Eˢᵤ↑G(1)|²Eˢg↑G(1)|²Eˢᵤ↑G(1)|Eˢg↑G(1)|Eˢᵤ↑G(1)|¹Eˢg↑G(1)|¹Eˢᵤ↑G(1)|²Eˢg↑G(1)|²Eˢᵤ↑G(1)|Eˢg↑G(1)|Eˢᵤ↑G(1)|Aˢg↑G(3)|Aˢᵤ↑G(3)|Aˢg↑G(3)|Aˢᵤ↑G(3)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)|Γˢ₆(1)|Γˢ₉(1)|Γˢ₅(1)|Γˢ₈(1)|Γˢ₄(1)|Γˢ₇(1)|Γˢ₆(1)|Γˢ₉(1)|Γˢ₅(1)|Γˢ₈(1)|Γˢ₄(1)|Γˢ₇(1)|Γˢ₄(1)⊕Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₇(1)⊕Γˢ₈(1)⊕Γˢ₉(1)|Γˢ₄(1)⊕Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₇(1)⊕Γˢ₈(1)⊕Γˢ₉(1)
T:(0,0,3/2)|T₁⁺(1)|T₁⁻(1)|T₂⁺(1)|T₂⁻(1)|T₃⁺(1)|T₃⁻(1)|T₁⁻(1)|T₁⁺(1)|T₂⁻(1)|T₂⁺(1)|T₃⁻(1)|T₃⁺(1)|T₁⁻(1)⊕T₂⁻(1)⊕T₃⁻(1)|T₁⁺(1)⊕T₂⁺(1)⊕T₃⁺(1)|T₁⁺(1)⊕T₂⁺(1)⊕T₃⁺(1)|T₁⁻(1)⊕T₂⁻(1)⊕T₃⁻(1)|Tˢ₆(1)|Tˢ₉(1)|Tˢ₅(1)|Tˢ₈(1)|Tˢ₄(1)|Tˢ₇(1)|Tˢ₉(1)|Tˢ₆(1)|Tˢ₈(1)|Tˢ₅(1)|Tˢ₇(1)|Tˢ₄(1)|Tˢ₇(1)⊕Tˢ₈(1)⊕Tˢ₉(1)|Tˢ₄(1)⊕Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₄(1)⊕Tˢ₅(1)⊕Tˢ₆(1)|Tˢ₇(1)⊕Tˢ₈(1)⊕Tˢ₉(1)
F:(0,1/2,1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)|F₁⁻(1)|F₁⁺(1)⊕2F₁⁻(1)|2F₁⁺(1)⊕F₁⁻(1)|F₁⁺(1)⊕2F₁⁻(1)|2F₁⁺(1)⊕F₁⁻(1)|Fˢ₃(1)|Fˢ₂(1)|Fˢ₃(1)|Fˢ₂(1)|Fˢ₃(1)|Fˢ₂(1)|Fˢ₃(1)|Fˢ₂(1)|Fˢ₃(1)|Fˢ₂(1)|Fˢ₃(1)|Fˢ₂(1)|2Fˢ₂(1)⊕Fˢ₃(1)|Fˢ₂(1)⊕2Fˢ₃(1)|2Fˢ₂(1)⊕Fˢ₃(1)|Fˢ₂(1)⊕2Fˢ₃(1)
L:(-1/2,1/2,1/2)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)|L₁⁺(1)|2L₁⁺(1)⊕L₁⁻(1)|L₁⁺(1)⊕2L₁⁻(1)|L₁⁺(1)⊕2L₁⁻(1)|2L₁⁺(1)⊕L₁⁻(1)|Lˢ₃(1)|Lˢ₂(1)|Lˢ₃(1)|Lˢ₂(1)|Lˢ₃(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₃(1)|Lˢ₂(1)|Lˢ₃(1)|Lˢ₂(1)|Lˢ₃(1)|Lˢ₂(1)⊕2Lˢ₃(1)|2Lˢ₂(1)⊕Lˢ₃(1)|2Lˢ₂(1)⊕Lˢ₃(1)|Lˢ₂(1)⊕2Lˢ₃(1)
Λ:(0,0,w)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λˢ₆(1)|Λˢ₆(1)|Λˢ₅(1)|Λˢ₅(1)|Λˢ₄(1)|Λˢ₄(1)|Λˢ₆(1)|Λˢ₆(1)|Λˢ₅(1)|Λˢ₅(1)|Λˢ₄(1)|Λˢ₄(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)
C:(u,-u,w)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|Ωˢ₂(1)|3Ωˢ₂(1)|3Ωˢ₂(1)|3Ωˢ₂(1)|3Ωˢ₂(1)
