Wyckoff pos.|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|2d(3m)|2d(3m)|2d(3m)|3e(2/m)|3e(2/m)|3e(2/m)|3e(2/m)|3f(2/m)|3f(2/m)|3f(2/m)|3f(2/m)|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1a(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|1b(-3m)|2d(3m)|2d(3m)|2d(3m)|3e(2/m)|3e(2/m)|3e(2/m)|3e(2/m)|3f(2/m)|3f(2/m)|3f(2/m)|3f(2/m)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|Ag↑G(3)|Aᵤ↑G(3)|Bg↑G(3)|Bᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|Bg↑G(3)|Bᵤ↑G(3)|¹Eˢg↑G(1)|¹Eˢᵤ↑G(1)|²Eˢg↑G(1)|²Eˢᵤ↑G(1)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|¹Eˢg↑G(1)|¹Eˢᵤ↑G(1)|²Eˢg↑G(1)|²Eˢᵤ↑G(1)|Eˢ₁g↑G(2)|Eˢ₁ᵤ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ₁↑G(4)|¹Eˢg↑G(3)|¹Eˢᵤ↑G(3)|²Eˢg↑G(3)|²Eˢᵤ↑G(3)|¹Eˢg↑G(3)|¹Eˢᵤ↑G(3)|²Eˢg↑G(3)|²Eˢᵤ↑G(3)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true
A:(0,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃⁺(2)|A₃⁻(2)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻(2)|A₃⁺(2)|A₁⁺(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁺(1)|A₃⁺(2)⊕A₃⁻(2)|A₁⁺(1)⊕A₃⁺(2)|A₁⁻(1)⊕A₃⁻(2)|A₂⁺(1)⊕A₃⁺(2)|A₂⁻(1)⊕A₃⁻(2)|A₂⁻(1)⊕A₃⁻(2)|A₂⁺(1)⊕A₃⁺(2)|A₁⁻(1)⊕A₃⁻(2)|A₁⁺(1)⊕A₃⁺(2)|Aˢ₅(1)|Aˢ₇(1)|Aˢ₄(1)|Aˢ₆(1)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₆(1)|Aˢ₄(1)|Aˢ₇(1)|Aˢ₅(1)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₅(1)⊕Aˢ₆(1)|Aˢ₄(1)⊕Aˢ₇(1)|Aˢ₈(2)⊕Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₉(2)|Aˢ₅(1)⊕Aˢ₈(2)|Aˢ₇(1)⊕Aˢ₉(2)|Aˢ₇(1)⊕Aˢ₉(2)|Aˢ₅(1)⊕Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₈(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γˢ₅(1)|Γˢ₇(1)|Γˢ₄(1)|Γˢ₆(1)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₅(1)|Γˢ₇(1)|Γˢ₄(1)|Γˢ₆(1)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₄(1)⊕Γˢ₇(1)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₈(2)|Γˢ₆(1)⊕Γˢ₉(2)|Γˢ₅(1)⊕Γˢ₈(2)|Γˢ₇(1)⊕Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₈(2)|Γˢ₆(1)⊕Γˢ₉(2)|Γˢ₅(1)⊕Γˢ₈(2)|Γˢ₇(1)⊕Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂(1)|H₂(1)|H₃(2)|H₃(2)|H₂(1)|H₂(1)|H₁(1)|H₁(1)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₂(1)⊕H₃(2)|H₁(1)⊕H₃(2)|H₁(1)⊕H₃(2)|Hˢ₅(1)|Hˢ₅(1)|Hˢ₄(1)|Hˢ₄(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)|Hˢ₄(1)|Hˢ₅(1)|Hˢ₅(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₆(2)|Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₆(2)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(2)|K₃(2)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₁(1)⊕K₃(2)|K₂(1)⊕K₃(2)|K₂(1)⊕K₃(2)|Kˢ₅(1)|Kˢ₅(1)|Kˢ₄(1)|Kˢ₄(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₅(1)|Kˢ₅(1)|Kˢ₄(1)|Kˢ₄(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₆(2)|Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₆(2)|Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₅(1)⊕Kˢ₆(2)
L:(1/2,0,1/2)|L₁⁺(1)|L₁⁻(1)|L₂⁺(1)|L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)|L₁⁻(1)⊕L₂⁻(1)|L₂⁻(1)|L₂⁺(1)|L₁⁻(1)|L₁⁺(1)|L₁⁻(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)|L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)|L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻(1)|Lˢ₄(1)|Lˢ₆(1)|Lˢ₃(1)|Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₅(1)|Lˢ₃(1)|Lˢ₆(1)|Lˢ₄(1)|Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)⊕Lˢ₆(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₃(1)⊕Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)⊕Lˢ₆(1)
M:(1/2,0,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁻(1)|M₁⁻(1)⊕M₂⁺(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₂⁻(1)|Mˢ₄(1)|Mˢ₆(1)|Mˢ₃(1)|Mˢ₅(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₄(1)|Mˢ₆(1)|Mˢ₃(1)|Mˢ₅(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₄(1)⊕Mˢ₅(1)|Mˢ₃(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₅(1)|Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₅(1)|Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₆(1)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|2Δ₁(1)|2Δ₂(1)|2Δ₃(2)|Δ₁(1)⊕Δ₃(2)|Δ₂(1)⊕Δ₃(2)|Δ₂(1)⊕Δ₃(2)|Δ₁(1)⊕Δ₃(2)|Δ₁(1)⊕Δ₃(2)|Δ₂(1)⊕Δ₃(2)|Δ₂(1)⊕Δ₃(2)|Δ₁(1)⊕Δ₃(2)|Δˢ₅(1)|Δˢ₄(1)|Δˢ₄(1)|Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₅(1)|Δˢ₄(1)|Δˢ₄(1)|Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|2Δˢ₅(1)|2Δˢ₄(1)|2Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₆(2)|Δˢ₅(1)⊕Δˢ₆(2)|Δˢ₅(1)⊕Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₆(2)|Δˢ₅(1)⊕Δˢ₆(2)|Δˢ₅(1)⊕Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₆(2)
