Wyckoff pos.|6a(32)|6a(32)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|18d(-1)|18d(-1)|6a(32)|6a(32)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|18d(-1)|18d(-1)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|¹Eg↑G(2)|¹Eᵤ↑G(2)|²Eg↑G(2)|²Eᵤ↑G(2)|Ag↑G(6)|Aᵤ↑G(6)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|Aˢg↑G(6)|Aˢᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|true|true|false|false|false|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₃⁻(2)|Γˢ₅(1)⊕Γˢ₇(1)|Γˢ₄(1)⊕Γˢ₆(1)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₅(1)|Γˢ₆(1)⊕Γˢ₇(1)|Γˢ₄(1)⊕Γˢ₅(1)⊕2Γˢ₈(2)|Γˢ₆(1)⊕Γˢ₇(1)⊕2Γˢ₉(2)
T:(0,0,3/2)|T₃(2)|T₃(2)|T₃(2)|T₃(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)⊕T₂(2)⊕T₃(2)|T₁(2)⊕T₂(2)⊕T₃(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₅(2)|Tˢ₆(2)|Tˢ₆(2)|Tˢ₅(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₄(2)⊕Tˢ₅(2)⊕Tˢ₆(2)|Tˢ₄(2)⊕Tˢ₅(2)⊕Tˢ₆(2)
F:(0,1/2,1)|F₁⁺(1)⊕F₁⁻(1)|F₂⁺(1)⊕F₂⁻(1)|F₁⁺(1)⊕F₂⁺(1)|F₁⁻(1)⊕F₂⁻(1)|F₁⁺(1)⊕F₂⁺(1)|F₁⁻(1)⊕F₂⁻(1)|F₁⁺(1)⊕F₂⁺(1)|F₁⁻(1)⊕F₂⁻(1)|F₁⁺(1)⊕2F₁⁻(1)⊕F₂⁺(1)⊕2F₂⁻(1)|2F₁⁺(1)⊕F₁⁻(1)⊕2F₂⁺(1)⊕F₂⁻(1)|Fˢ₃(1)⊕Fˢ₅(1)|Fˢ₄(1)⊕Fˢ₆(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₅(1)⊕Fˢ₆(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₅(1)⊕Fˢ₆(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₅(1)⊕Fˢ₆(1)|Fˢ₃(1)⊕Fˢ₄(1)⊕2Fˢ₅(1)⊕2Fˢ₆(1)|2Fˢ₃(1)⊕2Fˢ₄(1)⊕Fˢ₅(1)⊕Fˢ₆(1)
L:(-1/2,1/2,1/2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|3L₁(2)|3L₁(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|3Lˢ₂(2)|3Lˢ₂(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)
C:(u,-u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)|3Cˢ₃(1)⊕3Cˢ₄(1)
Σ:(u,-2u,0)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|2Σˢ₄(1)|2Σˢ₃(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|3Σˢ₃(1)⊕3Σˢ₄(1)|3Σˢ₃(1)⊕3Σˢ₄(1)
