Wyckoff pos.|6a(1)|6a(1)
Band-Rep.|A↑G(6)|Aˢ↑G(6)
Decomposable|false|false
A:(0,0,1/2)|A₁(1)⊕A₂(1)⊕A₃(1)⊕A₄(1)⊕A₅(1)⊕A₆(1)|A₇ˢ(1)⊕A₈ˢ(1)⊕A₉ˢ(1)⊕A₁₀ˢ(1)⊕A₁₁ˢ(1)⊕A₁₂ˢ(1)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)⊕Γ₅(1)⊕Γ₆(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)⊕Γ₉ˢ(1)⊕Γ₁₀ˢ(1)⊕Γ₁₁ˢ(1)⊕Γ₁₂ˢ(1)
H:(1/3,1/3,1/2)|2H₁(1)⊕2H₂(1)⊕2H₃(1)|2H₄ˢ(1)⊕2H₅ˢ(1)⊕2H₆ˢ(1)
K:(1/3,1/3,0)|2K₁(1)⊕2K₂(1)⊕2K₃(1)|2K₄ˢ(1)⊕2K₅ˢ(1)⊕2K₆ˢ(1)
L:(1/2,0,1/2)|3L₁(1)⊕3L₂(1)|3L₃ˢ(1)⊕3L₄ˢ(1)
M:(1/2,0,0)|3M₁(1)⊕3M₂(1)|3M₃ˢ(1)⊕3M₄ˢ(1)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕Δ₅(1)⊕Δ₆(1)|Δ₇ˢ(1)⊕Δ₈ˢ(1)⊕Δ₉ˢ(1)⊕Δ₁₀ˢ(1)⊕Δ₁₁ˢ(1)⊕Δ₁₂ˢ(1)
P:(1/3,1/3,w)|2P₁(1)⊕2P₂(1)⊕2P₃(1)|2P₄ˢ(1)⊕2P₅ˢ(1)⊕2P₆ˢ(1)
U:(1/2,0,w)|3U₁(1)⊕3U₂(1)|3U₃ˢ(1)⊕3U₄ˢ(1)
B:(u,v,0)|6B₁(1)|6B₂ˢ(1)
C:(u,u,w)|6C₁(1)|6C₂ˢ(1)
D:(u,0,w)|6D₁(1)|6D₂ˢ(1)
E:(u,v,1/2)|6E₁(1)|6E₂ˢ(1)
Ω:(u,v,w)|6Ω₁(1)|6Ω₂ˢ(1)
Λ:(u,u,0)|6Λ₁(1)|6Λ₂ˢ(1)
Q:(u,u,1/2)|6Q₁(1)|6Q₂ˢ(1)
R:(u,0,1/2)|6R₁(1)|6R₂ˢ(1)
Σ:(u,0,0)|6Σ₁(1)|6Σ₂ˢ(1)
