Wyckoff pos.|1a(-6m2)|1a(-6m2)|1a(-6m2)|1a(-6m2)|1a(-6m2)|1a(-6m2)|1b(-6m2)|1b(-6m2)|1b(-6m2)|1b(-6m2)|1b(-6m2)|1b(-6m2)|1c(-6m2)|1c(-6m2)|1c(-6m2)|1c(-6m2)|1c(-6m2)|1c(-6m2)|1d(-6m2)|1d(-6m2)|1d(-6m2)|1d(-6m2)|1d(-6m2)|1d(-6m2)|1e(-6m2)|1e(-6m2)|1e(-6m2)|1e(-6m2)|1e(-6m2)|1e(-6m2)|1f(-6m2)|1f(-6m2)|1f(-6m2)|1f(-6m2)|1f(-6m2)|1f(-6m2)|1a(-6m2)|1a(-6m2)|1a(-6m2)|1b(-6m2)|1b(-6m2)|1b(-6m2)|1c(-6m2)|1c(-6m2)|1c(-6m2)|1d(-6m2)|1d(-6m2)|1d(-6m2)|1e(-6m2)|1e(-6m2)|1e(-6m2)|1f(-6m2)|1f(-6m2)|1f(-6m2)
Band-Rep.|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|A₁′↑G(1)|A₁′′↑G(1)|A₂′↑G(1)|A₂′′↑G(1)|E′↑G(2)|E′′↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)|E₁ˢ↑G(2)|E₂ˢ↑G(2)|E₃ˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₉ˢ(2)|A₈ˢ(2)|A₇ˢ(2)|A₈ˢ(2)|A₉ˢ(2)|A₇ˢ(2)|A₉ˢ(2)|A₈ˢ(2)|A₇ˢ(2)|A₈ˢ(2)|A₉ˢ(2)|A₇ˢ(2)|A₉ˢ(2)|A₈ˢ(2)|A₇ˢ(2)|A₈ˢ(2)|A₉ˢ(2)|A₇ˢ(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)
H:(1/3,1/3,1/2)|H₁(1)|H₁(1)|H₂(1)|H₂(1)|H₃(1)⊕H₅(1)|H₄(1)⊕H₆(1)|H₂(1)|H₂(1)|H₁(1)|H₁(1)|H₄(1)⊕H₆(1)|H₃(1)⊕H₅(1)|H₃(1)|H₃(1)|H₄(1)|H₄(1)|H₁(1)⊕H₅(1)|H₂(1)⊕H₆(1)|H₄(1)|H₄(1)|H₃(1)|H₃(1)|H₂(1)⊕H₆(1)|H₁(1)⊕H₅(1)|H₅(1)|H₅(1)|H₆(1)|H₆(1)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|H₆(1)|H₆(1)|H₅(1)|H₅(1)|H₂(1)⊕H₄(1)|H₁(1)⊕H₃(1)|H₁₀ˢ(1)⊕H₁₁ˢ(1)|H₉ˢ(1)⊕H₁₂ˢ(1)|H₇ˢ(1)⊕H₈ˢ(1)|H₉ˢ(1)⊕H₁₂ˢ(1)|H₁₀ˢ(1)⊕H₁₁ˢ(1)|H₇ˢ(1)⊕H₈ˢ(1)|H₇ˢ(1)⊕H₁₂ˢ(1)|H₈ˢ(1)⊕H₁₁ˢ(1)|H₉ˢ(1)⊕H₁₀ˢ(1)|H₈ˢ(1)⊕H₁₁ˢ(1)|H₇ˢ(1)⊕H₁₂ˢ(1)|H₉ˢ(1)⊕H₁₀ˢ(1)|H₈ˢ(1)⊕H₉ˢ(1)|H₇ˢ(1)⊕H₁₀ˢ(1)|H₁₁ˢ(1)⊕H₁₂ˢ(1)|H₇ˢ(1)⊕H₁₀ˢ(1)|H₈ˢ(1)⊕H₉ˢ(1)|H₁₁ˢ(1)⊕H₁₂ˢ(1)
K:(1/3,1/3,0)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₁(1)|K₁(1)|K₂(1)|K₂(1)|K₃(1)⊕K₅(1)|K₄(1)⊕K₆(1)|K₃(1)|K₃(1)|K₄(1)|K₄(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₃(1)|K₃(1)|K₄(1)|K₄(1)|K₁(1)⊕K₅(1)|K₂(1)⊕K₆(1)|K₅(1)|K₅(1)|K₆(1)|K₆(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|K₅(1)|K₅(1)|K₆(1)|K₆(1)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|K₁₀ˢ(1)⊕K₁₁ˢ(1)|K₉ˢ(1)⊕K₁₂ˢ(1)|K₇ˢ(1)⊕K₈ˢ(1)|K₁₀ˢ(1)⊕K₁₁ˢ(1)|K₉ˢ(1)⊕K₁₂ˢ(1)|K₇ˢ(1)⊕K₈ˢ(1)|K₇ˢ(1)⊕K₁₂ˢ(1)|K₈ˢ(1)⊕K₁₁ˢ(1)|K₉ˢ(1)⊕K₁₀ˢ(1)|K₇ˢ(1)⊕K₁₂ˢ(1)|K₈ˢ(1)⊕K₁₁ˢ(1)|K₉ˢ(1)⊕K₁₀ˢ(1)|K₈ˢ(1)⊕K₉ˢ(1)|K₇ˢ(1)⊕K₁₀ˢ(1)|K₁₁ˢ(1)⊕K₁₂ˢ(1)|K₈ˢ(1)⊕K₉ˢ(1)|K₇ˢ(1)⊕K₁₀ˢ(1)|K₁₁ˢ(1)⊕K₁₂ˢ(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₂(1)|L₃(1)⊕L₄(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₃(1)⊕L₄(1)|L₁(1)⊕L₂(1)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)|L₅ˢ(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)|M₅ˢ(2)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₄ˢ(1)⊕Δ₅ˢ(1)
