Wyckoff pos.|2a(622)|2a(622)|2a(622)|2a(622)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|4c(32)|4c(32)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|6f(222)|6f(222)|6f(222)|6f(222)|6g(2/m)|6g(2/m)|6g(2/m)|6g(2/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|4c(32)|4c(32)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|6g(2/m)|6g(2/m)|6g(2/m)|6g(2/m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹E₁g↑G(2)|¹E₁ᵤ↑G(2)|¹E₂g↑G(2)|¹E₂ᵤ↑G(2)|²E₁g↑G(2)|²E₁ᵤ↑G(2)|²E₂g↑G(2)|²E₂ᵤ↑G(2)|A₁↑G(4)|A₂↑G(4)|A′↑G(4)|A′′↑G(4)|¹E′↑G(4)|¹E′′↑G(4)|²E′↑G(4)|²E′′↑G(4)|A₁↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|¹E₁gˢ↑G(2)|¹E₁ᵤˢ↑G(2)|¹E₂gˢ↑G(2)|¹E₂ᵤˢ↑G(2)|¹E₃gˢ↑G(2)|¹E₃ᵤˢ↑G(2)|²E₁gˢ↑G(2)|²E₁ᵤˢ↑G(2)|²E₂gˢ↑G(2)|²E₂ᵤˢ↑G(2)|²E₃gˢ↑G(2)|²E₃ᵤˢ↑G(2)|¹Eˢ↑G(4)|²Eˢ↑G(4)|¹E₁ˢ↑G(4)|¹E₂ˢ↑G(4)|¹E₃ˢ↑G(4)|²E₁ˢ↑G(4)|²E₂ˢ↑G(4)|²E₃ˢ↑G(4)|¹Egˢ↑G(6)|¹Eᵤˢ↑G(6)|²Egˢ↑G(6)|²Eᵤˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true|true|true
A:(0,0,1/2)|A₅(2)|A₅(2)|A₆(2)|A₆(2)|A₅(2)|A₅(2)|A₆(2)|A₆(2)|A₁(2)|A₂(2)|A₄(2)|A₃(2)|A₂(2)|A₁(2)|A₃(2)|A₄(2)|A₅(2)⊕A₆(2)|A₅(2)⊕A₆(2)|A₅(2)⊕A₆(2)|A₅(2)⊕A₆(2)|A₁(2)⊕A₃(2)|A₂(2)⊕A₄(2)|A₂(2)⊕A₄(2)|A₁(2)⊕A₃(2)|A₁(2)⊕A₂(2)⊕A₅(2)|A₁(2)⊕A₂(2)⊕A₅(2)|A₃(2)⊕A₄(2)⊕A₆(2)|A₃(2)⊕A₄(2)⊕A₆(2)|A₁(2)⊕A₂(2)⊕A₅(2)|A₁(2)⊕A₂(2)⊕A₅(2)|A₃(2)⊕A₄(2)⊕A₆(2)|A₃(2)⊕A₄(2)⊕A₆(2)|A₁₀ˢ(2)|A₇ˢ(2)|A₁₂ˢ(2)|A₈ˢ(2)|A₁₁ˢ(2)|A₉ˢ(2)|A₇ˢ(2)|A₁₀ˢ(2)|A₈ˢ(2)|A₁₂ˢ(2)|A₉ˢ(2)|A₁₁ˢ(2)|A₇ˢ(2)⊕A₁₀ˢ(2)|A₇ˢ(2)⊕A₁₀ˢ(2)|2A₁₀ˢ(2)|A₁₁ˢ(2)⊕A₁₂ˢ(2)|A₁₁ˢ(2)⊕A₁₂ˢ(2)|2A₇ˢ(2)|A₈ˢ(2)⊕A₉ˢ(2)|A₈ˢ(2)⊕A₉ˢ(2)|A₁₀ˢ(2)⊕A₁₁ˢ(2)⊕A₁₂ˢ(2)|A₇ˢ(2)⊕A₈ˢ(2)⊕A₉ˢ(2)|A₇ˢ(2)⊕A₈ˢ(2)⊕A₉ˢ(2)|A₁₀ˢ(2)⊕A₁₁ˢ(2)⊕A₁₂ˢ(2)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₆⁺(2)|Γ₆⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₆⁺(2)|Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₅⁺(2)⊕Γ₆⁻(2)|Γ₅⁻(2)⊕Γ₆⁺(2)|Γ₅⁺(2)⊕Γ₆⁻(2)|Γ₅⁻(2)⊕Γ₆⁺(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₄⁺(1)⊕Γ₄⁻(1)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₅⁻(2)|Γ₃⁺(1)⊕Γ₄⁺(1)⊕2Γ₆⁺(2)|Γ₃⁻(1)⊕Γ₄⁻(1)⊕2Γ₆⁻(2)|Γ₇ˢ(2)|Γ₁₀ˢ(2)|Γ₈ˢ(2)|Γ₁₁ˢ(2)|Γ₉ˢ(2)|Γ₁₂ˢ(2)|Γ₇ˢ(2)|Γ₁₀ˢ(2)|Γ₈ˢ(2)|Γ₁₁ˢ(2)|Γ₉ˢ(2)|Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₈ˢ(2)⊕Γ₁₂ˢ(2)|Γ₉ˢ(2)⊕Γ₁₁ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₈ˢ(2)⊕Γ₁₂ˢ(2)|Γ₉ˢ(2)⊕Γ₁₁ˢ(2)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₀ˢ(2)⊕Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₀ˢ(2)⊕Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)
H:(1/3,1/3,1/2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁(2)|H₂(2)|H₂(2)|H₁(2)|H₂(2)|H₁(2)|H₁(2)|H₂(2)|H₁(2)⊕H₂(2)|H₁(2)⊕H₂(2)|H₁(2)⊕H₂(2)|H₁(2)⊕H₂(2)|H₂(2)⊕H₃(2)|H₁(2)⊕H₃(2)|H₁(2)⊕H₃(2)|H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₁(2)⊕H₂(2)⊕H₃(2)|H₆ˢ(1)⊕H₇ˢ(1)|H₄ˢ(1)⊕H₅ˢ(1)|H₉ˢ(2)|H₈ˢ(2)|H₉ˢ(2)|H₈ˢ(2)|H₄ˢ(1)⊕H₅ˢ(1)|H₆ˢ(1)⊕H₇ˢ(1)|H₈ˢ(2)|H₉ˢ(2)|H₈ˢ(2)|H₉ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)|2H₉ˢ(2)|H₆ˢ(1)⊕H₇ˢ(1)⊕H₉ˢ(2)|H₆ˢ(1)⊕H₇ˢ(1)⊕H₉ˢ(2)|2H₈ˢ(2)|H₄ˢ(1)⊕H₅ˢ(1)⊕H₈ˢ(2)|H₄ˢ(1)⊕H₅ˢ(1)⊕H₈ˢ(2)|H₆ˢ(1)⊕H₇ˢ(1)⊕2H₉ˢ(2)|H₄ˢ(1)⊕H₅ˢ(1)⊕2H₈ˢ(2)|H₄ˢ(1)⊕H₅ˢ(1)⊕2H₈ˢ(2)|H₆ˢ(1)⊕H₇ˢ(1)⊕2H₉ˢ(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₃(1)⊕K₄(1)|K₃(1)⊕K₄(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|K₂(1)⊕K₃(1)|K₁(1)⊕K₄(1)|K₅(2)|K₆(2)|K₆(2)|K₅(2)|K₅(2)|K₆(2)|K₆(2)|K₅(2)|K₅(2)⊕K₆(2)|K₅(2)⊕K₆(2)|2K₅(2)|2K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₂(1)⊕K₅(2)⊕K₆(2)|K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₂(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₄(1)⊕2K₅(2)|K₂(1)⊕K₃(1)⊕2K₆(2)|K₂(1)⊕K₃(1)⊕2K₆(2)|K₁(1)⊕K₄(1)⊕2K₅(2)|K₇ˢ(2)|K₇ˢ(2)|K₈ˢ(2)|K₉ˢ(2)|K₉ˢ(2)|K₈ˢ(2)|K₇ˢ(2)|K₇ˢ(2)|K₈ˢ(2)|K₉ˢ(2)|K₉ˢ(2)|K₈ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|2L₁(2)⊕L₂(2)|L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|2L₁(2)⊕L₂(2)|L₄ˢ(2)|L₃ˢ(2)|L₄ˢ(2)|L₃ˢ(2)|L₄ˢ(2)|L₃ˢ(2)|L₃ˢ(2)|L₄ˢ(2)|L₃ˢ(2)|L₄ˢ(2)|L₃ˢ(2)|L₄ˢ(2)|L₃ˢ(2)⊕L₄ˢ(2)|L₃ˢ(2)⊕L₄ˢ(2)|2L₄ˢ(2)|2L₄ˢ(2)|2L₄ˢ(2)|2L₃ˢ(2)|2L₃ˢ(2)|2L₃ˢ(2)|3L₄ˢ(2)|3L₃ˢ(2)|3L₃ˢ(2)|3L₄ˢ(2)
M:(1/2,0,0)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₄⁺(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕2M₃⁻(1)⊕2M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕2M₃⁺(1)⊕2M₄⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|2M₁⁺(1)⊕2M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|Δ₅(2)|Δ₅(2)|Δ₆(2)|Δ₆(2)|Δ₅(2)|Δ₅(2)|Δ₆(2)|Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₈ˢ(2)|Δ₈ˢ(2)|Δ₉ˢ(2)|Δ₉ˢ(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₈ˢ(2)|Δ₈ˢ(2)|Δ₉ˢ(2)|Δ₉ˢ(2)|2Δ₇ˢ(2)|2Δ₇ˢ(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)
