Wyckoff pos.|4a(23)|4a(23)|4a(23)|4a(23)|4b(23)|4b(23)|4b(23)|4b(23)|4c(23)|4c(23)|4c(23)|4c(23)|4d(23)|4d(23)|4d(23)|4d(23)|4a(23)|4a(23)|4a(23)|4b(23)|4b(23)|4b(23)|4c(23)|4c(23)|4c(23)|4d(23)|4d(23)|4d(23)
Band-Rep.|A↑G(1)|¹E↑G(1)|²E↑G(1)|T↑G(3)|A↑G(1)|¹E↑G(1)|²E↑G(1)|T↑G(3)|A↑G(1)|¹E↑G(1)|²E↑G(1)|T↑G(3)|A↑G(1)|¹E↑G(1)|²E↑G(1)|T↑G(3)|Eˢ↑G(2)|¹Fˢ↑G(2)|²Fˢ↑G(2)|Eˢ↑G(2)|¹Fˢ↑G(2)|²Fˢ↑G(2)|Eˢ↑G(2)|¹Fˢ↑G(2)|²Fˢ↑G(2)|Eˢ↑G(2)|¹Fˢ↑G(2)|²Fˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(3)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(3)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(3)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(3)|Γ₅ˢ(2)|Γ₇ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₇ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₇ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₇ˢ(2)|Γ₆ˢ(2)
X:(0,1,0)|X₁(1)|X₁(1)|X₁(1)|X₂(1)⊕X₃(1)⊕X₄(1)|X₁(1)|X₁(1)|X₁(1)|X₂(1)⊕X₃(1)⊕X₄(1)|X₄(1)|X₄(1)|X₄(1)|X₁(1)⊕X₂(1)⊕X₃(1)|X₄(1)|X₄(1)|X₄(1)|X₁(1)⊕X₂(1)⊕X₃(1)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)
L:(1/2,1/2,1/2)|L₁(1)|L₂(1)|L₃(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₁(1)|L₂(1)|L₃(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₁(1)|L₂(1)|L₃(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₁(1)|L₂(1)|L₃(1)|L₁(1)⊕L₂(1)⊕L₃(1)|L₅ˢ(1)⊕L₆ˢ(1)|L₄ˢ(1)⊕L₅ˢ(1)|L₄ˢ(1)⊕L₆ˢ(1)|L₅ˢ(1)⊕L₆ˢ(1)|L₄ˢ(1)⊕L₅ˢ(1)|L₄ˢ(1)⊕L₆ˢ(1)|L₅ˢ(1)⊕L₆ˢ(1)|L₄ˢ(1)⊕L₅ˢ(1)|L₄ˢ(1)⊕L₆ˢ(1)|L₅ˢ(1)⊕L₆ˢ(1)|L₄ˢ(1)⊕L₅ˢ(1)|L₄ˢ(1)⊕L₆ˢ(1)
W:(1/2,1,0)|W₁(1)|W₁(1)|W₁(1)|W₁(1)⊕2W₂(1)|W₁(1)|W₁(1)|W₁(1)|W₁(1)⊕2W₂(1)|W₂(1)|W₂(1)|W₂(1)|2W₁(1)⊕W₂(1)|W₂(1)|W₂(1)|W₂(1)|2W₁(1)⊕W₂(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)|W₃ˢ(1)⊕W₄ˢ(1)
Λ:(u,u,u)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)|Λ₂(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)
Δ:(0,v,0)|Δ₁(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)
V:(u,1,0)|V₁(1)|V₁(1)|V₁(1)|V₁(1)⊕2V₂(1)|V₁(1)|V₁(1)|V₁(1)|V₁(1)⊕2V₂(1)|V₂(1)|V₂(1)|V₂(1)|2V₁(1)⊕V₂(1)|V₂(1)|V₂(1)|V₂(1)|2V₁(1)⊕V₂(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)|V₃ˢ(1)⊕V₄ˢ(1)
