Wyckoff pos.|2a(23)|2a(23)|2a(23)|2a(23)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)|6d(222)|6d(222)|6d(222)|6d(222)|2a(23)|2a(23)|2a(23)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4b(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)|4c(-3)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹Egˢ↑G(4)|¹Eᵤˢ↑G(4)|²Egˢ↑G(4)|²Eᵤˢ↑G(4)|Egˢ↑G(4)|Eᵤˢ↑G(4)|¹Egˢ↑G(4)|¹Eᵤˢ↑G(4)|²Egˢ↑G(4)|²Eᵤˢ↑G(4)|Egˢ↑G(4)|Eᵤˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₅ˢ(2)⊕Γ₈ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₆ˢ(2)⊕Γ₉ˢ(2)|Γ₅ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₁₀ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₉ˢ(2)⊕Γ₁₀ˢ(2)|Γ₅ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₁₀ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₉ˢ(2)⊕Γ₁₀ˢ(2)
R:(1/2,1/2,1/2)|R₁⁺(1)⊕R₁⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₃⁺(1)⊕R₃⁻(1)|R₄⁺(3)⊕R₄⁻(3)|R₁⁺(1)⊕R₄⁺(3)|R₁⁻(1)⊕R₄⁻(3)|R₃⁺(1)⊕R₄⁺(3)|R₃⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₁⁻(1)⊕R₄⁻(3)|R₁⁺(1)⊕R₄⁺(3)|R₃⁻(1)⊕R₄⁻(3)|R₃⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₄⁺(3)⊕R₄⁻(3)|R₄⁺(3)⊕R₄⁻(3)|R₄⁺(3)⊕R₄⁻(3)|R₁⁺(1)⊕R₁⁻(1)⊕R₂⁺(1)⊕R₂⁻(1)⊕R₃⁺(1)⊕R₃⁻(1)|R₅ˢ(2)⊕R₈ˢ(2)|R₇ˢ(2)⊕R₁₀ˢ(2)|R₆ˢ(2)⊕R₉ˢ(2)|R₅ˢ(2)⊕R₇ˢ(2)|R₈ˢ(2)⊕R₁₀ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)|R₈ˢ(2)⊕R₉ˢ(2)|R₆ˢ(2)⊕R₇ˢ(2)|R₉ˢ(2)⊕R₁₀ˢ(2)|R₈ˢ(2)⊕R₁₀ˢ(2)|R₅ˢ(2)⊕R₇ˢ(2)|R₈ˢ(2)⊕R₉ˢ(2)|R₅ˢ(2)⊕R₆ˢ(2)|R₉ˢ(2)⊕R₁₀ˢ(2)|R₆ˢ(2)⊕R₇ˢ(2)
M:(1/2,1/2,0)|M₁(2)|M₁(2)|M₁(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕2M₂(2)|M₁(2)⊕2M₂(2)|3M₁(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)
X:(0,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|3X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕2X₂(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)⊕3Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)
T:(1/2,1/2,w)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|3T₁(1)⊕3T₂(1)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)
Z:(u,1/2,0)|Z₁(2)|Z₁(2)|Z₁(2)|3Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|2Z₁(2)|3Z₁(2)|3Z₁(2)|3Z₁(2)|3Z₁(2)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)|Z₂ˢ(1)⊕Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₅ˢ(1)
