Wyckoff pos.|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|8c(23)|8c(23)|8c(23)|8c(23)|24d(2/m)|24d(2/m)|24d(2/m)|24d(2/m)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4a(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|4b(m3ˢ)|8c(23)|8c(23)|8c(23)|24d(2/m)|24d(2/m)|24d(2/m)|24d(2/m)
Band-Rep.|¹Aᵤ↑G(1)|Ag↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Tg↑G(3)|Tᵤ↑G(3)|¹Aᵤ↑G(1)|Ag↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Tg↑G(3)|Tᵤ↑G(3)|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Fˢg↑G(2)|¹Fˢᵤ↑G(2)|²Fˢg↑G(2)|²Fˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Fˢg↑G(2)|¹Fˢᵤ↑G(2)|²Fˢg↑G(2)|²Fˢᵤ↑G(2)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹Eˢg↑G(6)|¹Eˢᵤ↑G(6)|²Eˢg↑G(6)|²Eˢᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(3)|2Γ₄⁺(3)|2Γ₄⁻(3)|Γˢ₅(2)|Γˢ₈(2)|Γˢ₆(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₁₀(2)|Γˢ₅(2)|Γˢ₈(2)|Γˢ₆(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₀(2)
X:(0,1,0)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕2X₄⁻(1)|X₁⁻(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕2X₄⁺(1)⊕X₄⁻(1)|2X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|2X₁⁺(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕2Xˢ₆(2)|2Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕2Xˢ₆(2)|2Xˢ₅(2)⊕Xˢ₆(2)
L:(1/2,1/2,1/2)|L₁⁻(1)|L₁⁺(1)|L₃⁺(1)|L₃⁻(1)|L₂⁺(1)|L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁺(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)|L₁⁻(1)|L₃⁻(1)|L₃⁺(1)|L₂⁻(1)|L₂⁺(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁺(1)|L₁⁺(1)⊕L₁⁻(1)|L₃⁺(1)⊕L₃⁻(1)|L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₆(1)|Lˢ₇(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₇(1)⊕Lˢ₈(1)|Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₅(1)⊕Lˢ₆(1)|Lˢ₇(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₆(1)|Lˢ₇(1)⊕Lˢ₈(1)|Lˢ₄(1)⊕Lˢ₅(1)|Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)
W:(1/2,1,0)|W₂(1)|W₁(1)|W₁(1)|W₂(1)|W₁(1)|W₂(1)|W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₃(1)⊕W₄(1)|W₂(1)|W₁(1)|W₁(1)|W₂(1)|W₁(1)|W₂(1)|W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₃(1)⊕2W₄(1)|2W₂(1)⊕2W₃(1)⊕2W₄(1)|W₁(1)⊕3W₂(1)⊕W₃(1)⊕W₄(1)|3W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)|3Wˢ₅(2)|3Wˢ₅(2)|3Wˢ₅(2)|3Wˢ₅(2)
Δ:(0,v,0)|Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|3Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕3Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)|3Δˢ₅(2)
V:(u,1,0)|V₂(1)|V₁(1)|V₁(1)|V₂(1)|V₁(1)|V₂(1)|V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₃(1)⊕V₄(1)|V₂(1)|V₁(1)|V₁(1)|V₂(1)|V₁(1)|V₂(1)|V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|2V₁(1)⊕2V₂(1)⊕V₃(1)⊕V₄(1)|2V₁(1)⊕2V₃(1)⊕2V₄(1)|2V₂(1)⊕2V₃(1)⊕2V₄(1)|V₁(1)⊕3V₂(1)⊕V₃(1)⊕V₄(1)|3V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|2Vˢ₅(2)|2Vˢ₅(2)|2Vˢ₅(2)|3Vˢ₅(2)|3Vˢ₅(2)|3Vˢ₅(2)|3Vˢ₅(2)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)|Λ₁(1)|Λ₃(1)|Λ₃(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)|2Λ₃(1)|2Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)|2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(1)
