Wyckoff pos.|8a(23)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|8b(23)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γˢ₅(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₁₀(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₉(2)⊕Γˢ₁₀(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₅(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₁₀(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₉(2)⊕Γˢ₁₀(2)
X:(0,1,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)
L:(1/2,1/2,1/2)|L₁⁺(1)⊕L₁⁻(1)|L₃⁺(1)⊕L₃⁻(1)|L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)|L₃⁺(1)⊕L₃⁻(1)|L₂⁺(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(1)|L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(1)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁺(1)|L₁⁻(1)⊕L₂⁺(1)⊕L₂⁻(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁺(1)⊕L₃⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₃⁻(1)|Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(1)|Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(1)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₉(1)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₈(1)|Lˢ₄(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₉(1)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₈(1)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)|Lˢ₄(1)⊕Lˢ₅(1)⊕Lˢ₆(1)⊕Lˢ₇(1)|Lˢ₄(1)⊕Lˢ₇(1)⊕Lˢ₈(1)⊕Lˢ₉(1)
W:(1/2,1,0)|W₁(2)|W₁(2)|W₁(2)|3W₁(2)|W₁(2)|W₁(2)|W₁(2)|3W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)|Wˢ₂(1)⊕Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
V:(u,1,0)|V₁(2)|V₁(2)|V₁(2)|3V₁(2)|V₁(2)|V₁(2)|V₁(2)|3V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|2V₁(2)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)|Vˢ₂(1)⊕Vˢ₃(1)⊕Vˢ₄(1)⊕Vˢ₅(1)
Λ:(u,u,u)|2Λ₁(1)|2Λ₃(1)|2Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)|2Λ₃(1)|2Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)|2Λˢ₅(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₆(1)|2Λˢ₄(1)⊕2Λˢ₅(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₄(1)⊕2Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)
