Wyckoff pos.|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|8c(-3)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg↑G(4)|¹Eᵤ↑G(4)|²Eg↑G(4)|²Eᵤ↑G(4)|Egˢ↑G(2)|Eᵤˢ↑G(2)|¹Fgˢ↑G(2)|¹Fᵤˢ↑G(2)|²Fgˢ↑G(2)|²Fᵤˢ↑G(2)|Egˢ↑G(6)|Eᵤˢ↑G(6)|¹Egˢ↑G(4)|¹Eᵤˢ↑G(4)|²Egˢ↑G(4)|²Eᵤˢ↑G(4)|Egˢ↑G(4)|Eᵤˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(1)⊕Γ₄⁺(3)|Γ₃⁻(1)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₅ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₁₀ˢ(2)|Γ₆ˢ(2)|Γ₉ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₀ˢ(2)|Γ₅ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₁₀ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₉ˢ(2)⊕Γ₁₀ˢ(2)
H:(1,1,1)|H₁⁺(1)|H₁⁻(1)|H₂⁺(1)|H₂⁻(1)|H₃⁺(1)|H₃⁻(1)|H₄⁺(3)|H₄⁻(3)|H₁⁺(1)⊕H₂⁺(1)⊕H₃⁺(1)|H₁⁻(1)⊕H₂⁻(1)⊕H₃⁻(1)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₁⁻(1)⊕H₄⁻(3)|H₁⁺(1)⊕H₄⁺(3)|H₃⁻(1)⊕H₄⁻(3)|H₃⁺(1)⊕H₄⁺(3)|H₂⁻(1)⊕H₄⁻(3)|H₂⁺(1)⊕H₄⁺(3)|H₅ˢ(2)|H₈ˢ(2)|H₇ˢ(2)|H₁₀ˢ(2)|H₆ˢ(2)|H₉ˢ(2)|H₅ˢ(2)⊕H₆ˢ(2)⊕H₇ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)⊕H₁₀ˢ(2)|H₈ˢ(2)⊕H₁₀ˢ(2)|H₅ˢ(2)⊕H₇ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)|H₅ˢ(2)⊕H₆ˢ(2)|H₉ˢ(2)⊕H₁₀ˢ(2)|H₆ˢ(2)⊕H₇ˢ(2)
P:(1/2,1/2,1/2)|P₁(1)|P₁(1)|P₂(1)|P₂(1)|P₃(1)|P₃(1)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₄(3)|P₁(1)⊕P₄(3)|P₃(1)⊕P₄(3)|P₃(1)⊕P₄(3)|P₂(1)⊕P₄(3)|P₂(1)⊕P₄(3)|P₅ˢ(2)|P₅ˢ(2)|P₇ˢ(2)|P₇ˢ(2)|P₆ˢ(2)|P₆ˢ(2)|P₅ˢ(2)⊕P₆ˢ(2)⊕P₇ˢ(2)|P₅ˢ(2)⊕P₆ˢ(2)⊕P₇ˢ(2)|P₅ˢ(2)⊕P₇ˢ(2)|P₅ˢ(2)⊕P₇ˢ(2)|P₅ˢ(2)⊕P₆ˢ(2)|P₅ˢ(2)⊕P₆ˢ(2)|P₆ˢ(2)⊕P₇ˢ(2)|P₆ˢ(2)⊕P₇ˢ(2)
N:(1/2,1/2,0)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)⊕2N₂⁺(1)|N₁⁻(1)⊕2N₂⁻(1)|N₁⁺(1)⊕2N₂⁻(1)|N₁⁻(1)⊕2N₂⁺(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕2N₁⁻(1)|2N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕2N₅ˢ(1)⊕2N₆ˢ(1)|2N₃ˢ(1)⊕2N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)⊕N₅ˢ(1)⊕N₆ˢ(1)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|Δ₁(1)|Δ₂(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)|3Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₅ˢ(2)|Δ₅ˢ(2)|Δ₅ˢ(2)|Δ₅ˢ(2)|Δ₅ˢ(2)|Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕2Λ₂(1)⊕Λ₃(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(1)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)
A:(u,v,0)|A₁(1)|A₂(1)|A₁(1)|A₂(1)|A₁(1)|A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|3A₁(1)|3A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|3A₃ˢ(1)⊕3A₄ˢ(1)|3A₃ˢ(1)⊕3A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)|2A₃ˢ(1)⊕2A₄ˢ(1)
